"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","CPS2-ADS","CPS2-GINI -ADS","CPS2-AIS","CPS2-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"11","0.2922297","0.5388514","0.15416666666666667","2.3125","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","6.0","0.1449275","3.0","0","1.0","0","6.0","0","1.0","0","5.0","0","0.0","0","0.0","0","14.0","0.01626016","1.0","0","5.0","0"
"12","0.2922297","0.5388514","0.15416666666666667","2.3125","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","6.0","0.1412873","3.0","0","1.0","0","6.0","0","1.0","0","5.0","0","0.0","0","0.0","0","14.0","0.01555748","1.0","0","5.0","0"
"13","0.2922297","0.5388514","0.15416666666666667","2.3125","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","6.0","0.1373626","3.0","0","1.0","0","6.0","0","1.0","0","5.0","0","0.0","0","0.0","0","14.0","0.01488095","1.0","0","5.0","0"
"14","0.2922297","0.5388514","0.15416666666666667","2.3125","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","6.0","0.1333333","3.0","0","1.0","0","6.0","0","1.0","0","5.0","0","0.0","0","0.0","0","14.0","0.01423948","1.0","0","5.0","0"
"15","0.2922297","0.5388514","0.15416666666666667","2.3125","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","6.0","0.1293103","3.0","0","1.0","0","6.0","0","1.0","0","5.0","0","0.0","0","0.0","0","14.0","0.01363636","1.0","0","5.0","0"
"16","0.2922297","0.5388514","0.15416666666666667","2.3125","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","6.0","0.1253616","3.0","0","1.0","0","6.0","0","1.0","0","5.0","0","0.0","0","0.0","0","14.0","0.01307190","1.0","0","5.0","0"
"17","0.2922297","0.5388514","0.15416666666666667","2.3125","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","6.0","0.1215278","3.0","0","1.0","0","6.0","0","1.0","0","5.0","0","0.0","0","0.0","0","14.0","0.01254480","1.0","0","5.0","0"
"18","0.2922297","0.5388514","0.15416666666666667","2.3125","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","6.0","0.1178319","3.0","0","1.0","0","6.0","0","1.0","0","5.0","0","0.0","0","0.0","0","14.0","0.01205303","1.0","0","5.0","0"
"19","0.2922297","0.5388514","0.15416666666666667","2.3125","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","6.0","0.1142857","3.0","0","1.0","0","6.0","0","1.0","0","5.0","0","0.0","0","0.0","0","14.0","0.01159420","1.0","0","5.0","0"
"20","0.2922297","0.5388514","0.15416666666666667","2.3125","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","6.0","0.1108937","3.0","0","1.0","0","6.0","0","1.0","0","5.0","0","0.0","0","0.0","0","14.0","0.01116585","1.0","0","5.0","0"
