"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS"
"0","0.4313725","0.3921569","0.2361111111111111","1.8888888888888888","5.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","6.0","0"
"1","0.4313725","0.3921569","0.2361111111111111","1.8888888888888888","5.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","6.0","0"
"2","0.4313725","0.3921569","0.2361111111111111","1.8888888888888888","5.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","6.0","0"
"3","0.4313725","0.3921569","0.2361111111111111","1.8888888888888888","5.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","6.0","0"
"4","0.4313725","0.3921569","0.2361111111111111","1.8888888888888888","5.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","6.0","0"
"5","0.4313725","0.3921569","0.2361111111111111","1.8888888888888888","5.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","6.0","0"
"6","0.4313725","0.3921569","0.2361111111111111","1.8888888888888888","5.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","6.0","0"
"7","0.5","0.3611111","0.2222222222222222","1.7777777777777777","5.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0.125","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","5.0","0.01861702"
"8","0.5","0.3611111","0.2222222222222222","1.7777777777777777","5.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0.2222222","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","5.0","0.02991453"
"9","0.5","0.3611111","0.2222222222222222","1.7777777777777777","5.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0.3","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","5.0","0.03684211"
"10","0.5","0.3611111","0.2222222222222222","1.7777777777777777","5.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0.3636364","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","5.0","0.04105572"
"11","0.5","0.3611111","0.2222222222222222","1.7777777777777777","5.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0.4166667","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","5.0","0.04353234"
"12","0.5","0.3611111","0.2222222222222222","1.7777777777777777","5.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0.4615385","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","5.0","0.04487179"
"13","0.5","0.3611111","0.2222222222222222","1.7777777777777777","5.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0.5","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","5.0","0.04545455"
"14","0.5","0.3611111","0.2222222222222222","1.7777777777777777","5.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0.5333333","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","5.0","0.04552846"
"15","0.5","0.3611111","0.2222222222222222","1.7777777777777777","5.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0.5625","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","5.0","0.04525862"
