"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2651515","0.4722222","0.25","2.75","2.0","0","4.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","4.0","0","5.0","0","5.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","","0.0"
"1","0.2651515","0.4722222","0.25","2.75","2.0","0","4.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","4.0","0","5.0","0","5.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","","0.0"
"2","0.2651515","0.4722222","0.25","2.75","2.0","0","4.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","4.0","0","5.0","0","5.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","","0.0"
"3","0.2651515","0.4722222","0.25","2.75","2.0","0","4.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","4.0","0","5.0","0","5.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","","0.0"
"4","0.2651515","0.4722222","0.25","2.75","2.0","0","4.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","4.0","0","5.0","0","5.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","","0.0"
"5","0.2850679","0.4751131","0.21794871794871795","2.6153846153846154","2.0","0","2.0","0.07575758","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.03333333","5.0","0","5.0","0","1.0","0","5.0","0","1.0","0","9.0","0","1.0","0","2.0","0"
"6","0.2850679","0.4751131","0.21794871794871795","2.6153846153846154","2.0","0","2.0","0.1190476","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.04761905","5.0","0","5.0","0","1.0","0","5.0","0","1.0","0","9.0","0","1.0","0","2.0","0"
"7","0.2850679","0.4751131","0.21794871794871795","2.6153846153846154","2.0","0","2.0","0.1442308","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.05357143","5.0","0","5.0","0","1.0","0","5.0","0","1.0","0","9.0","0","1.0","0","2.0","0"
"8","0.2850679","0.4751131","0.21794871794871795","2.6153846153846154","2.0","0","2.0","0.1587302","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.05555556","5.0","0","5.0","0","1.0","0","5.0","0","1.0","0","9.0","0","1.0","0","2.0","0"
"9","0.2850679","0.4751131","0.21794871794871795","2.6153846153846154","2.0","0","2.0","0.1666667","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.05555556","5.0","0","5.0","0","1.0","0","5.0","0","1.0","0","9.0","0","1.0","0","2.0","0"
