"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.3416667","0.5166667","0.26666666666666666","2.4","2.0","0","5.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","6.0","0","0.0","0","0.0","0","5.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","","0.0"
"1","0.3416667","0.5166667","0.26666666666666666","2.4","2.0","0","5.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","6.0","0","0.0","0","0.0","0","5.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","","0.0"
"2","0.3416667","0.5166667","0.26666666666666666","2.4","2.0","0","5.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","6.0","0","0.0","0","0.0","0","5.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","","0.0"
"3","0.3416667","0.5166667","0.26666666666666666","2.4","2.0","0","5.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","6.0","0","0.0","0","0.0","0","5.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","","0.0"
"4","0.3416667","0.5166667","0.26666666666666666","2.4","2.0","0","5.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","6.0","0","0.0","0","0.0","0","5.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","","0.0"
"5","0.3563636","0.5090909","0.22727272727272727","2.272727272727273","2.0","0","3.0","0.05952381","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","6.0","0","0.0","0","0.0","0","6.0","0.02688172","1.0","0","3.0","0","1.0","0","7.0","0","1.0","0","2.0","0"
"6","0.3563636","0.5090909","0.22727272727272727","2.272727272727273","2.0","0","3.0","0.09216590","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","6.0","0","0.0","0","0.0","0","6.0","0.03861004","1.0","0","3.0","0","1.0","0","7.0","0","1.0","0","2.0","0"
"7","0.3563636","0.5090909","0.22727272727272727","2.272727272727273","2.0","0","3.0","0.1102941","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","6.0","0","0.0","0","0.0","0","6.0","0.04360465","1.0","0","3.0","0","1.0","0","7.0","0","1.0","0","2.0","0"
"8","0.3563636","0.5090909","0.22727272727272727","2.272727272727273","2.0","0","3.0","0.1201201","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","6.0","0","0.0","0","0.0","0","6.0","0.04535147","1.0","0","3.0","0","1.0","0","7.0","0","1.0","0","2.0","0"
"9","0.3563636","0.5090909","0.22727272727272727","2.272727272727273","2.0","0","3.0","0.125","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","6.0","0","0.0","0","0.0","0","6.0","0.04545455","1.0","0","3.0","0","1.0","0","7.0","0","1.0","0","2.0","0"
