"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.3057851","0.5371901","0.2","2.0","1.0","0","7.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0","6.0","0","6.0","0","0.0","","0.0"
"1","0.3057851","0.5371901","0.2","2.0","1.0","0","7.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0","6.0","0","6.0","0","0.0","","0.0"
"2","0.3057851","0.5371901","0.2","2.0","1.0","0","7.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0","6.0","0","6.0","0","0.0","","0.0"
"3","0.3057851","0.5371901","0.2","2.0","1.0","0","7.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0","6.0","0","6.0","0","0.0","","0.0"
"4","0.3057851","0.5371901","0.2","2.0","1.0","0","7.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0","6.0","0","6.0","0","0.0","","0.0"
"5","0.3057851","0.5371901","0.2","2.0","1.0","0","7.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0","6.0","0","6.0","0","0.0","","0.0"
"6","0.3152174","0.4818841","0.17424242424242425","1.9166666666666667","1.0","0","4.0","0.05590062","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","0.0","0","4.0","0.03896104","6.0","0","6.0","0","1.0","0","3.0","0"
"7","0.3152174","0.4818841","0.17424242424242425","1.9166666666666667","1.0","0","4.0","0.09","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","0.0","0","4.0","0.05769231","6.0","0","6.0","0","1.0","0","3.0","0"
"8","0.3152174","0.4818841","0.17424242424242425","1.9166666666666667","1.0","0","4.0","0.1111111","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","0.0","0","4.0","0.06666667","6.0","0","6.0","0","1.0","0","3.0","0"
"9","0.3152174","0.4818841","0.17424242424242425","1.9166666666666667","1.0","0","4.0","0.1241379","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","0.0","0","4.0","0.07058824","6.0","0","6.0","0","1.0","0","3.0","0"
"10","0.3152174","0.4818841","0.17424242424242425","1.9166666666666667","1.0","0","4.0","0.1319648","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","0.0","0","4.0","0.07177033","6.0","0","6.0","0","1.0","0","3.0","0"
"11","0.3152174","0.4818841","0.17424242424242425","1.9166666666666667","1.0","0","4.0","0.1363636","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","0.0","0","4.0","0.07142857","6.0","0","6.0","0","1.0","0","3.0","0"
