"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2384615","0.4692308","0.28888888888888886","2.6","3.0","0","1.0","0","2.0","0","6.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","4.0","0","4.0","0","4.0","0","1.0","0","7.0","0","0.0","","0.0"
"1","0.2384615","0.4692308","0.28888888888888886","2.6","3.0","0","1.0","0","2.0","0","6.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","4.0","0","4.0","0","4.0","0","1.0","0","7.0","0","0.0","","0.0"
"2","0.2384615","0.4692308","0.28888888888888886","2.6","3.0","0","1.0","0","2.0","0","6.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","4.0","0","4.0","0","4.0","0","1.0","0","7.0","0","0.0","","0.0"
"3","0.2384615","0.4692308","0.28888888888888886","2.6","3.0","0","1.0","0","2.0","0","6.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","4.0","0","4.0","0","4.0","0","1.0","0","7.0","0","0.0","","0.0"
"4","0.2384615","0.4692308","0.28888888888888886","2.6","3.0","0","1.0","0","2.0","0","6.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","4.0","0","4.0","0","4.0","0","1.0","0","7.0","0","0.0","","0.0"
"5","0.2384615","0.4692308","0.28888888888888886","2.6","3.0","0","1.0","0","2.0","0","6.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","4.0","0","4.0","0","4.0","0","1.0","0","7.0","0","0.0","","0.0"
"6","0.2693603","0.4444444","0.24545454545454545","2.4545454545454546","3.0","0","1.0","0","2.0","0","3.0","0.06593407","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0.02955665","4.0","0","4.0","0","1.0","0","7.0","0","1.0","0","3.0","0"
"7","0.2693603","0.4444444","0.24545454545454545","2.4545454545454546","3.0","0","1.0","0","2.0","0","3.0","0.1071429","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0.04411765","4.0","0","4.0","0","1.0","0","7.0","0","1.0","0","3.0","0"
"8","0.2693603","0.4444444","0.24545454545454545","2.4545454545454546","3.0","0","1.0","0","2.0","0","3.0","0.1333333","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0.05128205","4.0","0","4.0","0","1.0","0","7.0","0","1.0","0","3.0","0"
"9","0.2693603","0.4444444","0.24545454545454545","2.4545454545454546","3.0","0","1.0","0","2.0","0","3.0","0.15","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0.05454545","4.0","0","4.0","0","1.0","0","7.0","0","1.0","0","3.0","0"
"10","0.2693603","0.4444444","0.24545454545454545","2.4545454545454546","3.0","0","1.0","0","2.0","0","3.0","0.1604278","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0.05565863","4.0","0","4.0","0","1.0","0","7.0","0","1.0","0","3.0","0"
"11","0.2693603","0.4444444","0.24545454545454545","2.4545454545454546","3.0","0","1.0","0","2.0","0","3.0","0.1666667","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0.05555556","4.0","0","4.0","0","1.0","0","7.0","0","1.0","0","3.0","0"
"12","0.2693603","0.4444444","0.24545454545454545","2.4545454545454546","3.0","0","1.0","0","2.0","0","3.0","0.1700405","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0.05475880","4.0","0","4.0","0","1.0","0","7.0","0","1.0","0","3.0","0"
"13","0.2693603","0.4444444","0.24545454545454545","2.4545454545454546","3.0","0","1.0","0","2.0","0","3.0","0.1714286","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0.05357143","4.0","0","4.0","0","1.0","0","7.0","0","1.0","0","3.0","0"
"14","0.2693603","0.4444444","0.24545454545454545","2.4545454545454546","3.0","0","1.0","0","2.0","0","3.0","0.1714286","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0.05217391","4.0","0","4.0","0","1.0","0","7.0","0","1.0","0","3.0","0"
"15","0.2693603","0.4444444","0.24545454545454545","2.4545454545454546","3.0","0","1.0","0","2.0","0","3.0","0.1704545","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0.05067568","4.0","0","4.0","0","1.0","0","7.0","0","1.0","0","3.0","0"
"16","0.2693603","0.4444444","0.24545454545454545","2.4545454545454546","3.0","0","1.0","0","2.0","0","3.0","0.1687980","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0.04914371","4.0","0","4.0","0","1.0","0","7.0","0","1.0","0","3.0","0"
"17","0.2693603","0.4444444","0.24545454545454545","2.4545454545454546","3.0","0","1.0","0","2.0","0","3.0","0.1666667","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0.04761905","4.0","0","4.0","0","1.0","0","7.0","0","1.0","0","3.0","0"
"18","0.2693603","0.4444444","0.24545454545454545","2.4545454545454546","3.0","0","1.0","0","2.0","0","3.0","0.1642105","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0.04612655","4.0","0","4.0","0","1.0","0","7.0","0","1.0","0","3.0","0"
"19","0.2693603","0.4444444","0.24545454545454545","2.4545454545454546","3.0","0","1.0","0","2.0","0","3.0","0.1615385","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0.04468085","4.0","0","4.0","0","1.0","0","7.0","0","1.0","0","3.0","0"
"20","0.2693603","0.4444444","0.24545454545454545","2.4545454545454546","3.0","0","1.0","0","2.0","0","3.0","0.1587302","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0.04329004","4.0","0","4.0","0","1.0","0","7.0","0","1.0","0","3.0","0"
