"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","RD13-ADS","RD13-GINI -ADS","RD13-AIS","RD13-GINI -AIS","RD14-ADS","RD14-GINI -ADS","RD14-AIS","RD14-GINI -AIS","RD15-ADS","RD15-GINI -ADS","RD15-AIS","RD15-GINI -AIS","RD16-ADS","RD16-GINI -ADS","RD16-AIS","RD16-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2020592","0.5868726","0.1761904761904762","3.5238095238095237","4.0","0","2.0","0","5.0","0","1.0","0","5.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","3.0","0","2.0","0","4.0","0","4.0","0.1558442","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","3.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","18.0","0.01118881","1.0","0","9.0","0.02272727","1.0","0","18.0","0","2.0","0","4.0","0"
"11","0.2020592","0.5868726","0.1761904761904762","3.5238095238095237","4.0","0","2.0","0","5.0","0","1.0","0","5.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","3.0","0","2.0","0","4.0","0","4.0","0.15","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","3.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","18.0","0.01056338","1.0","0","9.0","0.02142857","1.0","0","18.0","0","2.0","0","4.0","0"
"12","0.2020592","0.5868726","0.1761904761904762","3.5238095238095237","4.0","0","2.0","0","5.0","0","1.0","0","5.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","3.0","0","2.0","0","4.0","0","4.0","0.1442308","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","3.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","18.0","0.009990010","1.0","0","9.0","0.02024291","1.0","0","18.0","0","2.0","0","4.0","0"
"13","0.2020592","0.5868726","0.1761904761904762","3.5238095238095237","4.0","0","2.0","0","5.0","0","1.0","0","5.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","3.0","0","2.0","0","4.0","0","4.0","0.1386555","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","3.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","18.0","0.009466437","1.0","0","9.0","0.01916376","1.0","0","18.0","0","2.0","0","4.0","0"
"14","0.2020592","0.5868726","0.1761904761904762","3.5238095238095237","4.0","0","2.0","0","5.0","0","1.0","0","5.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","3.0","0","2.0","0","4.0","0","4.0","0.1333333","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","3.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","18.0","0.008988764","1.0","0","9.0","0.01818182","1.0","0","18.0","0","2.0","0","4.0","0"
"15","0.2020592","0.5868726","0.1761904761904762","3.5238095238095237","4.0","0","2.0","0","5.0","0","1.0","0","5.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","3.0","0","2.0","0","4.0","0","4.0","0.1282895","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","3.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","18.0","0.008552632","1.0","0","9.0","0.01728723","1.0","0","18.0","0","2.0","0","4.0","0"
"16","0.2020592","0.5868726","0.1761904761904762","3.5238095238095237","4.0","0","2.0","0","5.0","0","1.0","0","5.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","3.0","0","2.0","0","4.0","0","4.0","0.1235294","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","3.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","18.0","0.008153757","1.0","0","9.0","0.01647059","1.0","0","18.0","0","2.0","0","4.0","0"
"17","0.2020592","0.5868726","0.1761904761904762","3.5238095238095237","4.0","0","2.0","0","5.0","0","1.0","0","5.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","3.0","0","2.0","0","4.0","0","4.0","0.1190476","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","3.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","18.0","0.007788162","1.0","0","9.0","0.01572327","1.0","0","18.0","0","2.0","0","4.0","0"
"18","0.2020592","0.5868726","0.1761904761904762","3.5238095238095237","4.0","0","2.0","0","5.0","0","1.0","0","5.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","3.0","0","2.0","0","4.0","0","4.0","0.1148325","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","3.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","18.0","0.007452259","1.0","0","9.0","0.01503759","1.0","0","18.0","0","2.0","0","4.0","0"
"19","0.2020592","0.5868726","0.1761904761904762","3.5238095238095237","4.0","0","2.0","0","5.0","0","1.0","0","5.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","3.0","0","2.0","0","4.0","0","4.0","0.1108696","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","3.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","18.0","0.007142857","1.0","0","9.0","0.01440678","1.0","0","18.0","0","2.0","0","4.0","0"
"20","0.2020592","0.5868726","0.1761904761904762","3.5238095238095237","4.0","0","2.0","0","5.0","0","1.0","0","5.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","3.0","0","2.0","0","4.0","0","4.0","0.1071429","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","3.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","18.0","0.006857143","1.0","0","9.0","0.01382488","1.0","0","18.0","0","2.0","0","4.0","0"
