"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2507837","0.4576803","0.2636363636363636","2.6363636363636362","2.0","0","4.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","3.0","0","3.0","0","5.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0"
"1","0.2507837","0.4576803","0.2636363636363636","2.6363636363636362","2.0","0","4.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","3.0","0","3.0","0","5.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0"
"2","0.2507837","0.4576803","0.2636363636363636","2.6363636363636362","2.0","0","4.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","3.0","0","3.0","0","5.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0"
"3","0.2507837","0.4576803","0.2636363636363636","2.6363636363636362","2.0","0","4.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","3.0","0","3.0","0","5.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0"
"4","0.2507837","0.4576803","0.2636363636363636","2.6363636363636362","2.0","0","4.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","3.0","0","3.0","0","5.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0"
"5","0.234375","0.4739583","0.24242424242424243","2.6666666666666665","2.0","0","2.0","0.07575758","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","4.0","0.04385965","3.0","0","5.0","0","1.0","0","5.0","0.03333333","1.0","0","9.0","0.01700680","3.0","0","2.0","0"
"6","0.234375","0.4739583","0.24242424242424243","2.6666666666666665","2.0","0","2.0","0.1190476","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","4.0","0.06211180","3.0","0","5.0","0","1.0","0","5.0","0.04761905","1.0","0","9.0","0.02463054","3.0","0","2.0","0"
"7","0.234375","0.4739583","0.24242424242424243","2.6666666666666665","2.0","0","2.0","0.1442308","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","4.0","0.06944444","3.0","0","5.0","0","1.0","0","5.0","0.05357143","1.0","0","9.0","0.02798507","3.0","0","2.0","0"
"8","0.234375","0.4739583","0.24242424242424243","2.6666666666666665","2.0","0","2.0","0.1587302","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","4.0","0.07168459","3.0","0","5.0","0","1.0","0","5.0","0.05555556","1.0","0","9.0","0.02923977","3.0","0","2.0","0"
"9","0.234375","0.4739583","0.24242424242424243","2.6666666666666665","2.0","0","2.0","0.1666667","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","4.0","0.07142857","3.0","0","5.0","0","1.0","0","5.0","0.05555556","1.0","0","9.0","0.02941176","3.0","0","2.0","0"
