"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"1","4.0","0.0","0.0","0.25","0.0","4.0","8.0","32.0","0.25","0.5","3.0","2.0","6.0","0.1875","0.125","4.0","1.0","4.0","0.25","0.0625","4.0","1.0","4.0","0.25","0.0625","4.0","1.0","4.0","0.25","0.0625","3.0","2.0","6.0","0.1875","0.125","5.0","1.0","5.0","0.3125","0.0625","3.0","1.0","3.0","0.1875","0.0625","4.0","2.0","8.0","0.25","0.125","4.0","0.0","0.0","0.25","0.0","4.0","1.0","4.0","0.25","0.0625","4.0","0.0","0.0","0.25","0.0","1.0","13.0","13.0","0.0625","0.8125","1.0","6.0","6.0","0.0625","0.375","1.0","14.0","14.0","0.0625","0.875","0.0","0.0","0.0","0.0","0.0"
"2","4.0","0.0","0.0","0.25","0.0","4.0","8.0","32.0","0.25","0.5","3.0","2.0","6.0","0.1875","0.125","4.0","1.0","4.0","0.25","0.0625","4.0","1.0","4.0","0.25","0.0625","4.0","1.0","4.0","0.25","0.0625","3.0","2.0","6.0","0.1875","0.125","5.0","1.0","5.0","0.3125","0.0625","3.0","1.0","3.0","0.1875","0.0625","4.0","2.0","8.0","0.25","0.125","4.0","0.0","0.0","0.25","0.0","4.0","1.0","4.0","0.25","0.0625","4.0","0.0","0.0","0.25","0.0","1.0","13.0","13.0","0.0625","0.8125","1.0","6.0","6.0","0.0625","0.375","1.0","14.0","14.0","0.0625","0.875","0.0","0.0","0.0","0.0","0.0"
"3","4.0","0.0","0.0","0.25","0.0","4.0","8.0","32.0","0.25","0.5","3.0","2.0","6.0","0.1875","0.125","4.0","1.0","4.0","0.25","0.0625","4.0","1.0","4.0","0.25","0.0625","4.0","1.0","4.0","0.25","0.0625","3.0","2.0","6.0","0.1875","0.125","5.0","1.0","5.0","0.3125","0.0625","3.0","1.0","3.0","0.1875","0.0625","4.0","2.0","8.0","0.25","0.125","4.0","0.0","0.0","0.25","0.0","4.0","1.0","4.0","0.25","0.0625","4.0","0.0","0.0","0.25","0.0","1.0","13.0","13.0","0.0625","0.8125","1.0","6.0","6.0","0.0625","0.375","1.0","14.0","14.0","0.0625","0.875","0.0","0.0","0.0","0.0","0.0"
"4","4.0","0.0","0.0","0.25","0.0","4.0","8.0","32.0","0.25","0.5","3.0","2.0","6.0","0.1875","0.125","4.0","1.0","4.0","0.25","0.0625","4.0","1.0","4.0","0.25","0.0625","4.0","1.0","4.0","0.25","0.0625","3.0","2.0","6.0","0.1875","0.125","5.0","1.0","5.0","0.3125","0.0625","3.0","1.0","3.0","0.1875","0.0625","4.0","2.0","8.0","0.25","0.125","4.0","0.0","0.0","0.25","0.0","4.0","1.0","4.0","0.25","0.0625","4.0","0.0","0.0","0.25","0.0","1.0","13.0","13.0","0.0625","0.8125","1.0","6.0","6.0","0.0625","0.375","1.0","14.0","14.0","0.0625","0.875","0.0","0.0","0.0","0.0","0.0"
"5","4.0","0.0","0.0","0.25","0.0","4.0","8.0","32.0","0.25","0.5","3.0","2.0","6.0","0.1875","0.125","4.0","1.0","4.0","0.25","0.0625","4.0","1.0","4.0","0.25","0.0625","4.0","1.0","4.0","0.25","0.0625","3.0","2.0","6.0","0.1875","0.125","5.0","1.0","5.0","0.3125","0.0625","3.0","1.0","3.0","0.1875","0.0625","4.0","2.0","8.0","0.25","0.125","4.0","0.0","0.0","0.25","0.0","4.0","1.0","4.0","0.25","0.0625","4.0","0.0","0.0","0.25","0.0","1.0","13.0","13.0","0.0625","0.8125","1.0","6.0","6.0","0.0625","0.375","1.0","14.0","14.0","0.0625","0.875","0.0","0.0","0.0","0.0","0.0"
"6","4.0","0.0","0.0","0.23529411764705882","0.0","4.0","4.0","16.0","0.23529411764705882","0.23529411764705882","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","5.0","1.0","5.0","0.29411764705882354","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","4.0","2.0","8.0","0.23529411764705882","0.11764705882352941","4.0","0.0","0.0","0.23529411764705882","0.0","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","4.0","0.0","0.0","0.23529411764705882","0.0","1.0","14.0","14.0","0.058823529411764705","0.8235294117647058","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826","1.0","14.0","14.0","0.058823529411764705","0.8235294117647058","1.0","4.0","4.0","0.058823529411764705","0.23529411764705882"
"7","4.0","0.0","0.0","0.23529411764705882","0.0","4.0","4.0","16.0","0.23529411764705882","0.23529411764705882","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","5.0","1.0","5.0","0.29411764705882354","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","4.0","2.0","8.0","0.23529411764705882","0.11764705882352941","4.0","0.0","0.0","0.23529411764705882","0.0","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","4.0","0.0","0.0","0.23529411764705882","0.0","1.0","14.0","14.0","0.058823529411764705","0.8235294117647058","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826","1.0","14.0","14.0","0.058823529411764705","0.8235294117647058","1.0","4.0","4.0","0.058823529411764705","0.23529411764705882"
"8","4.0","0.0","0.0","0.23529411764705882","0.0","4.0","4.0","16.0","0.23529411764705882","0.23529411764705882","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","5.0","1.0","5.0","0.29411764705882354","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","4.0","2.0","8.0","0.23529411764705882","0.11764705882352941","4.0","0.0","0.0","0.23529411764705882","0.0","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","4.0","0.0","0.0","0.23529411764705882","0.0","1.0","14.0","14.0","0.058823529411764705","0.8235294117647058","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826","1.0","14.0","14.0","0.058823529411764705","0.8235294117647058","1.0","4.0","4.0","0.058823529411764705","0.23529411764705882"
"9","4.0","0.0","0.0","0.23529411764705882","0.0","4.0","4.0","16.0","0.23529411764705882","0.23529411764705882","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","5.0","1.0","5.0","0.29411764705882354","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","4.0","2.0","8.0","0.23529411764705882","0.11764705882352941","4.0","0.0","0.0","0.23529411764705882","0.0","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","4.0","0.0","0.0","0.23529411764705882","0.0","1.0","14.0","14.0","0.058823529411764705","0.8235294117647058","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826","1.0","14.0","14.0","0.058823529411764705","0.8235294117647058","1.0","4.0","4.0","0.058823529411764705","0.23529411764705882"
"10","4.0","0.0","0.0","0.23529411764705882","0.0","4.0","4.0","16.0","0.23529411764705882","0.23529411764705882","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","5.0","1.0","5.0","0.29411764705882354","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","4.0","2.0","8.0","0.23529411764705882","0.11764705882352941","4.0","0.0","0.0","0.23529411764705882","0.0","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","4.0","0.0","0.0","0.23529411764705882","0.0","1.0","14.0","14.0","0.058823529411764705","0.8235294117647058","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826","1.0","14.0","14.0","0.058823529411764705","0.8235294117647058","1.0","4.0","4.0","0.058823529411764705","0.23529411764705882"
"11","4.0","0.0","0.0","0.23529411764705882","0.0","4.0","4.0","16.0","0.23529411764705882","0.23529411764705882","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","5.0","1.0","5.0","0.29411764705882354","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","4.0","2.0","8.0","0.23529411764705882","0.11764705882352941","4.0","0.0","0.0","0.23529411764705882","0.0","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","4.0","0.0","0.0","0.23529411764705882","0.0","1.0","14.0","14.0","0.058823529411764705","0.8235294117647058","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826","1.0","14.0","14.0","0.058823529411764705","0.8235294117647058","1.0","4.0","4.0","0.058823529411764705","0.23529411764705882"
"12","4.0","0.0","0.0","0.23529411764705882","0.0","4.0","4.0","16.0","0.23529411764705882","0.23529411764705882","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","5.0","1.0","5.0","0.29411764705882354","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","4.0","2.0","8.0","0.23529411764705882","0.11764705882352941","4.0","0.0","0.0","0.23529411764705882","0.0","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","4.0","0.0","0.0","0.23529411764705882","0.0","1.0","14.0","14.0","0.058823529411764705","0.8235294117647058","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826","1.0","14.0","14.0","0.058823529411764705","0.8235294117647058","1.0","4.0","4.0","0.058823529411764705","0.23529411764705882"
