"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2257053","0.5454545","0.2636363636363636","2.6363636363636362","3.0","0","1.0","0","2.0","0","7.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","6.0","0","3.0","0","3.0","0","1.0","0","8.0","0","0.0","","0.0"
"1","0.2257053","0.5454545","0.2636363636363636","2.6363636363636362","3.0","0","1.0","0","2.0","0","7.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","6.0","0","3.0","0","3.0","0","1.0","0","8.0","0","0.0","","0.0"
"2","0.2257053","0.5454545","0.2636363636363636","2.6363636363636362","3.0","0","1.0","0","2.0","0","7.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","6.0","0","3.0","0","3.0","0","1.0","0","8.0","0","0.0","","0.0"
"3","0.2257053","0.5454545","0.2636363636363636","2.6363636363636362","3.0","0","1.0","0","2.0","0","7.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","6.0","0","3.0","0","3.0","0","1.0","0","8.0","0","0.0","","0.0"
"4","0.2284946","0.5349462","0.23484848484848486","2.5833333333333335","3.0","0","1.0","0","2.0","0","4.0","0.075","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0.02580645","3.0","0","3.0","0","1.0","0","9.0","0.01951220","2.0","0","3.0","0"
"5","0.2284946","0.5349462","0.23484848484848486","2.5833333333333335","3.0","0","1.0","0","2.0","0","4.0","0.1111111","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0.03508772","3.0","0","3.0","0","1.0","0","9.0","0.02666667","2.0","0","3.0","0"
"6","0.2284946","0.5349462","0.23484848484848486","2.5833333333333335","3.0","0","1.0","0","2.0","0","4.0","0.1285714","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0.03809524","3.0","0","3.0","0","1.0","0","9.0","0.02905569","2.0","0","3.0","0"
"7","0.2284946","0.5349462","0.23484848484848486","2.5833333333333335","3.0","0","1.0","0","2.0","0","4.0","0.1363636","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0.03846154","3.0","0","3.0","0","1.0","0","9.0","0.02941176","2.0","0","3.0","0"
"8","0.2284946","0.5349462","0.23484848484848486","2.5833333333333335","3.0","0","1.0","0","2.0","0","4.0","0.1388889","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0.03766478","3.0","0","3.0","0","1.0","0","9.0","0.02886003","2.0","0","3.0","0"
"9","0.2284946","0.5349462","0.23484848484848486","2.5833333333333335","3.0","0","1.0","0","2.0","0","4.0","0.1384615","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0.03636364","3.0","0","3.0","0","1.0","0","9.0","0.02790698","2.0","0","3.0","0"
