"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS"
"0","0.4642857","0.3214286","0.21212121212121213","2.3333333333333335","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","8.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","6.0","0","0.0","0","1.0","0","4.0","0","3.0","0","5.0","0","0.0","0","4.0","0"
"1","0.4642857","0.3214286","0.21212121212121213","2.3333333333333335","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","8.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","6.0","0","0.0","0","1.0","0","4.0","0","3.0","0","5.0","0","0.0","0","4.0","0"
"2","0.4642857","0.3214286","0.21212121212121213","2.3333333333333335","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","8.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","6.0","0","0.0","0","1.0","0","4.0","0","3.0","0","5.0","0","0.0","0","4.0","0"
"3","0.4642857","0.3214286","0.21212121212121213","2.3333333333333335","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","8.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","6.0","0","0.0","0","1.0","0","4.0","0","3.0","0","5.0","0","0.0","0","4.0","0"
"4","0.4642857","0.3214286","0.21212121212121213","2.3333333333333335","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","8.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","6.0","0","0.0","0","1.0","0","4.0","0","3.0","0","5.0","0","0.0","0","4.0","0"
"5","0.4783951","0.2993827","0.20454545454545456","2.25","2.0","0","2.0","0","1.0","0.07575758","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","8.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","6.0","0","0.0","0","1.0","0","4.0","0","3.0","0","4.0","0.02873563","0.0","0","4.0","0"
"6","0.4783951","0.2993827","0.20454545454545456","2.25","2.0","0","2.0","0","1.0","0.1190476","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","8.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","6.0","0","0.0","0","1.0","0","4.0","0","3.0","0","4.0","0.04329004","0.0","0","4.0","0"
"7","0.4783951","0.2993827","0.20454545454545456","2.25","2.0","0","2.0","0","1.0","0.1442308","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","8.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","6.0","0","0.0","0","1.0","0","4.0","0","3.0","0","4.0","0.05067568","0.0","0","4.0","0"
"8","0.4783951","0.2993827","0.20454545454545456","2.25","2.0","0","2.0","0","1.0","0.1587302","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","8.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","6.0","0","0.0","0","1.0","0","4.0","0","3.0","0","4.0","0.05420054","0.0","0","4.0","0"
"9","0.4783951","0.2993827","0.20454545454545456","2.25","2.0","0","2.0","0","1.0","0.1666667","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","8.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","6.0","0","0.0","0","1.0","0","4.0","0","3.0","0","4.0","0.05555556","0.0","0","4.0","0"
