"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","BA17-ADS","BA17-GINI -ADS","BA17-AIS","BA17-GINI -AIS","BA18-ADS","BA18-GINI -ADS","BA18-AIS","BA18-GINI -AIS","BA19-ADS","BA19-GINI -ADS","BA19-AIS","BA19-GINI -AIS","BA20-ADS","BA20-GINI -ADS","BA20-AIS","BA20-GINI -AIS","BA21-ADS","BA21-GINI -ADS","BA21-AIS","BA21-GINI -AIS","BA22-ADS","BA22-GINI -ADS","BA22-AIS","BA22-GINI -AIS","BA23-ADS","BA23-GINI -ADS","BA23-AIS","BA23-GINI -AIS","BA24-ADS","BA24-GINI -ADS","BA24-AIS","BA24-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS"
"0","0.2682216","0.6347709","0.1206896551724138","3.3793103448275863","3.0","0","8.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","5.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","26.0","0","1.0","0","11.0","0","1.0","0","27.0","0"
"1","0.2682216","0.6347709","0.1206896551724138","3.3793103448275863","3.0","0","8.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","5.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","26.0","0","1.0","0","11.0","0","1.0","0","27.0","0"
"2","0.2702020","0.6417749","0.13095238095238096","3.5357142857142856","4.0","0.06666667","7.0","0.02898551","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","5.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0.1333333","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1333333","3.0","0","1.0","0.1333333","3.0","0","1.0","0","2.0","0","1.0","0.1333333","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","25.0","0.008658009","1.0","0","11.0","0","1.0","0","26.0","0.008333333"
"3","0.2702020","0.6417749","0.13095238095238096","3.5357142857142856","4.0","0.07142857","7.0","0.03333333","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","5.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0.1666667","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1666667","3.0","0","1.0","0.1666667","3.0","0","1.0","0","2.0","0","1.0","0.1666667","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","25.0","0.009803922","1.0","0","11.0","0","1.0","0","26.0","0.009433962"
"4","0.2702020","0.6417749","0.13095238095238096","3.5357142857142856","4.0","0.06666667","7.0","0.03243243","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","5.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0.1714286","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1714286","3.0","0","1.0","0.1714286","3.0","0","1.0","0","2.0","0","1.0","0.1714286","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","25.0","0.009448819","1.0","0","11.0","0","1.0","0","26.0","0.009090909"
"5","0.2702020","0.6417749","0.13095238095238096","3.5357142857142856","4.0","0.06060606","7.0","0.03030303","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","5.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0.1666667","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1666667","3.0","0","1.0","0.1666667","3.0","0","1.0","0","2.0","0","1.0","0.1666667","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","25.0","0.008771930","1.0","0","11.0","0","1.0","0","26.0","0.008438819"
"6","0.2702020","0.6417749","0.13095238095238096","3.5357142857142856","4.0","0.05494505","7.0","0.02801120","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","5.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0.1587302","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1587302","3.0","0","1.0","0.1587302","3.0","0","1.0","0","2.0","0","1.0","0.1587302","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","25.0","0.008071025","1.0","0","11.0","0","1.0","0","26.0","0.007763975"
"7","0.2702020","0.6417749","0.13095238095238096","3.5357142857142856","4.0","0.05","7.0","0.02586207","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","5.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0.15","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.15","3.0","0","1.0","0.15","3.0","0","1.0","0","2.0","0","1.0","0.15","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","25.0","0.007425743","1.0","0","11.0","0","1.0","0","26.0","0.007142857"
"8","0.2702020","0.6417749","0.13095238095238096","3.5357142857142856","4.0","0.04575163","7.0","0.02393162","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","5.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0.1414141","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1414141","3.0","0","1.0","0.1414141","3.0","0","1.0","0","2.0","0","1.0","0.1414141","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","25.0","0.006852668","1.0","0","11.0","0","1.0","0","26.0","0.006591337"
"9","0.2702020","0.6417749","0.13095238095238096","3.5357142857142856","4.0","0.04210526","7.0","0.02222222","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","5.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0.1333333","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1333333","3.0","0","1.0","0.1333333","3.0","0","1.0","0","2.0","0","1.0","0.1333333","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","25.0","0.006349206","1.0","0","11.0","0","1.0","0","26.0","0.006106870"
"10","0.2702020","0.6417749","0.13095238095238096","3.5357142857142856","4.0","0.03896104","7.0","0.02071346","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","5.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0.1258741","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1258741","3.0","0","1.0","0.1258741","3.0","0","1.0","0","2.0","0","1.0","0.1258741","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","25.0","0.005907450","1.0","0","11.0","0","1.0","0","26.0","0.005681818"
"11","0.2702020","0.6417749","0.13095238095238096","3.5357142857142856","4.0","0.03623188","7.0","0.01937984","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","5.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0.1190476","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1190476","3.0","0","1.0","0.1190476","3.0","0","1.0","0","2.0","0","1.0","0.1190476","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","25.0","0.005518764","1.0","0","11.0","0","1.0","0","26.0","0.005307856"
"12","0.2702020","0.6417749","0.13095238095238096","3.5357142857142856","4.0","0.03384615","7.0","0.01819686","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","5.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0.1128205","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1128205","3.0","0","1.0","0.1128205","3.0","0","1.0","0","2.0","0","1.0","0.1128205","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","25.0","0.005175253","1.0","0","11.0","0","1.0","0","26.0","0.004977376"
"13","0.2702020","0.6417749","0.13095238095238096","3.5357142857142856","4.0","0.03174603","7.0","0.01714286","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","5.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0.1071429","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1071429","3.0","0","1.0","0.1071429","3.0","0","1.0","0","2.0","0","1.0","0.1071429","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","25.0","0.004870130","1.0","0","11.0","0","1.0","0","26.0","0.004683841"
"14","0.2702020","0.6417749","0.13095238095238096","3.5357142857142856","4.0","0.02988506","7.0","0.01619938","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","5.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0.1019608","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1019608","3.0","0","1.0","0.1019608","3.0","0","1.0","0","2.0","0","1.0","0.1019608","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","25.0","0.004597701","1.0","0","11.0","0","1.0","0","26.0","0.004421769"
"15","0.2702020","0.6417749","0.13095238095238096","3.5357142857142856","4.0","0.02822581","7.0","0.01535088","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","5.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0.09722222","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.09722222","3.0","0","1.0","0.09722222","3.0","0","1.0","0","2.0","0","1.0","0.09722222","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","25.0","0.004353234","1.0","0","11.0","0","1.0","0","26.0","0.004186603"
"16","0.2702020","0.6417749","0.13095238095238096","3.5357142857142856","4.0","0.02673797","7.0","0.01458435","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","5.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0.09287926","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.09287926","3.0","0","1.0","0.09287926","3.0","0","1.0","0","2.0","0","1.0","0.09287926","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","25.0","0.004132801","1.0","0","11.0","0","1.0","0","26.0","0.003974563"
"17","0.2702020","0.6417749","0.13095238095238096","3.5357142857142856","4.0","0.02539683","7.0","0.01388889","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","5.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0.08888889","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.08888889","3.0","0","1.0","0.08888889","3.0","0","1.0","0","2.0","0","1.0","0.08888889","7.0","0","1.0","0","16.0","0","0.0","0","1.0","0","25.0","0.003933137","1.0","0","11.0","0","1.0","0","26.0","0.003782506"
