"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","RD14-ADS","RD14-AIS","RD14-ACS","RD14-RCS","RD14-RIS","RD15-ADS","RD15-AIS","RD15-ACS","RD15-RCS","RD15-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS"
"1","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","1.0","3.0","3.0","0.05263157894736842","0.15789473684210525","3.0","3.0","9.0","0.15789473684210525","0.15789473684210525","1.0","2.0","2.0","0.05263157894736842","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","1.0","2.0","2.0","0.05263157894736842","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","3.0","3.0","9.0","0.15789473684210525","0.15789473684210525","10.0","4.0","40.0","0.5263157894736842","0.21052631578947367","4.0","2.0","8.0","0.21052631578947367","0.10526315789473684","5.0","1.0","5.0","0.2631578947368421","0.05263157894736842","5.0","0.0","0.0","0.2631578947368421","0.0","1.0","16.0","16.0","0.05263157894736842","0.8421052631578947","0.0","7.0","0.0","0.0","0.3684210526315789"
"2","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","1.0","3.0","3.0","0.05263157894736842","0.15789473684210525","3.0","3.0","9.0","0.15789473684210525","0.15789473684210525","1.0","2.0","2.0","0.05263157894736842","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","1.0","2.0","2.0","0.05263157894736842","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","3.0","3.0","9.0","0.15789473684210525","0.15789473684210525","10.0","4.0","40.0","0.5263157894736842","0.21052631578947367","4.0","2.0","8.0","0.21052631578947367","0.10526315789473684","5.0","1.0","5.0","0.2631578947368421","0.05263157894736842","5.0","0.0","0.0","0.2631578947368421","0.0","1.0","16.0","16.0","0.05263157894736842","0.8421052631578947","0.0","7.0","0.0","0.0","0.3684210526315789"
"3","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","1.0","3.0","3.0","0.05263157894736842","0.15789473684210525","3.0","3.0","9.0","0.15789473684210525","0.15789473684210525","1.0","2.0","2.0","0.05263157894736842","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","1.0","2.0","2.0","0.05263157894736842","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","3.0","3.0","9.0","0.15789473684210525","0.15789473684210525","10.0","4.0","40.0","0.5263157894736842","0.21052631578947367","4.0","2.0","8.0","0.21052631578947367","0.10526315789473684","5.0","1.0","5.0","0.2631578947368421","0.05263157894736842","5.0","0.0","0.0","0.2631578947368421","0.0","1.0","16.0","16.0","0.05263157894736842","0.8421052631578947","0.0","7.0","0.0","0.0","0.3684210526315789"
"4","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","1.0","3.0","3.0","0.05263157894736842","0.15789473684210525","3.0","3.0","9.0","0.15789473684210525","0.15789473684210525","1.0","2.0","2.0","0.05263157894736842","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","1.0","2.0","2.0","0.05263157894736842","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","3.0","3.0","9.0","0.15789473684210525","0.15789473684210525","10.0","4.0","40.0","0.5263157894736842","0.21052631578947367","4.0","2.0","8.0","0.21052631578947367","0.10526315789473684","5.0","1.0","5.0","0.2631578947368421","0.05263157894736842","5.0","0.0","0.0","0.2631578947368421","0.0","1.0","16.0","16.0","0.05263157894736842","0.8421052631578947","0.0","7.0","0.0","0.0","0.3684210526315789"
"5","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","1.0","3.0","3.0","0.05263157894736842","0.15789473684210525","3.0","3.0","9.0","0.15789473684210525","0.15789473684210525","1.0","2.0","2.0","0.05263157894736842","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","1.0","2.0","2.0","0.05263157894736842","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","3.0","3.0","9.0","0.15789473684210525","0.15789473684210525","10.0","4.0","40.0","0.5263157894736842","0.21052631578947367","4.0","2.0","8.0","0.21052631578947367","0.10526315789473684","5.0","1.0","5.0","0.2631578947368421","0.05263157894736842","5.0","0.0","0.0","0.2631578947368421","0.0","1.0","16.0","16.0","0.05263157894736842","0.8421052631578947","0.0","7.0","0.0","0.0","0.3684210526315789"
"6","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","3.0","3.0","9.0","0.16666666666666666","0.16666666666666666","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","3.0","3.0","9.0","0.16666666666666666","0.16666666666666666","8.0","4.0","32.0","0.4444444444444444","0.2222222222222222","4.0","2.0","8.0","0.2222222222222222","0.1111111111111111","5.0","1.0","5.0","0.2777777777777778","0.05555555555555555","5.0","0.0","0.0","0.2777777777777778","0.0","1.0","15.0","15.0","0.05555555555555555","0.8333333333333334","0.0","7.0","0.0","0.0","0.3888888888888889"
"7","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","3.0","3.0","9.0","0.16666666666666666","0.16666666666666666","6.0","4.0","24.0","0.3333333333333333","0.2222222222222222","4.0","2.0","8.0","0.2222222222222222","0.1111111111111111","5.0","1.0","5.0","0.2777777777777778","0.05555555555555555","5.0","0.0","0.0","0.2777777777777778","0.0","1.0","15.0","15.0","0.05555555555555555","0.8333333333333334","0.0","7.0","0.0","0.0","0.3888888888888889"
"8","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","3.0","3.0","9.0","0.16666666666666666","0.16666666666666666","6.0","4.0","24.0","0.3333333333333333","0.2222222222222222","4.0","2.0","8.0","0.2222222222222222","0.1111111111111111","5.0","1.0","5.0","0.2777777777777778","0.05555555555555555","5.0","0.0","0.0","0.2777777777777778","0.0","1.0","15.0","15.0","0.05555555555555555","0.8333333333333334","0.0","7.0","0.0","0.0","0.3888888888888889"
"9","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","3.0","3.0","9.0","0.16666666666666666","0.16666666666666666","6.0","4.0","24.0","0.3333333333333333","0.2222222222222222","4.0","2.0","8.0","0.2222222222222222","0.1111111111111111","5.0","1.0","5.0","0.2777777777777778","0.05555555555555555","5.0","0.0","0.0","0.2777777777777778","0.0","1.0","15.0","15.0","0.05555555555555555","0.8333333333333334","0.0","7.0","0.0","0.0","0.3888888888888889"
"10","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","3.0","9.0","0.17647058823529413","0.17647058823529413","4.0","3.0","12.0","0.23529411764705882","0.17647058823529413","4.0","2.0","8.0","0.23529411764705882","0.11764705882352941","5.0","1.0","5.0","0.29411764705882354","0.058823529411764705","5.0","0.0","0.0","0.29411764705882354","0.0","1.0","14.0","14.0","0.058823529411764705","0.8235294117647058","0.0","6.0","0.0","0.0","0.35294117647058826"
