"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","RD13-ADS","RD13-GINI -ADS","RD13-AIS","RD13-GINI -AIS","RD14-ADS","RD14-GINI -ADS","RD14-AIS","RD14-GINI -AIS","RD15-ADS","RD15-GINI -ADS","RD15-AIS","RD15-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS"
"10","0.3146375","0.4897401","0.15808823529411764","2.5294117647058822","3.0","0","1.0","0","1.0","0","2.0","0.1010101","3.0","0","2.0","0.09740260","1.0","0","1.0","0.1604278","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0.08181818","3.0","0","3.0","0","4.0","0.1688312","3.0","0.03896104","4.0","0","2.0","0","5.0","0","1.0","0","5.0","0","0.0","0","1.0","0","14.0","0.02597403","0.0","0","6.0","0.02181818"
"11","0.3146375","0.4897401","0.15808823529411764","2.5294117647058822","3.0","0","1.0","0","1.0","0","2.0","0.1005747","3.0","0","2.0","0.1","1.0","0","1.0","0.1666667","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0.1071429","3.0","0","3.0","0","4.0","0.1856061","3.0","0.05","4.0","0","2.0","0","5.0","0","1.0","0","5.0","0","0.0","0","1.0","0","14.0","0.02838828","0.0","0","6.0","0.02777778"
"12","0.3146375","0.4897401","0.15808823529411764","2.5294117647058822","3.0","0","1.0","0","1.0","0","2.0","0.09925558","3.0","0","2.0","0.1009615","1.0","0","1.0","0.1700405","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0.1258741","3.0","0","3.0","0","4.0","0.1973244","3.0","0.05769231","4.0","0","2.0","0","5.0","0","1.0","0","5.0","0","0.0","0","1.0","0","14.0","0.02982732","0.0","0","6.0","0.03183024"
"13","0.3156385","0.4992826","0.15073529411764705","2.411764705882353","3.0","0","1.0","0","1.0","0","2.0","0.09740260","3.0","0","2.0","0.1008403","1.0","0","1.0","0.1714286","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0.1397516","3.0","0","2.0","0.02264808","2.0","0.2294833","3.0","0.06302521","4.0","0","1.0","0.03439153","5.0","0","1.0","0","5.0","0","0.0","0","1.0","0","14.0","0.03061224","0.0","0","6.0","0.03456221"
"14","0.3156385","0.4992826","0.15073529411764705","2.411764705882353","3.0","0","1.0","0","1.0","0","2.0","0.09523810","3.0","0","2.0","0.1","1.0","0","1.0","0.1714286","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0.15","3.0","0","2.0","0.04031008","2.0","0.2555556","3.0","0.06666667","4.0","0","1.0","0.06190476","5.0","0","1.0","0","5.0","0","0.0","0","1.0","0","14.0","0.03095238","0.0","0","6.0","0.03636364"
"15","0.3156385","0.4992826","0.15073529411764705","2.411764705882353","3.0","0","1.0","0","1.0","0","2.0","0.09290541","3.0","0","2.0","0.09868421","1.0","0","1.0","0.1704545","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0.1575","3.0","0","2.0","0.05416667","2.0","0.2767857","3.0","0.06907895","4.0","0","1.0","0.08405172","5.0","0","1.0","0","5.0","0","0.0","0","1.0","0","14.0","0.03098739","0.0","0","6.0","0.0375"
"16","0.3156385","0.4992826","0.15073529411764705","2.411764705882353","3.0","0","1.0","0","1.0","0","2.0","0.09049774","3.0","0","2.0","0.09705882","1.0","0","1.0","0.1687980","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0.1628959","3.0","0","2.0","0.06508135","2.0","0.2941176","3.0","0.07058824","4.0","0","1.0","0.1019608","5.0","0","1.0","0","5.0","0","0.0","0","1.0","0","14.0","0.03081232","0.0","0","6.0","0.03815580"
"17","0.3156385","0.4992826","0.15073529411764705","2.411764705882353","3.0","0","1.0","0","1.0","0","2.0","0.08807588","3.0","0","2.0","0.09523810","1.0","0","1.0","0.1666667","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0.1666667","3.0","0","2.0","0.07369615","2.0","0.3082789","3.0","0.07142857","4.0","0","1.0","0.1164875","5.0","0","1.0","0","5.0","0","0.0","0","1.0","0","14.0","0.03049290","0.0","0","6.0","0.03846154"
"18","0.3156385","0.4992826","0.15073529411764705","2.411764705882353","3.0","0","1.0","0","1.0","0","2.0","0.08567931","3.0","0","2.0","0.09330144","1.0","0","1.0","0.1642105","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0.1691729","3.0","0","2.0","0.08049536","2.0","0.3198381","3.0","0.07177033","4.0","0","1.0","0.1282895","5.0","0","1.0","0","5.0","0","0.0","0","1.0","0","14.0","0.03007519","0.0","0","6.0","0.03851091"
"19","0.3156385","0.4992826","0.15073529411764705","2.411764705882353","3.0","0","1.0","0","1.0","0","2.0","0.08333333","3.0","0","2.0","0.09130435","1.0","0","1.0","0.1615385","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0.1706897","3.0","0","2.0","0.08584906","2.0","0.3292453","3.0","0.07173913","4.0","0","1.0","0.1378788","5.0","0","1.0","0","5.0","0","0.0","0","1.0","0","14.0","0.02959184","0.0","0","6.0","0.03837209"
"20","0.3156385","0.4992826","0.15073529411764705","2.411764705882353","3.0","0","1.0","0","1.0","0","2.0","0.08105370","3.0","0","2.0","0.08928571","1.0","0","1.0","0.1587302","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0.1714286","3.0","0","2.0","0.09004329","2.0","0.3368607","3.0","0.07142857","4.0","0","1.0","0.1456583","5.0","0","1.0","0","5.0","0","0.0","0","1.0","0","14.0","0.02906617","0.0","0","6.0","0.03809524"
