"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS"
"1","9.0","2.0","18.0","0.6923076923076923","0.15384615384615385","4.0","2.0","8.0","0.3076923076923077","0.15384615384615385","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","3.0","0.0","0.0","0.23076923076923078","0.0","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","6.0","6.0","0.07692307692307693","0.46153846153846156","5.0","5.0","25.0","0.38461538461538464","0.38461538461538464","1.0","5.0","5.0","0.07692307692307693","0.38461538461538464","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","9.0","2.0","18.0","0.6923076923076923","0.15384615384615385","4.0","2.0","8.0","0.3076923076923077","0.15384615384615385","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","3.0","0.0","0.0","0.23076923076923078","0.0","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","6.0","6.0","0.07692307692307693","0.46153846153846156","5.0","5.0","25.0","0.38461538461538464","0.38461538461538464","1.0","5.0","5.0","0.07692307692307693","0.38461538461538464","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","9.0","2.0","18.0","0.6923076923076923","0.15384615384615385","4.0","2.0","8.0","0.3076923076923077","0.15384615384615385","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","3.0","0.0","0.0","0.23076923076923078","0.0","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","6.0","6.0","0.07692307692307693","0.46153846153846156","5.0","5.0","25.0","0.38461538461538464","0.38461538461538464","1.0","5.0","5.0","0.07692307692307693","0.38461538461538464","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","9.0","2.0","18.0","0.6923076923076923","0.15384615384615385","4.0","2.0","8.0","0.3076923076923077","0.15384615384615385","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","3.0","0.0","0.0","0.23076923076923078","0.0","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","6.0","6.0","0.07692307692307693","0.46153846153846156","5.0","5.0","25.0","0.38461538461538464","0.38461538461538464","1.0","5.0","5.0","0.07692307692307693","0.38461538461538464","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","9.0","2.0","18.0","0.6923076923076923","0.15384615384615385","4.0","2.0","8.0","0.3076923076923077","0.15384615384615385","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","3.0","0.0","0.0","0.23076923076923078","0.0","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","6.0","6.0","0.07692307692307693","0.46153846153846156","5.0","5.0","25.0","0.38461538461538464","0.38461538461538464","1.0","5.0","5.0","0.07692307692307693","0.38461538461538464","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","9.0","2.0","18.0","0.6923076923076923","0.15384615384615385","4.0","2.0","8.0","0.3076923076923077","0.15384615384615385","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","3.0","0.0","0.0","0.23076923076923078","0.0","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","6.0","6.0","0.07692307692307693","0.46153846153846156","5.0","5.0","25.0","0.38461538461538464","0.38461538461538464","1.0","5.0","5.0","0.07692307692307693","0.38461538461538464","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","9.0","2.0","18.0","0.6923076923076923","0.15384615384615385","4.0","2.0","8.0","0.3076923076923077","0.15384615384615385","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","3.0","0.0","0.0","0.23076923076923078","0.0","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","6.0","6.0","0.07692307692307693","0.46153846153846156","5.0","5.0","25.0","0.38461538461538464","0.38461538461538464","1.0","5.0","5.0","0.07692307692307693","0.38461538461538464","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","9.0","2.0","18.0","0.6923076923076923","0.15384615384615385","4.0","2.0","8.0","0.3076923076923077","0.15384615384615385","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","3.0","0.0","0.0","0.23076923076923078","0.0","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","6.0","6.0","0.07692307692307693","0.46153846153846156","5.0","5.0","25.0","0.38461538461538464","0.38461538461538464","1.0","5.0","5.0","0.07692307692307693","0.38461538461538464","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","9.0","3.0","27.0","0.6428571428571429","0.21428571428571427","4.0","2.0","8.0","0.2857142857142857","0.14285714285714285","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","2.0","4.0","0.14285714285714285","0.14285714285714285","2.0","2.0","4.0","0.14285714285714285","0.14285714285714285","3.0","0.0","0.0","0.21428571428571427","0.0","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","1.0","7.0","7.0","0.07142857142857142","0.5","5.0","5.0","25.0","0.35714285714285715","0.35714285714285715","1.0","6.0","6.0","0.07142857142857142","0.42857142857142855","1.0","11.0","11.0","0.07142857142857142","0.7857142857142857","4.0","0.0","0.0","0.2857142857142857","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","9.0","3.0","27.0","0.6428571428571429","0.21428571428571427","4.0","2.0","8.0","0.2857142857142857","0.14285714285714285","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","2.0","4.0","0.14285714285714285","0.14285714285714285","2.0","2.0","4.0","0.14285714285714285","0.14285714285714285","3.0","0.0","0.0","0.21428571428571427","0.0","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","1.0","7.0","7.0","0.07142857142857142","0.5","5.0","5.0","25.0","0.35714285714285715","0.35714285714285715","1.0","6.0","6.0","0.07142857142857142","0.42857142857142855","1.0","11.0","11.0","0.07142857142857142","0.7857142857142857","4.0","0.0","0.0","0.2857142857142857","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
