"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2476190","0.6340136","0.23333333333333334","3.2666666666666666","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","10.0","0","4.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","8.0","0","0.0","0","1.0","0","12.0","0","1.0","0","6.0","0","1.0","0","13.0","0","0.0","","0.0"
"1","0.2476190","0.6340136","0.23333333333333334","3.2666666666666666","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","10.0","0","4.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","8.0","0","0.0","0","1.0","0","12.0","0","1.0","0","6.0","0","1.0","0","13.0","0","0.0","","0.0"
"2","0.2476190","0.6340136","0.23333333333333334","3.2666666666666666","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","10.0","0","4.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","8.0","0","0.0","0","1.0","0","12.0","0","1.0","0","6.0","0","1.0","0","13.0","0","0.0","","0.0"
"3","0.2476190","0.6340136","0.23333333333333334","3.2666666666666666","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","10.0","0","4.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","8.0","0","0.0","0","1.0","0","12.0","0","1.0","0","6.0","0","1.0","0","13.0","0","0.0","","0.0"
"4","0.2536765","0.6188725","0.2125","3.1875","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","5.0","0.08888889","4.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","8.0","0","0.0","0","1.0","0","13.0","0.01311475","1.0","0","7.0","0.02580645","1.0","0","13.0","0","2.0","0","5.0","0"
"5","0.2536765","0.6188725","0.2125","3.1875","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","5.0","0.1333333","4.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","8.0","0","0.0","0","1.0","0","13.0","0.01801802","1.0","0","7.0","0.03508772","1.0","0","13.0","0","2.0","0","5.0","0"
"6","0.2536765","0.6188725","0.2125","3.1875","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","5.0","0.1558442","4.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","8.0","0","0.0","0","1.0","0","13.0","0.01970443","1.0","0","7.0","0.03809524","1.0","0","13.0","0","2.0","0","5.0","0"
"7","0.2536765","0.6188725","0.2125","3.1875","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","5.0","0.1666667","4.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","8.0","0","0.0","0","1.0","0","13.0","0.02","1.0","0","7.0","0.03846154","1.0","0","13.0","0","2.0","0","5.0","0"
"8","0.2536765","0.6188725","0.2125","3.1875","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","5.0","0.1709402","4.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","8.0","0","0.0","0","1.0","0","13.0","0.01966568","1.0","0","7.0","0.03766478","1.0","0","13.0","0","2.0","0","5.0","0"
"9","0.2536765","0.6188725","0.2125","3.1875","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","5.0","0.1714286","4.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","8.0","0","0.0","0","1.0","0","13.0","0.01904762","1.0","0","7.0","0.03636364","1.0","0","13.0","0","2.0","0","5.0","0"
"10","0.2536765","0.6188725","0.2125","3.1875","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","5.0","0.1696970","4.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","8.0","0","0.0","0","1.0","0","13.0","0.01831262","1.0","0","7.0","0.03486924","1.0","0","13.0","0","2.0","0","5.0","0"
"11","0.2536765","0.6188725","0.2125","3.1875","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","5.0","0.1666667","4.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","8.0","0","0.0","0","1.0","0","13.0","0.01754386","1.0","0","7.0","0.03333333","1.0","0","13.0","0","2.0","0","5.0","0"
"12","0.2536765","0.6188725","0.2125","3.1875","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","5.0","0.1628959","4.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","8.0","0","0.0","0","1.0","0","13.0","0.01678322","1.0","0","7.0","0.03183024","1.0","0","13.0","0","2.0","0","5.0","0"
