"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2809917","0.5619835","0.2","2.0","2.0","0","1.0","0","1.0","0","5.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","9.0","0","0.0","","0.0"
"1","0.2809917","0.5619835","0.2","2.0","2.0","0","1.0","0","1.0","0","5.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","9.0","0","0.0","","0.0"
"2","0.2809917","0.5619835","0.2","2.0","2.0","0","1.0","0","1.0","0","5.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","9.0","0","0.0","","0.0"
"3","0.2809917","0.5619835","0.2","2.0","2.0","0","1.0","0","1.0","0","5.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","9.0","0","0.0","","0.0"
"4","0.2809917","0.5619835","0.2","2.0","2.0","0","1.0","0","1.0","0","5.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","9.0","0","0.0","","0.0"
"5","0.2934783","0.5398551","0.17424242424242425","1.9166666666666667","2.0","0","1.0","0","1.0","0","3.0","0.05952381","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","10.0","0.01515152","1.0","0","2.0","0"
"6","0.2934783","0.5398551","0.17424242424242425","1.9166666666666667","2.0","0","1.0","0","1.0","0","3.0","0.09216590","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","10.0","0.02197802","1.0","0","2.0","0"
"7","0.2934783","0.5398551","0.17424242424242425","1.9166666666666667","2.0","0","1.0","0","1.0","0","3.0","0.1102941","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","10.0","0.025","1.0","0","2.0","0"
"8","0.2934783","0.5398551","0.17424242424242425","1.9166666666666667","2.0","0","1.0","0","1.0","0","3.0","0.1201201","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","10.0","0.02614379","1.0","0","2.0","0"
"9","0.2934783","0.5398551","0.17424242424242425","1.9166666666666667","2.0","0","1.0","0","1.0","0","3.0","0.125","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","10.0","0.02631579","1.0","0","2.0","0"
