"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS"
"0","0.3928571","0.3928571","0.125","0.875","3.0","0","2.0","0","3.0","0","0.0","0","0.0","0","6.0","0","1.0","0","6.0","0"
"1","0.3928571","0.3928571","0.125","0.875","3.0","0","2.0","0","3.0","0","0.0","0","0.0","0","6.0","0","1.0","0","6.0","0"
"2","0.3928571","0.3928571","0.125","0.875","3.0","0","2.0","0","3.0","0","0.0","0","0.0","0","6.0","0","1.0","0","6.0","0"
"3","0.3928571","0.3928571","0.125","0.875","3.0","0","2.0","0","3.0","0","0.0","0","0.0","0","6.0","0","1.0","0","6.0","0"
"4","0.3928571","0.3928571","0.125","0.875","3.0","0","2.0","0","3.0","0","0.0","0","0.0","0","6.0","0","1.0","0","6.0","0"
"5","0.3928571","0.3928571","0.125","0.875","3.0","0","2.0","0","3.0","0","0.0","0","0.0","0","6.0","0","1.0","0","6.0","0"
"6","0.4722222","0.4318182","0.21428571428571427","1.2857142857142858","5.0","0.07453416","1.0","0.06593407","3.0","0","0.0","0","0.0","0","5.0","0.02090592","1.0","0","5.0","0.02090592"
"7","0.4722222","0.4318182","0.21428571428571427","1.2857142857142858","5.0","0.1071429","1.0","0.1071429","3.0","0","0.0","0","0.0","0","5.0","0.03260870","1.0","0","5.0","0.03260870"
"8","0.4722222","0.4318182","0.21428571428571427","1.2857142857142858","5.0","0.1212121","1.0","0.1333333","3.0","0","0.0","0","0.0","0","5.0","0.03921569","1.0","0","5.0","0.03921569"
"9","0.3928571","0.3928571","0.35","1.4","3.0","0.1166667","1.0","0.15","3.0","0","0.0","0","0.0","0","3.0","0.07777778","1.0","0","3.0","0.07777778"
"10","0.3928571","0.3928571","0.35","1.4","3.0","0.1118881","1.0","0.1604278","3.0","0","0.0","0","0.0","0","3.0","0.1052632","1.0","0","3.0","0.1052632"
"11","0.3928571","0.3928571","0.35","1.4","3.0","0.1071429","1.0","0.1666667","3.0","0","0.0","0","0.0","0","3.0","0.125","1.0","0","3.0","0.125"
"12","0.3928571","0.3928571","0.35","1.4","3.0","0.1025641","1.0","0.1700405","3.0","0","0.0","0","0.0","0","3.0","0.1391941","1.0","0","3.0","0.1391941"
"13","0.4166667","0.4166667","0.5","1.5","2.0","0.1200608","1.0","0.1714286","3.0","0","0.0","0","0.0","0","3.0","0.1493506","1.0","0","2.0","0.1659341"
"14","0.4166667","0.4166667","0.5","1.5","2.0","0.1333333","1.0","0.1714286","3.0","0","0.0","0","0.0","0","3.0","0.1565217","1.0","0","2.0","0.1870647"
"15","0.4166667","0.4166667","0.5","1.5","2.0","0.1433824","1.0","0.1704545","3.0","0","0.0","0","0.0","0","3.0","0.1614583","1.0","0","2.0","0.2038043"
"16","0.4166667","0.4166667","0.5","1.5","2.0","0.1509434","1.0","0.1687980","3.0","0","0.0","0","0.0","0","3.0","0.1647059","1.0","0","2.0","0.2170671"
"17","0.3928571","0.4642857","0.35","1.4","3.0","0.1448413","1.0","0.1666667","3.0","0","0.0","0","0.0","0","4.0","0.1638537","1.0","0","2.0","0.2275495"
"18","0.3928571","0.4642857","0.35","1.4","3.0","0.1391615","1.0","0.1642105","3.0","0","0.0","0","0.0","0","4.0","0.1623335","1.0","0","2.0","0.2357895"
"19","0.3928571","0.4642857","0.35","1.4","3.0","0.1338710","1.0","0.1615385","3.0","0","0.0","0","0.0","0","4.0","0.1603448","1.0","0","2.0","0.2422078"
"20","0.4166667","0.4166667","0.5","1.5","2.0","0.1398810","1.0","0.1587302","3.0","0","0.0","0","0.0","0","3.0","0.1619048","1.0","0","2.0","0.2471368"
