"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2377622","0.5244755","0.23636363636363636","2.3636363636363638","2.0","0","4.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","3.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0"
"1","0.2377622","0.5244755","0.23636363636363636","2.3636363636363638","2.0","0","4.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","3.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0"
"2","0.2377622","0.5244755","0.23636363636363636","2.3636363636363638","2.0","0","4.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","3.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0"
"3","0.2377622","0.5244755","0.23636363636363636","2.3636363636363638","2.0","0","4.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","3.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0"
"4","0.2377622","0.5244755","0.23636363636363636","2.3636363636363638","2.0","0","4.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","3.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0"
"5","0.2377622","0.5244755","0.23636363636363636","2.3636363636363638","2.0","0","4.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","3.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0"
"6","0.2321429","0.5416667","0.21212121212121213","2.3333333333333335","2.0","0","2.0","0.06593407","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.02380952","3.0","0","4.0","0","1.0","0","9.0","0.01503759","2.0","0","2.0","0"
"7","0.2321429","0.5416667","0.21212121212121213","2.3333333333333335","2.0","0","2.0","0.1071429","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.03571429","3.0","0","4.0","0","1.0","0","9.0","0.02272727","2.0","0","2.0","0"
"8","0.2321429","0.5416667","0.21212121212121213","2.3333333333333335","2.0","0","2.0","0.1333333","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.04166667","3.0","0","4.0","0","1.0","0","9.0","0.02666667","2.0","0","2.0","0"
"9","0.2321429","0.5416667","0.21212121212121213","2.3333333333333335","2.0","0","2.0","0.15","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.04444444","3.0","0","4.0","0","1.0","0","9.0","0.02857143","2.0","0","2.0","0"
"10","0.2321429","0.5416667","0.21212121212121213","2.3333333333333335","2.0","0","2.0","0.1604278","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.04545455","3.0","0","4.0","0","1.0","0","9.0","0.02932551","2.0","0","2.0","0"
"11","0.2321429","0.5416667","0.21212121212121213","2.3333333333333335","2.0","0","2.0","0.1666667","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.04545455","3.0","0","4.0","0","1.0","0","9.0","0.02941176","2.0","0","2.0","0"
"12","0.2321429","0.5416667","0.21212121212121213","2.3333333333333335","2.0","0","2.0","0.1700405","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.04487179","3.0","0","4.0","0","1.0","0","9.0","0.02910603","2.0","0","2.0","0"
"13","0.2321429","0.5416667","0.21212121212121213","2.3333333333333335","2.0","0","2.0","0.1714286","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.04395604","3.0","0","4.0","0","1.0","0","9.0","0.02857143","2.0","0","2.0","0"
"14","0.2321429","0.5416667","0.21212121212121213","2.3333333333333335","2.0","0","2.0","0.1714286","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.04285714","3.0","0","4.0","0","1.0","0","9.0","0.02790698","2.0","0","2.0","0"
"15","0.2321429","0.5416667","0.21212121212121213","2.3333333333333335","2.0","0","2.0","0.1704545","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.04166667","3.0","0","4.0","0","1.0","0","9.0","0.02717391","2.0","0","2.0","0"
"16","0.2321429","0.5416667","0.21212121212121213","2.3333333333333335","2.0","0","2.0","0.1687980","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.04044118","3.0","0","4.0","0","1.0","0","9.0","0.02641056","2.0","0","2.0","0"
"17","0.2321429","0.5416667","0.21212121212121213","2.3333333333333335","2.0","0","2.0","0.1666667","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.03921569","3.0","0","4.0","0","1.0","0","9.0","0.02564103","2.0","0","2.0","0"
"18","0.2321429","0.5416667","0.21212121212121213","2.3333333333333335","2.0","0","2.0","0.1642105","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.03801170","3.0","0","4.0","0","1.0","0","9.0","0.02488038","2.0","0","2.0","0"
"19","0.2321429","0.5416667","0.21212121212121213","2.3333333333333335","2.0","0","2.0","0.1615385","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.03684211","3.0","0","4.0","0","1.0","0","9.0","0.02413793","2.0","0","2.0","0"
"20","0.2321429","0.5416667","0.21212121212121213","2.3333333333333335","2.0","0","2.0","0.1587302","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.03571429","3.0","0","4.0","0","1.0","0","9.0","0.02341920","2.0","0","2.0","0"
