"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS"
"0","0.2894737","0.3842105","0.2111111111111111","1.9","1.0","0","2.0","0","2.0","0","3.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0","2.0","0","2.0","0","0.0","0","3.0","0"
"1","0.2894737","0.3842105","0.2111111111111111","1.9","1.0","0","2.0","0","2.0","0","3.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0","2.0","0","2.0","0","0.0","0","3.0","0"
"2","0.2894737","0.3842105","0.2111111111111111","1.9","1.0","0","2.0","0","2.0","0","3.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0","2.0","0","2.0","0","0.0","0","3.0","0"
"3","0.2894737","0.3842105","0.2111111111111111","1.9","1.0","0","2.0","0","2.0","0","3.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0","2.0","0","2.0","0","0.0","0","3.0","0"
"4","0.2894737","0.3842105","0.2111111111111111","1.9","1.0","0","2.0","0","2.0","0","3.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0","2.0","0","2.0","0","0.0","0","3.0","0"
"5","0.2894737","0.3842105","0.2111111111111111","1.9","1.0","0","2.0","0","2.0","0","3.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0","2.0","0","2.0","0","0.0","0","3.0","0"
"6","0.2894737","0.3842105","0.2111111111111111","1.9","1.0","0","2.0","0","2.0","0","3.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0","2.0","0","2.0","0","0.0","0","3.0","0"
"7","0.2894737","0.3842105","0.2111111111111111","1.9","1.0","0","2.0","0","2.0","0","3.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0","2.0","0","2.0","0","0.0","0","3.0","0"
"8","0.3222222","0.4","0.2","1.8","1.0","0","1.0","0.05228758","1.0","0.05228758","3.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0","2.0","0","2.0","0","0.0","0","3.0","0"
"9","0.3222222","0.4","0.2","1.8","1.0","0","1.0","0.08888889","1.0","0.08888889","3.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0","2.0","0","2.0","0","0.0","0","3.0","0"
"10","0.3222222","0.4","0.2","1.8","1.0","0","1.0","0.1148325","1.0","0.1148325","3.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0","2.0","0","2.0","0","0.0","0","3.0","0"
"11","0.3222222","0.4","0.2","1.8","1.0","0","1.0","0.1333333","1.0","0.1333333","3.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0","2.0","0","2.0","0","0.0","0","3.0","0"
"12","0.3222222","0.4","0.2","1.8","1.0","0","1.0","0.1465201","1.0","0.1465201","3.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0","2.0","0","2.0","0","0.0","0","3.0","0"
"13","0.3222222","0.4","0.2","1.8","1.0","0","1.0","0.1558442","1.0","0.1558442","3.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0","2.0","0","2.0","0","0.0","0","3.0","0"
"14","0.3222222","0.4","0.2","1.8","1.0","0","1.0","0.1623188","1.0","0.1623188","3.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0","2.0","0","2.0","0","0.0","0","3.0","0"
"15","0.3222222","0.4","0.2","1.8","1.0","0","1.0","0.1666667","1.0","0.1666667","3.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0","2.0","0","2.0","0","0.0","0","3.0","0"
"16","0.3222222","0.4","0.2","1.8","1.0","0","1.0","0.1694118","1.0","0.1694118","3.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0","2.0","0","2.0","0","0.0","0","3.0","0"
"17","0.3222222","0.4","0.2","1.8","1.0","0","1.0","0.1709402","1.0","0.1709402","3.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0","2.0","0","2.0","0","0.0","0","3.0","0"
"18","0.3222222","0.4","0.2","1.8","1.0","0","1.0","0.1715400","1.0","0.1715400","3.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0","2.0","0","2.0","0","0.0","0","3.0","0"
"19","0.3222222","0.4","0.2","1.8","1.0","0","1.0","0.1714286","1.0","0.1714286","3.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0","2.0","0","2.0","0","0.0","0","3.0","0"
"20","0.3222222","0.4","0.2","1.8","1.0","0","1.0","0.1707718","1.0","0.1707718","3.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0","2.0","0","2.0","0","0.0","0","3.0","0"
