"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2370130","0.5649351","0.24175824175824176","3.142857142857143","2.0","0","7.0","0","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","11.0","0","1.0","0","5.0","0","1.0","0","12.0","0","0.0","","0.0"
"1","0.2370130","0.5649351","0.24175824175824176","3.142857142857143","2.0","0","7.0","0","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","11.0","0","1.0","0","5.0","0","1.0","0","12.0","0","0.0","","0.0"
"2","0.2370130","0.5649351","0.24175824175824176","3.142857142857143","2.0","0","7.0","0","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","11.0","0","1.0","0","5.0","0","1.0","0","12.0","0","0.0","","0.0"
"3","0.2370130","0.5649351","0.24175824175824176","3.142857142857143","2.0","0","7.0","0","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","11.0","0","1.0","0","5.0","0","1.0","0","12.0","0","0.0","","0.0"
"4","0.2297872","0.5673759","0.22380952380952382","3.1333333333333333","2.0","0","4.0","0.075","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","12.0","0.01428571","1.0","0","6.0","0.03076923","1.0","0","13.0","0.01311475","3.0","0","3.0","0"
"5","0.2297872","0.5673759","0.22380952380952382","3.1333333333333333","2.0","0","4.0","0.1111111","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","12.0","0.01960784","1.0","0","6.0","0.04166667","1.0","0","13.0","0.01801802","3.0","0","3.0","0"
"6","0.2297872","0.5673759","0.22380952380952382","3.1333333333333333","2.0","0","4.0","0.1285714","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","12.0","0.02142857","1.0","0","6.0","0.04511278","1.0","0","13.0","0.01970443","3.0","0","3.0","0"
"7","0.2297872","0.5673759","0.22380952380952382","3.1333333333333333","2.0","0","4.0","0.1363636","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","12.0","0.02173913","1.0","0","6.0","0.04545455","1.0","0","13.0","0.02","3.0","0","3.0","0"
"8","0.2297872","0.5673759","0.22380952380952382","3.1333333333333333","2.0","0","4.0","0.1388889","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","12.0","0.02136752","1.0","0","6.0","0.04444444","1.0","0","13.0","0.01966568","3.0","0","3.0","0"
"9","0.2297872","0.5673759","0.22380952380952382","3.1333333333333333","2.0","0","4.0","0.1384615","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","12.0","0.02068966","1.0","0","6.0","0.04285714","1.0","0","13.0","0.01904762","3.0","0","3.0","0"
