"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"1","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","3.0","0.0","0.0","0.3333333333333333","0.0","2.0","0.0","0.0","0.2222222222222222","0.0","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778","0.0","4.0","0.0","0.0","0.4444444444444444","0.0","0.0","0.0","0.0","0.0"
"2","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","3.0","0.0","0.0","0.3333333333333333","0.0","2.0","0.0","0.0","0.2222222222222222","0.0","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778","0.0","4.0","0.0","0.0","0.4444444444444444","0.0","0.0","0.0","0.0","0.0"
"3","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","3.0","0.0","0.0","0.3333333333333333","0.0","2.0","0.0","0.0","0.2222222222222222","0.0","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778","0.0","4.0","0.0","0.0","0.4444444444444444","0.0","0.0","0.0","0.0","0.0"
"4","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","3.0","0.0","0.0","0.3333333333333333","0.0","2.0","0.0","0.0","0.2222222222222222","0.0","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778","0.0","4.0","0.0","0.0","0.4444444444444444","0.0","0.0","0.0","0.0","0.0"
"5","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","3.0","0.0","0.0","0.3333333333333333","0.0","2.0","0.0","0.0","0.2222222222222222","0.0","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778","0.0","4.0","0.0","0.0","0.4444444444444444","0.0","0.0","0.0","0.0","0.0"
"6","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","3.0","0.0","0.0","0.3","0.0","2.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","3.0","0.0","0.0","0.3","0.0","1.0","8.0","8.0","0.1","0.8","0.0","4.0","0.0","0.0","0.4","1.0","2.0","2.0","0.1","0.2"
"7","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","3.0","0.0","0.0","0.3","0.0","2.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","3.0","0.0","0.0","0.3","0.0","1.0","8.0","8.0","0.1","0.8","0.0","4.0","0.0","0.0","0.4","1.0","2.0","2.0","0.1","0.2"
"8","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","3.0","0.0","0.0","0.3","0.0","2.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","3.0","0.0","0.0","0.3","0.0","1.0","8.0","8.0","0.1","0.8","0.0","4.0","0.0","0.0","0.4","1.0","2.0","2.0","0.1","0.2"
"9","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","3.0","0.0","0.0","0.3","0.0","2.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","3.0","0.0","0.0","0.3","0.0","1.0","8.0","8.0","0.1","0.8","0.0","4.0","0.0","0.0","0.4","1.0","2.0","2.0","0.1","0.2"
"10","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","3.0","0.0","0.0","0.3","0.0","2.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","3.0","0.0","0.0","0.3","0.0","1.0","8.0","8.0","0.1","0.8","0.0","4.0","0.0","0.0","0.4","1.0","2.0","2.0","0.1","0.2"
"11","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","3.0","0.0","0.0","0.3","0.0","2.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","3.0","0.0","0.0","0.3","0.0","1.0","8.0","8.0","0.1","0.8","0.0","4.0","0.0","0.0","0.4","1.0","2.0","2.0","0.1","0.2"
"12","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","3.0","0.0","0.0","0.3","0.0","2.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","3.0","0.0","0.0","0.3","0.0","1.0","8.0","8.0","0.1","0.8","0.0","4.0","0.0","0.0","0.4","1.0","2.0","2.0","0.1","0.2"
"13","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","3.0","0.0","0.0","0.3","0.0","2.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","3.0","0.0","0.0","0.3","0.0","1.0","8.0","8.0","0.1","0.8","0.0","4.0","0.0","0.0","0.4","1.0","2.0","2.0","0.1","0.2"
"14","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","3.0","0.0","0.0","0.3","0.0","2.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","3.0","0.0","0.0","0.3","0.0","1.0","8.0","8.0","0.1","0.8","0.0","4.0","0.0","0.0","0.4","1.0","2.0","2.0","0.1","0.2"
"15","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","3.0","0.0","0.0","0.3","0.0","2.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","3.0","0.0","0.0","0.3","0.0","1.0","8.0","8.0","0.1","0.8","0.0","4.0","0.0","0.0","0.4","1.0","2.0","2.0","0.1","0.2"
"16","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","3.0","0.0","0.0","0.3","0.0","2.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","3.0","0.0","0.0","0.3","0.0","1.0","8.0","8.0","0.1","0.8","0.0","4.0","0.0","0.0","0.4","1.0","2.0","2.0","0.1","0.2"
"17","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","3.0","0.0","0.0","0.3","0.0","2.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","3.0","0.0","0.0","0.3","0.0","1.0","8.0","8.0","0.1","0.8","0.0","4.0","0.0","0.0","0.4","1.0","2.0","2.0","0.1","0.2"
"18","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","3.0","0.0","0.0","0.3","0.0","2.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","3.0","0.0","0.0","0.3","0.0","1.0","8.0","8.0","0.1","0.8","0.0","4.0","0.0","0.0","0.4","1.0","2.0","2.0","0.1","0.2"
"19","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","3.0","0.0","0.0","0.3","0.0","2.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","3.0","0.0","0.0","0.3","0.0","1.0","8.0","8.0","0.1","0.8","0.0","4.0","0.0","0.0","0.4","1.0","2.0","2.0","0.1","0.2"
"20","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","3.0","0.0","0.0","0.3","0.0","2.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.3","0.0","1.0","2.0","2.0","0.1","0.2","3.0","0.0","0.0","0.3","0.0","1.0","8.0","8.0","0.1","0.8","0.0","4.0","0.0","0.0","0.4","1.0","2.0","2.0","0.1","0.2"
