"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2039474","0.5328947","0.3392857142857143","2.375","3.0","0","1.0","0","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0","1.0","0","6.0","0","0.0","","0.0"
"1","0.2039474","0.5328947","0.3392857142857143","2.375","3.0","0","1.0","0","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0","1.0","0","6.0","0","0.0","","0.0"
"2","0.2039474","0.5328947","0.3392857142857143","2.375","3.0","0","1.0","0","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0","1.0","0","6.0","0","0.0","","0.0"
"3","0.2039474","0.5328947","0.3392857142857143","2.375","3.0","0","1.0","0","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0","1.0","0","6.0","0","0.0","","0.0"
"4","0.2039474","0.5328947","0.3392857142857143","2.375","3.0","0","1.0","0","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0","1.0","0","6.0","0","0.0","","0.0"
"5","0.2444444","0.5444444","0.2777777777777778","2.2222222222222223","3.0","0","1.0","0","3.0","0","2.0","0.07575758","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0.02252252","1.0","0","6.0","0","1.0","0","2.0","0"
"6","0.2444444","0.5444444","0.2777777777777778","2.2222222222222223","3.0","0","1.0","0","3.0","0","2.0","0.1190476","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0.03246753","1.0","0","6.0","0","1.0","0","2.0","0"
"7","0.2444444","0.5444444","0.2777777777777778","2.2222222222222223","3.0","0","1.0","0","3.0","0","2.0","0.1442308","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0.03676471","1.0","0","6.0","0","1.0","0","2.0","0"
"8","0.2444444","0.5444444","0.2777777777777778","2.2222222222222223","3.0","0","1.0","0","3.0","0","2.0","0.1587302","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0.03831418","1.0","0","6.0","0","1.0","0","2.0","0"
"9","0.2444444","0.5444444","0.2777777777777778","2.2222222222222223","3.0","0","1.0","0","3.0","0","2.0","0.1666667","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0.03846154","1.0","0","6.0","0","1.0","0","2.0","0"
"10","0.2444444","0.5444444","0.2777777777777778","2.2222222222222223","3.0","0","1.0","0","3.0","0","2.0","0.1704545","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0.03787879","1.0","0","6.0","0","1.0","0","2.0","0"
"11","0.2444444","0.5444444","0.2777777777777778","2.2222222222222223","3.0","0","1.0","0","3.0","0","2.0","0.1715686","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0.03691983","1.0","0","6.0","0","1.0","0","2.0","0"
"12","0.2444444","0.5444444","0.2777777777777778","2.2222222222222223","3.0","0","1.0","0","3.0","0","2.0","0.1709402","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0.03577818","1.0","0","6.0","0","1.0","0","2.0","0"
"13","0.2444444","0.5444444","0.2777777777777778","2.2222222222222223","3.0","0","1.0","0","3.0","0","2.0","0.1691729","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0.03456221","1.0","0","6.0","0","1.0","0","2.0","0"
"14","0.2444444","0.5444444","0.2777777777777778","2.2222222222222223","3.0","0","1.0","0","3.0","0","2.0","0.1666667","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0.03333333","1.0","0","6.0","0","1.0","0","2.0","0"
"15","0.2444444","0.5444444","0.2777777777777778","2.2222222222222223","3.0","0","1.0","0","3.0","0","2.0","0.1636905","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0.03212617","1.0","0","6.0","0","1.0","0","2.0","0"
"16","0.2444444","0.5444444","0.2777777777777778","2.2222222222222223","3.0","0","1.0","0","3.0","0","2.0","0.1604278","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0.03095975","1.0","0","6.0","0","1.0","0","2.0","0"
"17","0.2444444","0.5444444","0.2777777777777778","2.2222222222222223","3.0","0","1.0","0","3.0","0","2.0","0.1570048","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0.02984389","1.0","0","6.0","0","1.0","0","2.0","0"
"18","0.2444444","0.5444444","0.2777777777777778","2.2222222222222223","3.0","0","1.0","0","3.0","0","2.0","0.1535088","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0.02878289","1.0","0","6.0","0","1.0","0","2.0","0"
"19","0.2444444","0.5444444","0.2777777777777778","2.2222222222222223","3.0","0","1.0","0","3.0","0","2.0","0.15","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0.02777778","1.0","0","6.0","0","1.0","0","2.0","0"
"20","0.2444444","0.5444444","0.2777777777777778","2.2222222222222223","3.0","0","1.0","0","3.0","0","2.0","0.1465201","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0.02682763","1.0","0","6.0","0","1.0","0","2.0","0"
