"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.3183140","0.5479651","0.17916666666666667","2.6875","1.0","0","12.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","8.0","0","0.0","0","1.0","0","4.0","0","5.0","0","9.0","0","0.0","0","7.0","0","0.0","","0.0"
"1","0.3183140","0.5479651","0.17916666666666667","2.6875","1.0","0","12.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","8.0","0","0.0","0","1.0","0","4.0","0","5.0","0","9.0","0","0.0","0","7.0","0","0.0","","0.0"
"2","0.3183140","0.5479651","0.17916666666666667","2.6875","1.0","0","12.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","8.0","0","0.0","0","1.0","0","4.0","0","5.0","0","9.0","0","0.0","0","7.0","0","0.0","","0.0"
"3","0.3315508","0.4946524","0.16176470588235295","2.588235294117647","1.0","0","6.0","0.1071429","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","8.0","0","0.0","0","1.0","0","5.0","0.04411765","5.0","0","9.0","0","0.0","0","7.0","0","1.0","0","6.0","0"
"4","0.3315508","0.4946524","0.16176470588235295","2.588235294117647","1.0","0","6.0","0.15","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","8.0","0","0.0","0","1.0","0","5.0","0.05454545","5.0","0","9.0","0","0.0","0","7.0","0","1.0","0","6.0","0"
"5","0.3315508","0.4946524","0.16176470588235295","2.588235294117647","1.0","0","6.0","0.1666667","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","8.0","0","0.0","0","1.0","0","5.0","0.05555556","5.0","0","9.0","0","0.0","0","7.0","0","1.0","0","6.0","0"
"6","0.3315508","0.4946524","0.16176470588235295","2.588235294117647","1.0","0","6.0","0.1714286","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","8.0","0","0.0","0","1.0","0","5.0","0.05357143","5.0","0","9.0","0","0.0","0","7.0","0","1.0","0","6.0","0"
"7","0.3315508","0.4946524","0.16176470588235295","2.588235294117647","1.0","0","6.0","0.1704545","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","8.0","0","0.0","0","1.0","0","5.0","0.05067568","5.0","0","9.0","0","0.0","0","7.0","0","1.0","0","6.0","0"
"8","0.3315508","0.4946524","0.16176470588235295","2.588235294117647","1.0","0","6.0","0.1666667","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","8.0","0","0.0","0","1.0","0","5.0","0.04761905","5.0","0","9.0","0","0.0","0","7.0","0","1.0","0","6.0","0"
"9","0.3315508","0.4946524","0.16176470588235295","2.588235294117647","1.0","0","6.0","0.1615385","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","8.0","0","0.0","0","1.0","0","5.0","0.04468085","5.0","0","9.0","0","0.0","0","7.0","0","1.0","0","6.0","0"
