"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2564103","0.6837607","0.17307692307692307","2.076923076923077","2.0","0","0.0","0","2.0","0","7.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","0.0","0","4.0","0","0.0","0","1.0","0","9.0","0","2.0","0","2.0","0","0.0","0","5.0","0","0.0","","0.0"
"1","0.2564103","0.6837607","0.17307692307692307","2.076923076923077","2.0","0","0.0","0","2.0","0","7.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","0.0","0","4.0","0","0.0","0","1.0","0","9.0","0","2.0","0","2.0","0","0.0","0","5.0","0","0.0","","0.0"
"2","0.2564103","0.6837607","0.17307692307692307","2.076923076923077","2.0","0","0.0","0","2.0","0","7.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","0.0","0","4.0","0","0.0","0","1.0","0","9.0","0","2.0","0","2.0","0","0.0","0","5.0","0","0.0","","0.0"
"3","0.2564103","0.6837607","0.17307692307692307","2.076923076923077","2.0","0","0.0","0","2.0","0","7.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","0.0","0","4.0","0","0.0","0","1.0","0","9.0","0","2.0","0","2.0","0","0.0","0","5.0","0","0.0","","0.0"
"4","0.2704082","0.6581633","0.15384615384615385","2.0","2.0","0","0.0","0","2.0","0","4.0","0.075","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","0.0","0","4.0","0","0.0","0","1.0","0","10.0","0.01739130","2.0","0","2.0","0","0.0","0","5.0","0","1.0","0","3.0","0"
"5","0.2704082","0.6581633","0.15384615384615385","2.0","2.0","0","0.0","0","2.0","0","4.0","0.1111111","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","0.0","0","4.0","0","0.0","0","1.0","0","10.0","0.02380952","2.0","0","2.0","0","0.0","0","5.0","0","1.0","0","3.0","0"
"6","0.2704082","0.6581633","0.15384615384615385","2.0","2.0","0","0.0","0","2.0","0","4.0","0.1285714","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","0.0","0","4.0","0","0.0","0","1.0","0","10.0","0.02597403","2.0","0","2.0","0","0.0","0","5.0","0","1.0","0","3.0","0"
"7","0.2704082","0.6581633","0.15384615384615385","2.0","2.0","0","0.0","0","2.0","0","4.0","0.1363636","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","0.0","0","4.0","0","0.0","0","1.0","0","10.0","0.02631579","2.0","0","2.0","0","0.0","0","5.0","0","1.0","0","3.0","0"
"8","0.2704082","0.6581633","0.15384615384615385","2.0","2.0","0","0.0","0","2.0","0","4.0","0.1388889","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","0.0","0","4.0","0","0.0","0","1.0","0","10.0","0.02583979","2.0","0","2.0","0","0.0","0","5.0","0","1.0","0","3.0","0"
"9","0.2704082","0.6581633","0.15384615384615385","2.0","2.0","0","0.0","0","2.0","0","4.0","0.1384615","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","0.0","0","4.0","0","0.0","0","1.0","0","10.0","0.025","2.0","0","2.0","0","0.0","0","5.0","0","1.0","0","3.0","0"
"10","0.2704082","0.6581633","0.15384615384615385","2.0","2.0","0","0.0","0","2.0","0","4.0","0.1363636","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","0.0","0","4.0","0","0.0","0","1.0","0","10.0","0.02401372","2.0","0","2.0","0","0.0","0","5.0","0","1.0","0","3.0","0"
"11","0.2704082","0.6581633","0.15384615384615385","2.0","2.0","0","0.0","0","2.0","0","4.0","0.1333333","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","0.0","0","4.0","0","0.0","0","1.0","0","10.0","0.02298851","2.0","0","2.0","0","0.0","0","5.0","0","1.0","0","3.0","0"
"12","0.2704082","0.6581633","0.15384615384615385","2.0","2.0","0","0.0","0","2.0","0","4.0","0.1298077","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","0.0","0","4.0","0","0.0","0","1.0","0","10.0","0.02197802","2.0","0","2.0","0","0.0","0","5.0","0","1.0","0","3.0","0"
"13","0.2704082","0.6581633","0.15384615384615385","2.0","2.0","0","0.0","0","2.0","0","4.0","0.1260504","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","0.0","0","4.0","0","0.0","0","1.0","0","10.0","0.02100840","2.0","0","2.0","0","0.0","0","5.0","0","1.0","0","3.0","0"
"14","0.2704082","0.6581633","0.15384615384615385","2.0","2.0","0","0.0","0","2.0","0","4.0","0.1222222","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","0.0","0","4.0","0","0.0","0","1.0","0","10.0","0.02009132","2.0","0","2.0","0","0.0","0","5.0","0","1.0","0","3.0","0"
