"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2","0.5818182","0.2727272727272727","2.727272727272727","3.0","0","6.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","9.0","0","1.0","0","9.0","0","0.0","","0.0"
"1","0.2","0.5818182","0.2727272727272727","2.727272727272727","3.0","0","6.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","9.0","0","1.0","0","9.0","0","0.0","","0.0"
"2","0.2","0.5818182","0.2727272727272727","2.727272727272727","3.0","0","6.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","9.0","0","1.0","0","9.0","0","0.0","","0.0"
"3","0.2","0.5818182","0.2727272727272727","2.727272727272727","3.0","0","6.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","9.0","0","1.0","0","9.0","0","0.0","","0.0"
"4","0.2","0.5818182","0.2727272727272727","2.727272727272727","3.0","0","6.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","9.0","0","1.0","0","9.0","0","0.0","","0.0"
"5","0.2083333","0.5833333","0.24242424242424243","2.6666666666666665","3.0","0","3.0","0.07575758","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","10.0","0.01515152","1.0","0","10.0","0.01515152","2.0","0","3.0","0"
"6","0.2083333","0.5833333","0.24242424242424243","2.6666666666666665","3.0","0","3.0","0.1190476","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","10.0","0.02197802","1.0","0","10.0","0.02197802","2.0","0","3.0","0"
"7","0.2083333","0.5833333","0.24242424242424243","2.6666666666666665","3.0","0","3.0","0.1442308","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","10.0","0.025","1.0","0","10.0","0.025","2.0","0","3.0","0"
"8","0.2083333","0.5833333","0.24242424242424243","2.6666666666666665","3.0","0","3.0","0.1587302","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","10.0","0.02614379","1.0","0","10.0","0.02614379","2.0","0","3.0","0"
"9","0.2083333","0.5833333","0.24242424242424243","2.6666666666666665","3.0","0","3.0","0.1666667","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","10.0","0.02631579","1.0","0","10.0","0.02631579","2.0","0","3.0","0"
