"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","BA10-ADS","BA10-AIS","BA10-ACS","BA10-RCS","BA10-RIS","BA11-ADS","BA11-AIS","BA11-ACS","BA11-RCS","BA11-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"1","3.0","2.0","6.0","0.2","0.13333333333333333","4.0","5.0","20.0","0.26666666666666666","0.3333333333333333","4.0","2.0","8.0","0.26666666666666666","0.13333333333333333","3.0","0.0","0.0","0.2","0.0","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","7.0","0.0","0.0","0.4666666666666667","0.0","1.0","12.0","12.0","0.06666666666666667","0.8","1.0","6.0","6.0","0.06666666666666667","0.4","1.0","13.0","13.0","0.06666666666666667","0.8666666666666667","0.0","0.0","0.0","0.0","0.0"
"2","3.0","2.0","6.0","0.2","0.13333333333333333","4.0","5.0","20.0","0.26666666666666666","0.3333333333333333","4.0","2.0","8.0","0.26666666666666666","0.13333333333333333","3.0","0.0","0.0","0.2","0.0","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","7.0","0.0","0.0","0.4666666666666667","0.0","1.0","12.0","12.0","0.06666666666666667","0.8","1.0","6.0","6.0","0.06666666666666667","0.4","1.0","13.0","13.0","0.06666666666666667","0.8666666666666667","0.0","0.0","0.0","0.0","0.0"
"3","3.0","2.0","6.0","0.2","0.13333333333333333","4.0","5.0","20.0","0.26666666666666666","0.3333333333333333","4.0","2.0","8.0","0.26666666666666666","0.13333333333333333","3.0","0.0","0.0","0.2","0.0","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","7.0","0.0","0.0","0.4666666666666667","0.0","1.0","12.0","12.0","0.06666666666666667","0.8","1.0","6.0","6.0","0.06666666666666667","0.4","1.0","13.0","13.0","0.06666666666666667","0.8666666666666667","0.0","0.0","0.0","0.0","0.0"
"4","3.0","2.0","6.0","0.2","0.13333333333333333","4.0","5.0","20.0","0.26666666666666666","0.3333333333333333","4.0","2.0","8.0","0.26666666666666666","0.13333333333333333","3.0","0.0","0.0","0.2","0.0","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","7.0","0.0","0.0","0.4666666666666667","0.0","1.0","12.0","12.0","0.06666666666666667","0.8","1.0","6.0","6.0","0.06666666666666667","0.4","1.0","13.0","13.0","0.06666666666666667","0.8666666666666667","0.0","0.0","0.0","0.0","0.0"
"5","3.0","2.0","6.0","0.2","0.13333333333333333","4.0","5.0","20.0","0.26666666666666666","0.3333333333333333","4.0","2.0","8.0","0.26666666666666666","0.13333333333333333","3.0","0.0","0.0","0.2","0.0","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","7.0","0.0","0.0","0.4666666666666667","0.0","1.0","12.0","12.0","0.06666666666666667","0.8","1.0","6.0","6.0","0.06666666666666667","0.4","1.0","13.0","13.0","0.06666666666666667","0.8666666666666667","0.0","0.0","0.0","0.0","0.0"
"6","3.0","2.0","6.0","0.2","0.13333333333333333","4.0","5.0","20.0","0.26666666666666666","0.3333333333333333","4.0","2.0","8.0","0.26666666666666666","0.13333333333333333","3.0","0.0","0.0","0.2","0.0","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","7.0","0.0","0.0","0.4666666666666667","0.0","1.0","12.0","12.0","0.06666666666666667","0.8","1.0","6.0","6.0","0.06666666666666667","0.4","1.0","13.0","13.0","0.06666666666666667","0.8666666666666667","0.0","0.0","0.0","0.0","0.0"
"7","3.0","2.0","6.0","0.1875","0.125","4.0","3.0","12.0","0.25","0.1875","4.0","2.0","8.0","0.25","0.125","3.0","0.0","0.0","0.1875","0.0","4.0","1.0","4.0","0.25","0.0625","4.0","1.0","4.0","0.25","0.0625","3.0","2.0","6.0","0.1875","0.125","4.0","1.0","4.0","0.25","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","7.0","0.0","0.0","0.4375","0.0","1.0","13.0","13.0","0.0625","0.8125","1.0","7.0","7.0","0.0625","0.4375","1.0","14.0","14.0","0.0625","0.875","3.0","2.0","6.0","0.1875","0.125"
"8","3.0","2.0","6.0","0.1875","0.125","4.0","3.0","12.0","0.25","0.1875","4.0","2.0","8.0","0.25","0.125","3.0","0.0","0.0","0.1875","0.0","4.0","1.0","4.0","0.25","0.0625","4.0","1.0","4.0","0.25","0.0625","3.0","2.0","6.0","0.1875","0.125","4.0","1.0","4.0","0.25","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","7.0","0.0","0.0","0.4375","0.0","1.0","13.0","13.0","0.0625","0.8125","1.0","7.0","7.0","0.0625","0.4375","1.0","14.0","14.0","0.0625","0.875","3.0","2.0","6.0","0.1875","0.125"
"9","3.0","2.0","6.0","0.1875","0.125","4.0","3.0","12.0","0.25","0.1875","4.0","2.0","8.0","0.25","0.125","3.0","0.0","0.0","0.1875","0.0","4.0","1.0","4.0","0.25","0.0625","4.0","1.0","4.0","0.25","0.0625","3.0","2.0","6.0","0.1875","0.125","4.0","1.0","4.0","0.25","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","7.0","0.0","0.0","0.4375","0.0","1.0","13.0","13.0","0.0625","0.8125","1.0","7.0","7.0","0.0625","0.4375","1.0","14.0","14.0","0.0625","0.875","3.0","2.0","6.0","0.1875","0.125"
"10","3.0","2.0","6.0","0.1875","0.125","4.0","3.0","12.0","0.25","0.1875","4.0","2.0","8.0","0.25","0.125","3.0","0.0","0.0","0.1875","0.0","4.0","1.0","4.0","0.25","0.0625","4.0","1.0","4.0","0.25","0.0625","3.0","2.0","6.0","0.1875","0.125","4.0","1.0","4.0","0.25","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","7.0","0.0","0.0","0.4375","0.0","1.0","13.0","13.0","0.0625","0.8125","1.0","7.0","7.0","0.0625","0.4375","1.0","14.0","14.0","0.0625","0.875","3.0","2.0","6.0","0.1875","0.125"
