"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS"
"1","1.0","0.0","0.0","0.125","0.0","1.0","2.0","2.0","0.125","0.25","2.0","1.0","2.0","0.25","0.125","2.0","0.0","0.0","0.25","0.0","2.0","3.0","6.0","0.25","0.375","2.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.375","0.0","0.0","7.0","0.0","0.0","0.875","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","1.0","0.0","0.0","0.125","0.0","1.0","2.0","2.0","0.125","0.25","2.0","1.0","2.0","0.25","0.125","2.0","0.0","0.0","0.25","0.0","2.0","3.0","6.0","0.25","0.375","2.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.375","0.0","0.0","7.0","0.0","0.0","0.875","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","1.0","0.0","0.0","0.125","0.0","1.0","2.0","2.0","0.125","0.25","2.0","1.0","2.0","0.25","0.125","2.0","0.0","0.0","0.25","0.0","2.0","3.0","6.0","0.25","0.375","2.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.375","0.0","0.0","7.0","0.0","0.0","0.875","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","1.0","0.0","0.0","0.125","0.0","1.0","2.0","2.0","0.125","0.25","2.0","1.0","2.0","0.25","0.125","2.0","0.0","0.0","0.25","0.0","2.0","3.0","6.0","0.25","0.375","2.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.375","0.0","0.0","7.0","0.0","0.0","0.875","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","1.0","0.0","0.0","0.125","0.0","1.0","2.0","2.0","0.125","0.25","2.0","1.0","2.0","0.25","0.125","2.0","0.0","0.0","0.25","0.0","2.0","3.0","6.0","0.25","0.375","2.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.375","0.0","0.0","7.0","0.0","0.0","0.875","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","1.0","0.0","0.0","0.125","0.0","1.0","2.0","2.0","0.125","0.25","2.0","1.0","2.0","0.25","0.125","2.0","0.0","0.0","0.25","0.0","2.0","3.0","6.0","0.25","0.375","2.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.375","0.0","0.0","7.0","0.0","0.0","0.875","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","1.0","0.0","0.0","0.125","0.0","1.0","2.0","2.0","0.125","0.25","2.0","1.0","2.0","0.25","0.125","2.0","0.0","0.0","0.25","0.0","2.0","3.0","6.0","0.25","0.375","2.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.375","0.0","0.0","7.0","0.0","0.0","0.875","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","1.0","0.0","0.0","0.1111111111111111","0.0","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","2.0","4.0","8.0","0.2222222222222222","0.4444444444444444","2.0","0.0","0.0","0.2222222222222222","0.0","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","8.0","0.0","0.0","0.8888888888888888","2.0","0.0","0.0","0.2222222222222222","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","1.0","0.0","0.0","0.1111111111111111","0.0","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","2.0","4.0","8.0","0.2222222222222222","0.4444444444444444","2.0","0.0","0.0","0.2222222222222222","0.0","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","8.0","0.0","0.0","0.8888888888888888","2.0","0.0","0.0","0.2222222222222222","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","1.0","0.0","0.0","0.1111111111111111","0.0","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","2.0","4.0","8.0","0.2222222222222222","0.4444444444444444","2.0","0.0","0.0","0.2222222222222222","0.0","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","8.0","0.0","0.0","0.8888888888888888","2.0","0.0","0.0","0.2222222222222222","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"11","1.0","0.0","0.0","0.1111111111111111","0.0","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","2.0","4.0","8.0","0.2222222222222222","0.4444444444444444","2.0","0.0","0.0","0.2222222222222222","0.0","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","8.0","0.0","0.0","0.8888888888888888","2.0","0.0","0.0","0.2222222222222222","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","1.0","0.0","0.0","0.1","0.0","1.0","2.0","2.0","0.1","0.2","2.0","1.0","2.0","0.2","0.1","2.0","0.0","0.0","0.2","0.0","2.0","5.0","10.0","0.2","0.5","2.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.3","0.0","0.0","9.0","0.0","0.0","0.9","2.0","0.0","0.0","0.2","0.0","2.0","0.0","0.0","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","1.0","0.0","0.0","0.1","0.0","1.0","2.0","2.0","0.1","0.2","2.0","1.0","2.0","0.2","0.1","2.0","0.0","0.0","0.2","0.0","2.0","5.0","10.0","0.2","0.5","2.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.3","0.0","0.0","9.0","0.0","0.0","0.9","2.0","0.0","0.0","0.2","0.0","2.0","0.0","0.0","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","1.0","0.0","0.0","0.1","0.0","1.0","2.0","2.0","0.1","0.2","2.0","1.0","2.0","0.2","0.1","2.0","0.0","0.0","0.2","0.0","2.0","5.0","10.0","0.2","0.5","2.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.3","0.0","0.0","9.0","0.0","0.0","0.9","2.0","0.0","0.0","0.2","0.0","2.0","0.0","0.0","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","1.0","0.0","0.0","0.1","0.0","1.0","2.0","2.0","0.1","0.2","2.0","1.0","2.0","0.2","0.1","2.0","0.0","0.0","0.2","0.0","2.0","5.0","10.0","0.2","0.5","2.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.3","0.0","0.0","9.0","0.0","0.0","0.9","2.0","0.0","0.0","0.2","0.0","2.0","0.0","0.0","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","1.0","0.0","0.0","0.1","0.0","1.0","2.0","2.0","0.1","0.2","2.0","1.0","2.0","0.2","0.1","2.0","0.0","0.0","0.2","0.0","2.0","5.0","10.0","0.2","0.5","2.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.3","0.0","0.0","9.0","0.0","0.0","0.9","2.0","0.0","0.0","0.2","0.0","2.0","0.0","0.0","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","1.0","0.0","0.0","0.09090909090909091","0.0","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","0.0","0.0","0.18181818181818182","0.0","2.0","6.0","12.0","0.18181818181818182","0.5454545454545454","2.0","0.0","0.0","0.18181818181818182","0.0","3.0","0.0","0.0","0.2727272727272727","0.0","0.0","10.0","0.0","0.0","0.9090909090909091","2.0","0.0","0.0","0.18181818181818182","0.0","2.0","0.0","0.0","0.18181818181818182","0.0","2.0","0.0","0.0","0.18181818181818182","0.0","0.0","0.0","0.0","0.0","0.0"
"18","1.0","0.0","0.0","0.09090909090909091","0.0","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","0.0","0.0","0.18181818181818182","0.0","2.0","6.0","12.0","0.18181818181818182","0.5454545454545454","2.0","0.0","0.0","0.18181818181818182","0.0","3.0","0.0","0.0","0.2727272727272727","0.0","0.0","10.0","0.0","0.0","0.9090909090909091","2.0","0.0","0.0","0.18181818181818182","0.0","2.0","0.0","0.0","0.18181818181818182","0.0","2.0","0.0","0.0","0.18181818181818182","0.0","0.0","0.0","0.0","0.0","0.0"
"19","1.0","0.0","0.0","0.09090909090909091","0.0","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","0.0","0.0","0.18181818181818182","0.0","2.0","6.0","12.0","0.18181818181818182","0.5454545454545454","2.0","0.0","0.0","0.18181818181818182","0.0","3.0","0.0","0.0","0.2727272727272727","0.0","0.0","10.0","0.0","0.0","0.9090909090909091","2.0","0.0","0.0","0.18181818181818182","0.0","2.0","0.0","0.0","0.18181818181818182","0.0","2.0","0.0","0.0","0.18181818181818182","0.0","0.0","0.0","0.0","0.0","0.0"
"20","1.0","0.0","0.0","0.09090909090909091","0.0","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","0.0","0.0","0.18181818181818182","0.0","2.0","6.0","12.0","0.18181818181818182","0.5454545454545454","2.0","0.0","0.0","0.18181818181818182","0.0","3.0","0.0","0.0","0.2727272727272727","0.0","0.0","10.0","0.0","0.0","0.9090909090909091","2.0","0.0","0.0","0.18181818181818182","0.0","2.0","0.0","0.0","0.18181818181818182","0.0","2.0","0.0","0.0","0.18181818181818182","0.0","0.0","0.0","0.0","0.0","0.0"
"21","1.0","0.0","0.0","0.08333333333333333","0.0","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","0.0","0.0","0.16666666666666666","0.0","2.0","7.0","14.0","0.16666666666666666","0.5833333333333334","2.0","0.0","0.0","0.16666666666666666","0.0","3.0","0.0","0.0","0.25","0.0","0.0","11.0","0.0","0.0","0.9166666666666666","2.0","0.0","0.0","0.16666666666666666","0.0","2.0","0.0","0.0","0.16666666666666666","0.0","2.0","0.0","0.0","0.16666666666666666","0.0","2.0","0.0","0.0","0.16666666666666666","0.0"
