"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS"
"1","2.0","3.0","6.0","0.2222222222222222","0.3333333333333333","4.0","1.0","4.0","0.4444444444444444","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","4.0","5.0","20.0","0.4444444444444444","0.5555555555555556","1.0","3.0","3.0","0.1111111111111111","0.3333333333333333","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","2.0","3.0","6.0","0.2222222222222222","0.3333333333333333","4.0","1.0","4.0","0.4444444444444444","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","4.0","5.0","20.0","0.4444444444444444","0.5555555555555556","1.0","3.0","3.0","0.1111111111111111","0.3333333333333333","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","2.0","3.0","6.0","0.2222222222222222","0.3333333333333333","4.0","1.0","4.0","0.4444444444444444","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","4.0","5.0","20.0","0.4444444444444444","0.5555555555555556","1.0","3.0","3.0","0.1111111111111111","0.3333333333333333","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","2.0","3.0","6.0","0.2222222222222222","0.3333333333333333","4.0","1.0","4.0","0.4444444444444444","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","4.0","5.0","20.0","0.4444444444444444","0.5555555555555556","1.0","3.0","3.0","0.1111111111111111","0.3333333333333333","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","2.0","3.0","6.0","0.2222222222222222","0.3333333333333333","4.0","1.0","4.0","0.4444444444444444","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","4.0","5.0","20.0","0.4444444444444444","0.5555555555555556","1.0","3.0","3.0","0.1111111111111111","0.3333333333333333","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","2.0","3.0","6.0","0.2222222222222222","0.3333333333333333","4.0","1.0","4.0","0.4444444444444444","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","4.0","5.0","20.0","0.4444444444444444","0.5555555555555556","1.0","3.0","3.0","0.1111111111111111","0.3333333333333333","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","2.0","2.0","4.0","0.2","0.2","4.0","1.0","4.0","0.4","0.1","2.0","1.0","2.0","0.2","0.1","3.0","0.0","0.0","0.3","0.0","3.0","0.0","0.0","0.3","0.0","1.0","3.0","3.0","0.1","0.3","4.0","5.0","20.0","0.4","0.5","1.0","3.0","3.0","0.1","0.3","1.0","6.0","6.0","0.1","0.6","1.0","1.0","1.0","0.1","0.1","0.0","0.0","0.0","0.0","0.0"
"8","2.0","2.0","4.0","0.2","0.2","4.0","1.0","4.0","0.4","0.1","2.0","1.0","2.0","0.2","0.1","3.0","0.0","0.0","0.3","0.0","3.0","0.0","0.0","0.3","0.0","1.0","3.0","3.0","0.1","0.3","4.0","5.0","20.0","0.4","0.5","1.0","3.0","3.0","0.1","0.3","1.0","6.0","6.0","0.1","0.6","1.0","1.0","1.0","0.1","0.1","0.0","0.0","0.0","0.0","0.0"
"9","2.0","2.0","4.0","0.2","0.2","4.0","1.0","4.0","0.4","0.1","2.0","1.0","2.0","0.2","0.1","3.0","0.0","0.0","0.3","0.0","3.0","0.0","0.0","0.3","0.0","1.0","3.0","3.0","0.1","0.3","4.0","5.0","20.0","0.4","0.5","1.0","3.0","3.0","0.1","0.3","1.0","6.0","6.0","0.1","0.6","1.0","1.0","1.0","0.1","0.1","0.0","0.0","0.0","0.0","0.0"
"10","2.0","2.0","4.0","0.2","0.2","4.0","1.0","4.0","0.4","0.1","2.0","1.0","2.0","0.2","0.1","3.0","0.0","0.0","0.3","0.0","3.0","0.0","0.0","0.3","0.0","1.0","3.0","3.0","0.1","0.3","4.0","5.0","20.0","0.4","0.5","1.0","3.0","3.0","0.1","0.3","1.0","6.0","6.0","0.1","0.6","1.0","1.0","1.0","0.1","0.1","0.0","0.0","0.0","0.0","0.0"
