"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2874494","0.5769231","0.15204678362573099","2.736842105263158","2.0","0","3.0","0","3.0","0","11.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","16.0","0","0.0","0","8.0","0","0.0","","0.0"
"1","0.2874494","0.5769231","0.15204678362573099","2.736842105263158","2.0","0","3.0","0","3.0","0","11.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","16.0","0","0.0","0","8.0","0","0.0","","0.0"
"2","0.2874494","0.5769231","0.15204678362573099","2.736842105263158","2.0","0","3.0","0","3.0","0","11.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","16.0","0","0.0","0","8.0","0","0.0","","0.0"
"3","0.2874494","0.5769231","0.15204678362573099","2.736842105263158","2.0","0","3.0","0","3.0","0","11.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","16.0","0","0.0","0","8.0","0","0.0","","0.0"
"4","0.2874494","0.5769231","0.15204678362573099","2.736842105263158","2.0","0","3.0","0","3.0","0","11.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","16.0","0","0.0","0","8.0","0","0.0","","0.0"
"5","0.2814815","0.5629630","0.14210526315789473","2.7","2.0","0","3.0","0","3.0","0","6.0","0.06830601","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","17.0","0.008591065","0.0","0","9.0","0.01700680","2.0","0","5.0","0"
"6","0.2814815","0.5629630","0.14210526315789473","2.7","2.0","0","3.0","0","3.0","0","6.0","0.1066098","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","17.0","0.01253133","0.0","0","9.0","0.02463054","2.0","0","5.0","0"
"7","0.2814815","0.5629630","0.14210526315789473","2.7","2.0","0","3.0","0","3.0","0","6.0","0.1284247","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","17.0","0.01431298","0.0","0","9.0","0.02798507","2.0","0","5.0","0"
"8","0.2814815","0.5629630","0.14210526315789473","2.7","2.0","0","3.0","0","3.0","0","6.0","0.1406470","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","17.0","0.01501502","0.0","0","9.0","0.02923977","2.0","0","5.0","0"
"9","0.2814815","0.5629630","0.14210526315789473","2.7","2.0","0","3.0","0","3.0","0","6.0","0.1470588","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","17.0","0.01515152","0.0","0","9.0","0.02941176","2.0","0","5.0","0"
"10","0.2814815","0.5629630","0.14210526315789473","2.7","2.0","0","3.0","0","3.0","0","6.0","0.1498501","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","17.0","0.01498501","0.0","0","9.0","0.02901354","2.0","0","5.0","0"
"11","0.2814815","0.5629630","0.14210526315789473","2.7","2.0","0","3.0","0","3.0","0","6.0","0.1503436","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","17.0","0.01465662","0.0","0","9.0","0.02831715","2.0","0","5.0","0"
"12","0.2814815","0.5629630","0.14210526315789473","2.7","2.0","0","3.0","0","3.0","0","6.0","0.1493652","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","17.0","0.01424501","0.0","0","9.0","0.02747253","2.0","0","5.0","0"
"13","0.2814815","0.5629630","0.14210526315789473","2.7","2.0","0","3.0","0","3.0","0","6.0","0.1474443","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","17.0","0.01379522","0.0","0","9.0","0.02656434","2.0","0","5.0","0"
"14","0.2814815","0.5629630","0.14210526315789473","2.7","2.0","0","3.0","0","3.0","0","6.0","0.1449275","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","17.0","0.01333333","0.0","0","9.0","0.02564103","2.0","0","5.0","0"
"15","0.2814815","0.5629630","0.14210526315789473","2.7","2.0","0","3.0","0","3.0","0","6.0","0.1420455","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","17.0","0.01287453","0.0","0","9.0","0.02473022","2.0","0","5.0","0"
"16","0.2814815","0.5629630","0.14210526315789473","2.7","2.0","0","3.0","0","3.0","0","6.0","0.1389532","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","17.0","0.01242751","0.0","0","9.0","0.02384738","2.0","0","5.0","0"
"17","0.2814815","0.5629630","0.14210526315789473","2.7","2.0","0","3.0","0","3.0","0","6.0","0.1357561","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","17.0","0.01199705","0.0","0","9.0","0.02300071","2.0","0","5.0","0"
"18","0.2814815","0.5629630","0.14210526315789473","2.7","2.0","0","3.0","0","3.0","0","6.0","0.1325256","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","17.0","0.01158557","0.0","0","9.0","0.02219404","2.0","0","5.0","0"
"19","0.2814815","0.5629630","0.14210526315789473","2.7","2.0","0","3.0","0","3.0","0","6.0","0.1293103","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","17.0","0.01119403","0.0","0","9.0","0.02142857","2.0","0","5.0","0"
"20","0.2814815","0.5629630","0.14210526315789473","2.7","2.0","0","3.0","0","3.0","0","6.0","0.1261432","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","17.0","0.01082251","0.0","0","9.0","0.02070393","2.0","0","5.0","0"
