"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","BA10-ADS","BA10-AIS","BA10-ACS","BA10-RCS","BA10-RIS","BA11-ADS","BA11-AIS","BA11-ACS","BA11-RCS","BA11-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS","MSV8-ADS","MSV8-AIS","MSV8-ACS","MSV8-RCS","MSV8-RIS","MSV9-ADS","MSV9-AIS","MSV9-ACS","MSV9-RCS","MSV9-RIS","MSV10-ADS","MSV10-AIS","MSV10-ACS","MSV10-RCS","MSV10-RIS"
"11","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","7.0","3.0","21.0","0.3684210526315789","0.15789473684210525","3.0","3.0","9.0","0.15789473684210525","0.15789473684210525","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","6.0","2.0","12.0","0.3157894736842105","0.10526315789473684","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","8.0","0.0","0.0","0.42105263157894735","0.0","1.0","16.0","16.0","0.05263157894736842","0.8421052631578947","1.0","9.0","9.0","0.05263157894736842","0.47368421052631576","1.0","15.0","15.0","0.05263157894736842","0.7894736842105263","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","3.0","2.0","6.0","0.15","0.1","7.0","3.0","21.0","0.35","0.15","3.0","3.0","9.0","0.15","0.15","3.0","1.0","3.0","0.15","0.05","4.0","1.0","4.0","0.2","0.05","6.0","2.0","12.0","0.3","0.1","2.0","2.0","4.0","0.1","0.1","4.0","1.0","4.0","0.2","0.05","2.0","1.0","2.0","0.1","0.05","3.0","1.0","3.0","0.15","0.05","4.0","1.0","4.0","0.2","0.05","9.0","0.0","0.0","0.45","0.0","1.0","17.0","17.0","0.05","0.85","1.0","10.0","10.0","0.05","0.5","1.0","16.0","16.0","0.05","0.8","3.0","1.0","3.0","0.15","0.05","2.0","2.0","4.0","0.1","0.1","3.0","1.0","3.0","0.15","0.05","2.0","1.0","2.0","0.1","0.05","4.0","1.0","4.0","0.2","0.05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","3.0","2.0","6.0","0.15","0.1","7.0","3.0","21.0","0.35","0.15","3.0","3.0","9.0","0.15","0.15","3.0","1.0","3.0","0.15","0.05","4.0","1.0","4.0","0.2","0.05","6.0","2.0","12.0","0.3","0.1","2.0","2.0","4.0","0.1","0.1","4.0","1.0","4.0","0.2","0.05","2.0","1.0","2.0","0.1","0.05","3.0","1.0","3.0","0.15","0.05","4.0","1.0","4.0","0.2","0.05","9.0","0.0","0.0","0.45","0.0","1.0","17.0","17.0","0.05","0.85","1.0","10.0","10.0","0.05","0.5","1.0","16.0","16.0","0.05","0.8","3.0","1.0","3.0","0.15","0.05","2.0","2.0","4.0","0.1","0.1","3.0","1.0","3.0","0.15","0.05","2.0","1.0","2.0","0.1","0.05","4.0","1.0","4.0","0.2","0.05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","7.0","3.0","21.0","0.3333333333333333","0.14285714285714285","3.0","3.0","9.0","0.14285714285714285","0.14285714285714285","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","6.0","2.0","12.0","0.2857142857142857","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","4.0","2.0","8.0","0.19047619047619047","0.09523809523809523","10.0","0.0","0.0","0.47619047619047616","0.0","1.0","18.0","18.0","0.047619047619047616","0.8571428571428571","1.0","10.0","10.0","0.047619047619047616","0.47619047619047616","1.0","16.0","16.0","0.047619047619047616","0.7619047619047619","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","7.0","3.0","21.0","0.3333333333333333","0.14285714285714285","3.0","3.0","9.0","0.14285714285714285","0.14285714285714285","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","6.0","2.0","12.0","0.2857142857142857","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","4.0","2.0","8.0","0.19047619047619047","0.09523809523809523","10.0","0.0","0.0","0.47619047619047616","0.0","1.0","18.0","18.0","0.047619047619047616","0.8571428571428571","1.0","10.0","10.0","0.047619047619047616","0.47619047619047616","1.0","16.0","16.0","0.047619047619047616","0.7619047619047619","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","7.0","3.0","21.0","0.3181818181818182","0.13636363636363635","3.0","3.0","9.0","0.13636363636363635","0.13636363636363635","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","6.0","2.0","12.0","0.2727272727272727","0.09090909090909091","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","4.0","2.0","8.0","0.18181818181818182","0.09090909090909091","11.0","1.0","11.0","0.5","0.045454545454545456","1.0","19.0","19.0","0.045454545454545456","0.8636363636363636","1.0","11.0","11.0","0.045454545454545456","0.5","1.0","17.0","17.0","0.045454545454545456","0.7727272727272727","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","7.0","3.0","21.0","0.3181818181818182","0.13636363636363635","3.0","3.0","9.0","0.13636363636363635","0.13636363636363635","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","6.0","2.0","12.0","0.2727272727272727","0.09090909090909091","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","4.0","2.0","8.0","0.18181818181818182","0.09090909090909091","11.0","1.0","11.0","0.5","0.045454545454545456","1.0","19.0","19.0","0.045454545454545456","0.8636363636363636","1.0","11.0","11.0","0.045454545454545456","0.5","1.0","17.0","17.0","0.045454545454545456","0.7727272727272727","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","7.0","3.0","21.0","0.30434782608695654","0.13043478260869565","3.0","3.0","9.0","0.13043478260869565","0.13043478260869565","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","6.0","2.0","12.0","0.2608695652173913","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","4.0","2.0","8.0","0.17391304347826086","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","2.0","8.0","0.17391304347826086","0.08695652173913043","12.0","1.0","12.0","0.5217391304347826","0.043478260869565216","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","1.0","11.0","11.0","0.043478260869565216","0.4782608695652174","1.0","17.0","17.0","0.043478260869565216","0.7391304347826086","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","7.0","3.0","21.0","0.30434782608695654","0.13043478260869565","3.0","3.0","9.0","0.13043478260869565","0.13043478260869565","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","6.0","2.0","12.0","0.2608695652173913","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","4.0","2.0","8.0","0.17391304347826086","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","2.0","8.0","0.17391304347826086","0.08695652173913043","12.0","1.0","12.0","0.5217391304347826","0.043478260869565216","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","1.0","11.0","11.0","0.043478260869565216","0.4782608695652174","1.0","17.0","17.0","0.043478260869565216","0.7391304347826086","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","7.0","3.0","21.0","0.30434782608695654","0.13043478260869565","3.0","3.0","9.0","0.13043478260869565","0.13043478260869565","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","6.0","2.0","12.0","0.2608695652173913","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","4.0","2.0","8.0","0.17391304347826086","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","2.0","8.0","0.17391304347826086","0.08695652173913043","12.0","1.0","12.0","0.5217391304347826","0.043478260869565216","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","1.0","11.0","11.0","0.043478260869565216","0.4782608695652174","1.0","17.0","17.0","0.043478260869565216","0.7391304347826086","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"21","3.0","2.0","6.0","0.12","0.08","7.0","3.0","21.0","0.28","0.12","3.0","3.0","9.0","0.12","0.12","3.0","1.0","3.0","0.12","0.04","4.0","1.0","4.0","0.16","0.04","6.0","2.0","12.0","0.24","0.08","2.0","2.0","4.0","0.08","0.08","4.0","2.0","8.0","0.16","0.08","2.0","1.0","2.0","0.08","0.04","3.0","1.0","3.0","0.12","0.04","4.0","2.0","8.0","0.16","0.08","12.0","1.0","12.0","0.48","0.04","1.0","22.0","22.0","0.04","0.88","1.0","12.0","12.0","0.04","0.48","1.0","19.0","19.0","0.04","0.76","3.0","1.0","3.0","0.12","0.04","2.0","2.0","4.0","0.08","0.08","3.0","1.0","3.0","0.12","0.04","3.0","1.0","3.0","0.12","0.04","4.0","1.0","4.0","0.16","0.04","2.0","1.0","2.0","0.08","0.04","5.0","1.0","5.0","0.2","0.04","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","3.0","1.0","3.0","0.12","0.04"
