"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS"
"1","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","1.0","3.0","3.0","0.09090909090909091","0.2727272727272727","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","2.0","3.0","6.0","0.18181818181818182","0.2727272727272727","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","7.0","1.0","7.0","0.6363636363636364","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","3.0","6.0","0.18181818181818182","0.2727272727272727","2.0","0.0","0.0","0.18181818181818182","0.0","1.0","8.0","8.0","0.09090909090909091","0.7272727272727273","0.0","4.0","0.0","0.0","0.36363636363636365","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","1.0","3.0","3.0","0.09090909090909091","0.2727272727272727","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","2.0","3.0","6.0","0.18181818181818182","0.2727272727272727","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","7.0","1.0","7.0","0.6363636363636364","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","3.0","6.0","0.18181818181818182","0.2727272727272727","2.0","0.0","0.0","0.18181818181818182","0.0","1.0","8.0","8.0","0.09090909090909091","0.7272727272727273","0.0","4.0","0.0","0.0","0.36363636363636365","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","1.0","3.0","3.0","0.09090909090909091","0.2727272727272727","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","2.0","3.0","6.0","0.18181818181818182","0.2727272727272727","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","7.0","1.0","7.0","0.6363636363636364","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","3.0","6.0","0.18181818181818182","0.2727272727272727","2.0","0.0","0.0","0.18181818181818182","0.0","1.0","8.0","8.0","0.09090909090909091","0.7272727272727273","0.0","4.0","0.0","0.0","0.36363636363636365","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","1.0","3.0","3.0","0.09090909090909091","0.2727272727272727","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","2.0","3.0","6.0","0.18181818181818182","0.2727272727272727","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","7.0","1.0","7.0","0.6363636363636364","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","3.0","6.0","0.18181818181818182","0.2727272727272727","2.0","0.0","0.0","0.18181818181818182","0.0","1.0","8.0","8.0","0.09090909090909091","0.7272727272727273","0.0","4.0","0.0","0.0","0.36363636363636365","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","3.0","2.0","6.0","0.25","0.16666666666666666","1.0","3.0","3.0","0.08333333333333333","0.25","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","2.0","3.0","6.0","0.16666666666666666","0.25","3.0","1.0","3.0","0.25","0.08333333333333333","7.0","1.0","7.0","0.5833333333333334","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","3.0","6.0","0.16666666666666666","0.25","2.0","0.0","0.0","0.16666666666666666","0.0","1.0","9.0","9.0","0.08333333333333333","0.75","0.0","5.0","0.0","0.0","0.4166666666666667","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","3.0","2.0","6.0","0.25","0.16666666666666666","1.0","3.0","3.0","0.08333333333333333","0.25","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","2.0","3.0","6.0","0.16666666666666666","0.25","3.0","1.0","3.0","0.25","0.08333333333333333","7.0","1.0","7.0","0.5833333333333334","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","3.0","6.0","0.16666666666666666","0.25","2.0","0.0","0.0","0.16666666666666666","0.0","1.0","9.0","9.0","0.08333333333333333","0.75","0.0","5.0","0.0","0.0","0.4166666666666667","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","3.0","2.0","6.0","0.25","0.16666666666666666","1.0","3.0","3.0","0.08333333333333333","0.25","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","2.0","3.0","6.0","0.16666666666666666","0.25","3.0","1.0","3.0","0.25","0.08333333333333333","7.0","1.0","7.0","0.5833333333333334","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","3.0","6.0","0.16666666666666666","0.25","2.0","0.0","0.0","0.16666666666666666","0.0","1.0","9.0","9.0","0.08333333333333333","0.75","0.0","5.0","0.0","0.0","0.4166666666666667","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","3.0","2.0","6.0","0.23076923076923078","0.15384615384615385","1.0","3.0","3.0","0.07692307692307693","0.23076923076923078","5.0","1.0","5.0","0.38461538461538464","0.07692307692307693","2.0","3.0","6.0","0.15384615384615385","0.23076923076923078","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","7.0","1.0","7.0","0.5384615384615384","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","3.0","6.0","0.15384615384615385","0.23076923076923078","2.0","0.0","0.0","0.15384615384615385","0.0","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","0.0","5.0","0.0","0.0","0.38461538461538464","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","0.0","0.0","0.0","0.0","0.0"
"9","3.0","2.0","6.0","0.23076923076923078","0.15384615384615385","1.0","3.0","3.0","0.07692307692307693","0.23076923076923078","5.0","1.0","5.0","0.38461538461538464","0.07692307692307693","2.0","3.0","6.0","0.15384615384615385","0.23076923076923078","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","7.0","1.0","7.0","0.5384615384615384","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","3.0","6.0","0.15384615384615385","0.23076923076923078","2.0","0.0","0.0","0.15384615384615385","0.0","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","0.0","5.0","0.0","0.0","0.38461538461538464","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","0.0","0.0","0.0","0.0","0.0"
"10","3.0","2.0","6.0","0.23076923076923078","0.15384615384615385","1.0","3.0","3.0","0.07692307692307693","0.23076923076923078","5.0","1.0","5.0","0.38461538461538464","0.07692307692307693","2.0","3.0","6.0","0.15384615384615385","0.23076923076923078","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","7.0","1.0","7.0","0.5384615384615384","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","3.0","6.0","0.15384615384615385","0.23076923076923078","2.0","0.0","0.0","0.15384615384615385","0.0","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","0.0","5.0","0.0","0.0","0.38461538461538464","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","0.0","0.0","0.0","0.0","0.0"
"11","3.0","2.0","6.0","0.21428571428571427","0.14285714285714285","1.0","3.0","3.0","0.07142857142857142","0.21428571428571427","5.0","1.0","5.0","0.35714285714285715","0.07142857142857142","2.0","3.0","6.0","0.14285714285714285","0.21428571428571427","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","8.0","1.0","8.0","0.5714285714285714","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","3.0","6.0","0.14285714285714285","0.21428571428571427","2.0","0.0","0.0","0.14285714285714285","0.0","1.0","11.0","11.0","0.07142857142857142","0.7857142857142857","0.0","5.0","0.0","0.0","0.35714285714285715","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142"
"12","3.0","2.0","6.0","0.21428571428571427","0.14285714285714285","1.0","3.0","3.0","0.07142857142857142","0.21428571428571427","5.0","1.0","5.0","0.35714285714285715","0.07142857142857142","2.0","3.0","6.0","0.14285714285714285","0.21428571428571427","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","8.0","1.0","8.0","0.5714285714285714","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","3.0","6.0","0.14285714285714285","0.21428571428571427","2.0","0.0","0.0","0.14285714285714285","0.0","1.0","11.0","11.0","0.07142857142857142","0.7857142857142857","0.0","5.0","0.0","0.0","0.35714285714285715","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142"
