"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2894737","0.4578947","0.2111111111111111","1.9","2.0","0","5.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","6.0","0","0.0","","0.0"
"1","0.2894737","0.4578947","0.2111111111111111","1.9","2.0","0","5.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","6.0","0","0.0","","0.0"
"2","0.2894737","0.4578947","0.2111111111111111","1.9","2.0","0","5.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","6.0","0","0.0","","0.0"
"3","0.2894737","0.4578947","0.2111111111111111","1.9","2.0","0","5.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","6.0","0","0.0","","0.0"
"4","0.2894737","0.4578947","0.2111111111111111","1.9","2.0","0","5.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","6.0","0","0.0","","0.0"
"5","0.2894737","0.4578947","0.2111111111111111","1.9","2.0","0","5.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","6.0","0","0.0","","0.0"
"6","0.3","0.4181818","0.18181818181818182","1.8181818181818181","2.0","0","3.0","0.05194805","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","3.0","0.05714286","4.0","0","6.0","0","1.0","0","2.0","0"
"7","0.3","0.4181818","0.18181818181818182","1.8181818181818181","2.0","0","3.0","0.08333333","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","3.0","0.08333333","4.0","0","6.0","0","1.0","0","2.0","0"
"8","0.3","0.4181818","0.18181818181818182","1.8181818181818181","2.0","0","3.0","0.1025641","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","3.0","0.09523810","4.0","0","6.0","0","1.0","0","2.0","0"
"9","0.3","0.4181818","0.18181818181818182","1.8181818181818181","2.0","0","3.0","0.1142857","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","3.0","0.1","4.0","0","6.0","0","1.0","0","2.0","0"
"10","0.3","0.4181818","0.18181818181818182","1.8181818181818181","2.0","0","3.0","0.1212121","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","3.0","0.1010101","4.0","0","6.0","0","1.0","0","2.0","0"
"11","0.3","0.4181818","0.18181818181818182","1.8181818181818181","2.0","0","3.0","0.125","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","3.0","0.1","4.0","0","6.0","0","1.0","0","2.0","0"
"12","0.3","0.4181818","0.18181818181818182","1.8181818181818181","2.0","0","3.0","0.1266968","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","3.0","0.09790210","4.0","0","6.0","0","1.0","0","2.0","0"
"13","0.3","0.4181818","0.18181818181818182","1.8181818181818181","2.0","0","3.0","0.1269841","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","3.0","0.09523810","4.0","0","6.0","0","1.0","0","2.0","0"
"14","0.3","0.4181818","0.18181818181818182","1.8181818181818181","2.0","0","3.0","0.1263158","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","3.0","0.09230769","4.0","0","6.0","0","1.0","0","2.0","0"
"15","0.3","0.4181818","0.18181818181818182","1.8181818181818181","2.0","0","3.0","0.125","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","3.0","0.08928571","4.0","0","6.0","0","1.0","0","2.0","0"
"16","0.3","0.4181818","0.18181818181818182","1.8181818181818181","2.0","0","3.0","0.1232493","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","3.0","0.08627451","4.0","0","6.0","0","1.0","0","2.0","0"
"17","0.3","0.4181818","0.18181818181818182","1.8181818181818181","2.0","0","3.0","0.1212121","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","3.0","0.08333333","4.0","0","6.0","0","1.0","0","2.0","0"
"18","0.3","0.4181818","0.18181818181818182","1.8181818181818181","2.0","0","3.0","0.1189931","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","3.0","0.08049536","4.0","0","6.0","0","1.0","0","2.0","0"
"19","0.3","0.4181818","0.18181818181818182","1.8181818181818181","2.0","0","3.0","0.1166667","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","3.0","0.07777778","4.0","0","6.0","0","1.0","0","2.0","0"
"20","0.3","0.4181818","0.18181818181818182","1.8181818181818181","2.0","0","3.0","0.1142857","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","3.0","0.07518797","4.0","0","6.0","0","1.0","0","2.0","0"
