"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS"
"0","0.4711538","0.2788462","0.23214285714285715","1.625","1.0","0","2.0","0","1.0","0","1.0","0","4.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","3.0","0","3.0","0"
"1","0.4711538","0.2788462","0.23214285714285715","1.625","1.0","0","2.0","0","1.0","0","1.0","0","4.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","3.0","0","3.0","0"
"2","0.4711538","0.2788462","0.23214285714285715","1.625","1.0","0","2.0","0","1.0","0","1.0","0","4.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","3.0","0","3.0","0"
"3","0.4711538","0.2788462","0.23214285714285715","1.625","1.0","0","2.0","0","1.0","0","1.0","0","4.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","3.0","0","3.0","0"
"4","0.4711538","0.2788462","0.23214285714285715","1.625","1.0","0","2.0","0","1.0","0","1.0","0","4.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","3.0","0","3.0","0"
"5","0.4711538","0.2788462","0.23214285714285715","1.625","1.0","0","2.0","0","1.0","0","1.0","0","4.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","3.0","0","3.0","0"
"6","0.4711538","0.2788462","0.23214285714285715","1.625","1.0","0","2.0","0","1.0","0","1.0","0","4.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","3.0","0","3.0","0"
"7","0.4711538","0.2788462","0.23214285714285715","1.625","1.0","0","2.0","0","1.0","0","1.0","0","4.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","3.0","0","3.0","0"
"8","0.4711538","0.2788462","0.23214285714285715","1.625","1.0","0","2.0","0","1.0","0","1.0","0","4.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","3.0","0","3.0","0"
"9","0.5416667","0.2291667","0.21428571428571427","1.5","0.0","0.1","2.0","0","1.0","0","1.0","0","4.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","3.0","0","2.0","0.03103448"
"10","0.5416667","0.2291667","0.21428571428571427","1.5","0.0","0.1818182","2.0","0","1.0","0","1.0","0","4.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","3.0","0","2.0","0.05278592"
"11","0.5416667","0.2291667","0.21428571428571427","1.5","0.0","0.25","2.0","0","1.0","0","1.0","0","4.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","3.0","0","2.0","0.06818182"
"12","0.5416667","0.2291667","0.21428571428571427","1.5","0.0","0.3076923","2.0","0","1.0","0","1.0","0","4.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","3.0","0","2.0","0.07912088"
"13","0.5416667","0.2291667","0.21428571428571427","1.5","0.0","0.3571429","2.0","0","1.0","0","1.0","0","4.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","3.0","0","2.0","0.08687259"
"14","0.5416667","0.2291667","0.21428571428571427","1.5","0.0","0.4","2.0","0","1.0","0","1.0","0","4.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","3.0","0","2.0","0.09230769"
"15","0.5416667","0.2291667","0.21428571428571427","1.5","0.0","0.4375","2.0","0","1.0","0","1.0","0","4.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","3.0","0","2.0","0.09603659"
"16","0.5416667","0.2291667","0.21428571428571427","1.5","0.0","0.4705882","2.0","0","1.0","0","1.0","0","4.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","3.0","0","2.0","0.09849521"
"17","0.5416667","0.2291667","0.21428571428571427","1.5","0.0","0.5","2.0","0","1.0","0","1.0","0","4.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","3.0","0","2.0","0.1"
"18","0.5416667","0.2291667","0.21428571428571427","1.5","0.0","0.5263158","2.0","0","1.0","0","1.0","0","4.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","3.0","0","2.0","0.1007839"
"19","0.5416667","0.2291667","0.21428571428571427","1.5","0.0","0.55","2.0","0","1.0","0","1.0","0","4.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","3.0","0","2.0","0.1010204"
"20","0.5416667","0.2291667","0.21428571428571427","1.5","0.0","0.5714286","2.0","0","1.0","0","1.0","0","4.0","0","1.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0","0.0","0","0.0","0","2.0","0","3.0","0","2.0","0.1008403"
