"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","RD13-ADS","RD13-GINI -ADS","RD13-AIS","RD13-GINI -AIS","RD14-ADS","RD14-GINI -ADS","RD14-AIS","RD14-GINI -AIS","RD15-ADS","RD15-GINI -ADS","RD15-AIS","RD15-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.3209664","0.5573770","0.1783625730994152","3.210526315789474","3.0","0","1.0","0","4.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","5.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","7.0","0","14.0","0","10.0","0","1.0","0","7.0","0","1.0","0","16.0","0","0.0","","0.0"
"1","0.3209664","0.5573770","0.1783625730994152","3.210526315789474","3.0","0","1.0","0","4.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","5.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","7.0","0","14.0","0","10.0","0","1.0","0","7.0","0","1.0","0","16.0","0","0.0","","0.0"
"2","0.3209664","0.5573770","0.1783625730994152","3.210526315789474","3.0","0","1.0","0","4.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","5.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","7.0","0","14.0","0","10.0","0","1.0","0","7.0","0","1.0","0","16.0","0","0.0","","0.0"
"3","0.309375","0.5609375","0.16842105263157894","3.2","3.0","0","1.0","0","4.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.08333333","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","8.0","0.02586207","14.0","0","10.0","0","1.0","0","8.0","0.02586207","1.0","0","17.0","0.01153846","3.0","0","2.0","0"
"4","0.309375","0.5609375","0.16842105263157894","3.2","3.0","0","1.0","0","4.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.1142857","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","8.0","0.03243243","14.0","0","10.0","0","1.0","0","8.0","0.03243243","1.0","0","17.0","0.01463415","3.0","0","2.0","0"
"5","0.309375","0.5609375","0.16842105263157894","3.2","3.0","0","1.0","0","4.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.125","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","8.0","0.03333333","14.0","0","10.0","0","1.0","0","8.0","0.03333333","1.0","0","17.0","0.01515152","3.0","0","2.0","0"
"6","0.309375","0.5609375","0.16842105263157894","3.2","3.0","0","1.0","0","4.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.1269841","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","8.0","0.03234501","14.0","0","10.0","0","1.0","0","8.0","0.03234501","1.0","0","17.0","0.01477833","3.0","0","2.0","0"
"7","0.309375","0.5609375","0.16842105263157894","3.2","3.0","0","1.0","0","4.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.125","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","8.0","0.03073770","14.0","0","10.0","0","1.0","0","8.0","0.03073770","1.0","0","17.0","0.01409774","3.0","0","2.0","0"
"8","0.309375","0.5609375","0.16842105263157894","3.2","3.0","0","1.0","0","4.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.1212121","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","8.0","0.02898551","14.0","0","10.0","0","1.0","0","8.0","0.02898551","1.0","0","17.0","0.01333333","3.0","0","2.0","0"
"9","0.309375","0.5609375","0.16842105263157894","3.2","3.0","0","1.0","0","4.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.1166667","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","8.0","0.02727273","14.0","0","10.0","0","1.0","0","8.0","0.02727273","1.0","0","17.0","0.01257485","3.0","0","2.0","0"
