"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.25","0.4722222","0.3333333333333333","2.6666666666666665","3.0","0","4.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","6.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","","0.0"
"1","0.25","0.4722222","0.3333333333333333","2.6666666666666665","3.0","0","4.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","6.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","","0.0"
"2","0.25","0.4722222","0.3333333333333333","2.6666666666666665","3.0","0","4.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","6.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","","0.0"
"3","0.25","0.4722222","0.3333333333333333","2.6666666666666665","3.0","0","4.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","6.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","","0.0"
"4","0.25","0.4722222","0.3333333333333333","2.6666666666666665","3.0","0","4.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","6.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","","0.0"
"5","0.25","0.4722222","0.3333333333333333","2.6666666666666665","3.0","0","4.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","6.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","","0.0"
"6","0.2538462","0.4769231","0.28888888888888886","2.6","3.0","0","2.0","0.06593407","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","7.0","0.01993355","1.0","0","4.0","0.03896104","1.0","0","7.0","0","2.0","0","2.0","0"
"7","0.2538462","0.4769231","0.28888888888888886","2.6","3.0","0","2.0","0.1071429","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","7.0","0.03","1.0","0","4.0","0.05769231","1.0","0","7.0","0","2.0","0","2.0","0"
"8","0.2538462","0.4769231","0.28888888888888886","2.6","3.0","0","2.0","0.1333333","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","7.0","0.03508772","1.0","0","4.0","0.06666667","1.0","0","7.0","0","2.0","0","2.0","0"
"9","0.2538462","0.4769231","0.28888888888888886","2.6","3.0","0","2.0","0.15","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","7.0","0.0375","1.0","0","4.0","0.07058824","1.0","0","7.0","0","2.0","0","2.0","0"
"10","0.2538462","0.4769231","0.28888888888888886","2.6","3.0","0","2.0","0.1604278","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","7.0","0.03841229","1.0","0","4.0","0.07177033","1.0","0","7.0","0","2.0","0","2.0","0"
"11","0.2538462","0.4769231","0.28888888888888886","2.6","3.0","0","2.0","0.1666667","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","7.0","0.03846154","1.0","0","4.0","0.07142857","1.0","0","7.0","0","2.0","0","2.0","0"
"12","0.2538462","0.4769231","0.28888888888888886","2.6","3.0","0","2.0","0.1700405","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","7.0","0.03800905","1.0","0","4.0","0.07023411","1.0","0","7.0","0","2.0","0","2.0","0"
"13","0.2538462","0.4769231","0.28888888888888886","2.6","3.0","0","2.0","0.1714286","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","7.0","0.03726708","1.0","0","4.0","0.06857143","1.0","0","7.0","0","2.0","0","2.0","0"
"14","0.2538462","0.4769231","0.28888888888888886","2.6","3.0","0","2.0","0.1714286","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","7.0","0.03636364","1.0","0","4.0","0.06666667","1.0","0","7.0","0","2.0","0","2.0","0"
"15","0.2538462","0.4769231","0.28888888888888886","2.6","3.0","0","2.0","0.1704545","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","7.0","0.03537736","1.0","0","4.0","0.06465517","1.0","0","7.0","0","2.0","0","2.0","0"
