"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2508306","0.5797342","0.23626373626373626","3.0714285714285716","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","5.0","0","4.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","5.0","0","0.0","0","1.0","0","11.0","0","1.0","0","5.0","0","1.0","0","12.0","0","0.0","","0.0"
"1","0.2508306","0.5797342","0.23626373626373626","3.0714285714285716","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","5.0","0","4.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","5.0","0","0.0","0","1.0","0","11.0","0","1.0","0","5.0","0","1.0","0","12.0","0","0.0","","0.0"
"2","0.2508306","0.5797342","0.23626373626373626","3.0714285714285716","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","5.0","0","4.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","5.0","0","0.0","0","1.0","0","11.0","0","1.0","0","5.0","0","1.0","0","12.0","0","0.0","","0.0"
"3","0.2548148","0.5777778","0.21428571428571427","3.0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.08333333","4.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","5.0","0","0.0","0","1.0","0","12.0","0.01666667","1.0","0","6.0","0.03571429","1.0","0","12.0","0","2.0","0","2.0","0"
"4","0.2548148","0.5777778","0.21428571428571427","3.0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.1142857","4.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","5.0","0","0.0","0","1.0","0","12.0","0.02105263","1.0","0","6.0","0.04444444","1.0","0","12.0","0","2.0","0","2.0","0"
"5","0.2548148","0.5777778","0.21428571428571427","3.0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.125","4.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","5.0","0","0.0","0","1.0","0","12.0","0.02173913","1.0","0","6.0","0.04545455","1.0","0","12.0","0","2.0","0","2.0","0"
"6","0.2548148","0.5777778","0.21428571428571427","3.0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.1269841","4.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","5.0","0","0.0","0","1.0","0","12.0","0.02116402","1.0","0","6.0","0.04395604","1.0","0","12.0","0","2.0","0","2.0","0"
"7","0.2548148","0.5777778","0.21428571428571427","3.0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.125","4.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","5.0","0","0.0","0","1.0","0","12.0","0.02016129","1.0","0","6.0","0.04166667","1.0","0","12.0","0","2.0","0","2.0","0"
"8","0.2548148","0.5777778","0.21428571428571427","3.0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.1212121","4.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","5.0","0","0.0","0","1.0","0","12.0","0.01904762","1.0","0","6.0","0.03921569","1.0","0","12.0","0","2.0","0","2.0","0"
"9","0.2548148","0.5777778","0.21428571428571427","3.0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.1166667","4.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","5.0","0","0.0","0","1.0","0","12.0","0.01794872","1.0","0","6.0","0.03684211","1.0","0","12.0","0","2.0","0","2.0","0"
