"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","BA18-ADS","BA18-GINI -ADS","BA18-AIS","BA18-GINI -AIS","BA19-ADS","BA19-GINI -ADS","BA19-AIS","BA19-GINI -AIS","BA20-ADS","BA20-GINI -ADS","BA20-AIS","BA20-GINI -AIS","BA22-ADS","BA22-GINI -ADS","BA22-AIS","BA22-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS"
"0","0.2209596","0.7602273","0.11076923076923077","2.769230769230769","10.0","0","7.0","0","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","24.0","0","1.0","0","10.0","0","1.0","0","24.0","0"
"1","0.2209596","0.7602273","0.11076923076923077","2.769230769230769","10.0","0","7.0","0","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","24.0","0","1.0","0","10.0","0","1.0","0","24.0","0"
"2","0.2209596","0.7602273","0.11076923076923077","2.769230769230769","10.0","0","7.0","0","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","24.0","0","1.0","0","10.0","0","1.0","0","24.0","0"
"3","0.2209596","0.7602273","0.11076923076923077","2.769230769230769","10.0","0","7.0","0","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","24.0","0","1.0","0","10.0","0","1.0","0","24.0","0"
"4","0.1778075","0.7433155","0.1471861471861472","3.090909090909091","6.0","0.06956522","6.0","0.02352941","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","20.0","0.02758621","1.0","0","7.0","0.05106383","1.0","0","20.0","0.02758621"
"5","0.1570248","0.7575758","0.14285714285714285","3.0","4.0","0.14","6.0","0.03333333","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0.07575758","3.0","0","0.0","0","3.0","0","1.0","0.07575758","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","20.0","0.03921569","1.0","0","7.0","0.07407407","1.0","0","20.0","0.03921569"
"6","0.1570248","0.7575758","0.14285714285714285","3.0","4.0","0.1798942","6.0","0.03726708","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0.1190476","3.0","0","0.0","0","3.0","0","1.0","0.1190476","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","20.0","0.04395604","1.0","0","7.0","0.08430913","1.0","0","20.0","0.04395604"
"7","0.1570248","0.7575758","0.14285714285714285","3.0","4.0","0.2025862","6.0","0.03846154","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0.1442308","3.0","0","0.0","0","3.0","0","1.0","0.1442308","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","20.0","0.04545455","1.0","0","7.0","0.08823529","1.0","0","20.0","0.04545455"
"8","0.1570248","0.7575758","0.14285714285714285","3.0","4.0","0.2150538","6.0","0.03831418","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0.1587302","3.0","0","0.0","0","3.0","0","1.0","0.1587302","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","20.0","0.04535147","1.0","0","7.0","0.08888889","1.0","0","20.0","0.04535147"
"9","0.1570248","0.7575758","0.14285714285714285","3.0","4.0","0.2212121","6.0","0.0375","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0.1666667","3.0","0","0.0","0","3.0","0","1.0","0.1666667","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","20.0","0.04444444","1.0","0","7.0","0.08780488","1.0","0","20.0","0.04444444"
