"release","SIY","SCF","ADCS"
"0","","0.20833333333333334","1.6666666666666667"
"1","","0.20833333333333334","1.6666666666666667"
"2","","0.20833333333333334","1.6666666666666667"
"3","","0.20833333333333334","1.6666666666666667"
"4","","0.20833333333333334","1.6666666666666667"
"5","","0.20833333333333334","1.6666666666666667"
"6","","0.20833333333333334","1.6666666666666667"
"7","","0.20833333333333334","1.6666666666666667"
"8","","0.25","1.75"
"9","","0.25","2.0"
"10","","0.25","2.0"
"11","","0.25","2.0"
"12","","0.25","2.0"
"13","","0.23333333333333334","2.1"
"14","","0.23333333333333334","2.1"
"15","","0.23333333333333334","2.1"
"16","","0.22727272727272727","2.272727272727273"
"17","","0.22727272727272727","2.272727272727273"
"18","","0.21212121212121213","2.3333333333333335"
"19","","0.21212121212121213","2.3333333333333335"
"20","","0.19230769230769232","2.3076923076923075"
