"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.3508772","0.4561404","0.2638888888888889","2.111111111111111","2.0","0","4.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","1.0","0","0.0","0","1.0","0","6.0","0","0.0","0","4.0","0","0.0","","0.0"
"1","0.3508772","0.4561404","0.2638888888888889","2.111111111111111","2.0","0","4.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","1.0","0","0.0","0","1.0","0","6.0","0","0.0","0","4.0","0","0.0","","0.0"
"2","0.3508772","0.4561404","0.2638888888888889","2.111111111111111","2.0","0","4.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","1.0","0","0.0","0","1.0","0","6.0","0","0.0","0","4.0","0","0.0","","0.0"
"3","0.3508772","0.4561404","0.2638888888888889","2.111111111111111","2.0","0","4.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","1.0","0","0.0","0","1.0","0","6.0","0","0.0","0","4.0","0","0.0","","0.0"
"4","0.3508772","0.4561404","0.2638888888888889","2.111111111111111","2.0","0","4.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","1.0","0","0.0","0","1.0","0","6.0","0","0.0","0","4.0","0","0.0","","0.0"
"5","0.3508772","0.4561404","0.2638888888888889","2.111111111111111","2.0","0","4.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","1.0","0","0.0","0","1.0","0","6.0","0","0.0","0","4.0","0","0.0","","0.0"
"6","0.3508772","0.4561404","0.2638888888888889","2.111111111111111","2.0","0","4.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","1.0","0","0.0","0","1.0","0","6.0","0","0.0","0","4.0","0","0.0","","0.0"
"7","0.3508772","0.4561404","0.2638888888888889","2.111111111111111","2.0","0","4.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","1.0","0","0.0","0","1.0","0","6.0","0","0.0","0","4.0","0","0.0","","0.0"
"8","0.3285714","0.4714286","0.23333333333333334","2.1","2.0","0","2.0","0.05228758","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","1.0","0","0.0","0","1.0","0","7.0","0.01616162","0.0","0","5.0","0.02402402","2.0","0","2.0","0"
"9","0.3285714","0.4714286","0.23333333333333334","2.1","2.0","0","2.0","0.08888889","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","1.0","0","0.0","0","1.0","0","7.0","0.02580645","0.0","0","5.0","0.03809524","2.0","0","2.0","0"
