"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","CPS2-ADS","CPS2-AIS","CPS2-ACS","CPS2-RCS","CPS2-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"1","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","2.0","5.0","10.0","0.14285714285714285","0.35714285714285715","2.0","2.0","4.0","0.14285714285714285","0.14285714285714285","3.0","2.0","6.0","0.21428571428571427","0.14285714285714285","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","3.0","2.0","6.0","0.21428571428571427","0.14285714285714285","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","5.0","1.0","5.0","0.35714285714285715","0.07142857142857142","5.0","0.0","0.0","0.35714285714285715","0.0","0.0","7.0","0.0","0.0","0.5","7.0","5.0","35.0","0.5","0.35714285714285715","1.0","11.0","11.0","0.07142857142857142","0.7857142857142857","0.0","0.0","0.0","0.0","0.0"
"2","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","2.0","5.0","10.0","0.14285714285714285","0.35714285714285715","2.0","2.0","4.0","0.14285714285714285","0.14285714285714285","3.0","2.0","6.0","0.21428571428571427","0.14285714285714285","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","3.0","2.0","6.0","0.21428571428571427","0.14285714285714285","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","5.0","1.0","5.0","0.35714285714285715","0.07142857142857142","5.0","0.0","0.0","0.35714285714285715","0.0","0.0","7.0","0.0","0.0","0.5","7.0","5.0","35.0","0.5","0.35714285714285715","1.0","11.0","11.0","0.07142857142857142","0.7857142857142857","0.0","0.0","0.0","0.0","0.0"
"3","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","2.0","5.0","10.0","0.14285714285714285","0.35714285714285715","2.0","2.0","4.0","0.14285714285714285","0.14285714285714285","3.0","2.0","6.0","0.21428571428571427","0.14285714285714285","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","3.0","2.0","6.0","0.21428571428571427","0.14285714285714285","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","5.0","1.0","5.0","0.35714285714285715","0.07142857142857142","5.0","0.0","0.0","0.35714285714285715","0.0","0.0","7.0","0.0","0.0","0.5","7.0","5.0","35.0","0.5","0.35714285714285715","1.0","11.0","11.0","0.07142857142857142","0.7857142857142857","0.0","0.0","0.0","0.0","0.0"
"4","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","2.0","3.0","6.0","0.13333333333333333","0.2","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","3.0","2.0","6.0","0.2","0.13333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","5.0","1.0","5.0","0.3333333333333333","0.06666666666666667","5.0","0.0","0.0","0.3333333333333333","0.0","0.0","8.0","0.0","0.0","0.5333333333333333","7.0","5.0","35.0","0.4666666666666667","0.3333333333333333","1.0","11.0","11.0","0.06666666666666667","0.7333333333333333","1.0","2.0","2.0","0.06666666666666667","0.13333333333333333"
"5","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","2.0","3.0","6.0","0.13333333333333333","0.2","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","3.0","2.0","6.0","0.2","0.13333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","5.0","1.0","5.0","0.3333333333333333","0.06666666666666667","5.0","0.0","0.0","0.3333333333333333","0.0","0.0","8.0","0.0","0.0","0.5333333333333333","7.0","5.0","35.0","0.4666666666666667","0.3333333333333333","1.0","11.0","11.0","0.06666666666666667","0.7333333333333333","1.0","2.0","2.0","0.06666666666666667","0.13333333333333333"
"6","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","2.0","3.0","6.0","0.13333333333333333","0.2","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","3.0","2.0","6.0","0.2","0.13333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","5.0","1.0","5.0","0.3333333333333333","0.06666666666666667","5.0","0.0","0.0","0.3333333333333333","0.0","0.0","8.0","0.0","0.0","0.5333333333333333","7.0","5.0","35.0","0.4666666666666667","0.3333333333333333","1.0","11.0","11.0","0.06666666666666667","0.7333333333333333","1.0","2.0","2.0","0.06666666666666667","0.13333333333333333"
"7","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","2.0","3.0","6.0","0.13333333333333333","0.2","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","3.0","2.0","6.0","0.2","0.13333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","5.0","1.0","5.0","0.3333333333333333","0.06666666666666667","5.0","0.0","0.0","0.3333333333333333","0.0","0.0","8.0","0.0","0.0","0.5333333333333333","7.0","5.0","35.0","0.4666666666666667","0.3333333333333333","1.0","11.0","11.0","0.06666666666666667","0.7333333333333333","1.0","2.0","2.0","0.06666666666666667","0.13333333333333333"
"8","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","2.0","3.0","6.0","0.13333333333333333","0.2","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","3.0","2.0","6.0","0.2","0.13333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","5.0","1.0","5.0","0.3333333333333333","0.06666666666666667","5.0","0.0","0.0","0.3333333333333333","0.0","0.0","8.0","0.0","0.0","0.5333333333333333","7.0","5.0","35.0","0.4666666666666667","0.3333333333333333","1.0","11.0","11.0","0.06666666666666667","0.7333333333333333","1.0","2.0","2.0","0.06666666666666667","0.13333333333333333"
"9","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","2.0","3.0","6.0","0.13333333333333333","0.2","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","3.0","2.0","6.0","0.2","0.13333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","5.0","1.0","5.0","0.3333333333333333","0.06666666666666667","5.0","0.0","0.0","0.3333333333333333","0.0","0.0","8.0","0.0","0.0","0.5333333333333333","7.0","5.0","35.0","0.4666666666666667","0.3333333333333333","1.0","11.0","11.0","0.06666666666666667","0.7333333333333333","1.0","2.0","2.0","0.06666666666666667","0.13333333333333333"
"10","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","2.0","3.0","6.0","0.13333333333333333","0.2","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","3.0","2.0","6.0","0.2","0.13333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","5.0","1.0","5.0","0.3333333333333333","0.06666666666666667","5.0","0.0","0.0","0.3333333333333333","0.0","0.0","8.0","0.0","0.0","0.5333333333333333","7.0","5.0","35.0","0.4666666666666667","0.3333333333333333","1.0","11.0","11.0","0.06666666666666667","0.7333333333333333","1.0","2.0","2.0","0.06666666666666667","0.13333333333333333"
"11","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","2.0","3.0","6.0","0.13333333333333333","0.2","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","3.0","2.0","6.0","0.2","0.13333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","5.0","1.0","5.0","0.3333333333333333","0.06666666666666667","5.0","0.0","0.0","0.3333333333333333","0.0","0.0","8.0","0.0","0.0","0.5333333333333333","7.0","5.0","35.0","0.4666666666666667","0.3333333333333333","1.0","11.0","11.0","0.06666666666666667","0.7333333333333333","1.0","2.0","2.0","0.06666666666666667","0.13333333333333333"
"12","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","2.0","3.0","6.0","0.13333333333333333","0.2","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","3.0","2.0","6.0","0.2","0.13333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","5.0","1.0","5.0","0.3333333333333333","0.06666666666666667","5.0","0.0","0.0","0.3333333333333333","0.0","0.0","8.0","0.0","0.0","0.5333333333333333","7.0","5.0","35.0","0.4666666666666667","0.3333333333333333","1.0","11.0","11.0","0.06666666666666667","0.7333333333333333","1.0","2.0","2.0","0.06666666666666667","0.13333333333333333"
"13","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","2.0","3.0","6.0","0.13333333333333333","0.2","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","3.0","2.0","6.0","0.2","0.13333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","5.0","1.0","5.0","0.3333333333333333","0.06666666666666667","5.0","0.0","0.0","0.3333333333333333","0.0","0.0","8.0","0.0","0.0","0.5333333333333333","7.0","5.0","35.0","0.4666666666666667","0.3333333333333333","1.0","11.0","11.0","0.06666666666666667","0.7333333333333333","1.0","2.0","2.0","0.06666666666666667","0.13333333333333333"
"14","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","2.0","3.0","6.0","0.13333333333333333","0.2","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","3.0","2.0","6.0","0.2","0.13333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","5.0","1.0","5.0","0.3333333333333333","0.06666666666666667","5.0","0.0","0.0","0.3333333333333333","0.0","0.0","8.0","0.0","0.0","0.5333333333333333","7.0","5.0","35.0","0.4666666666666667","0.3333333333333333","1.0","11.0","11.0","0.06666666666666667","0.7333333333333333","1.0","2.0","2.0","0.06666666666666667","0.13333333333333333"
"15","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","2.0","3.0","6.0","0.13333333333333333","0.2","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","3.0","2.0","6.0","0.2","0.13333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","5.0","1.0","5.0","0.3333333333333333","0.06666666666666667","5.0","0.0","0.0","0.3333333333333333","0.0","0.0","8.0","0.0","0.0","0.5333333333333333","7.0","5.0","35.0","0.4666666666666667","0.3333333333333333","1.0","11.0","11.0","0.06666666666666667","0.7333333333333333","1.0","2.0","2.0","0.06666666666666667","0.13333333333333333"
