"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","CPS2-ADS","CPS2-GINI -ADS","CPS2-AIS","CPS2-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.3178571","0.5035714","0.21978021978021978","2.857142857142857","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","5.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0","7.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0"
"1","0.3178571","0.5035714","0.21978021978021978","2.857142857142857","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","5.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0","7.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0"
"2","0.3178571","0.5035714","0.21978021978021978","2.857142857142857","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","5.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0","7.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0"
"3","0.3349593","0.4975610","0.19523809523809524","2.7333333333333334","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.08333333","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","5.0","0","0.0","0","0.0","0","8.0","0.02586207","7.0","0","5.0","0","1.0","0","11.0","0","1.0","0","2.0","0"
"4","0.3349593","0.4975610","0.19523809523809524","2.7333333333333334","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1142857","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","5.0","0","0.0","0","0.0","0","8.0","0.03243243","7.0","0","5.0","0","1.0","0","11.0","0","1.0","0","2.0","0"
"5","0.3349593","0.4975610","0.19523809523809524","2.7333333333333334","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.125","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","5.0","0","0.0","0","0.0","0","8.0","0.03333333","7.0","0","5.0","0","1.0","0","11.0","0","1.0","0","2.0","0"
"6","0.3349593","0.4975610","0.19523809523809524","2.7333333333333334","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1269841","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","5.0","0","0.0","0","0.0","0","8.0","0.03234501","7.0","0","5.0","0","1.0","0","11.0","0","1.0","0","2.0","0"
"7","0.3349593","0.4975610","0.19523809523809524","2.7333333333333334","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.125","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","5.0","0","0.0","0","0.0","0","8.0","0.03073770","7.0","0","5.0","0","1.0","0","11.0","0","1.0","0","2.0","0"
"8","0.3349593","0.4975610","0.19523809523809524","2.7333333333333334","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1212121","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","5.0","0","0.0","0","0.0","0","8.0","0.02898551","7.0","0","5.0","0","1.0","0","11.0","0","1.0","0","2.0","0"
"9","0.3349593","0.4975610","0.19523809523809524","2.7333333333333334","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1166667","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","5.0","0","0.0","0","0.0","0","8.0","0.02727273","7.0","0","5.0","0","1.0","0","11.0","0","1.0","0","2.0","0"
"10","0.3349593","0.4975610","0.19523809523809524","2.7333333333333334","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1118881","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","5.0","0","0.0","0","0.0","0","8.0","0.02566845","7.0","0","5.0","0","1.0","0","11.0","0","1.0","0","2.0","0"
"11","0.3349593","0.4975610","0.19523809523809524","2.7333333333333334","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1071429","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","5.0","0","0.0","0","0.0","0","8.0","0.02419355","7.0","0","5.0","0","1.0","0","11.0","0","1.0","0","2.0","0"
"12","0.3349593","0.4975610","0.19523809523809524","2.7333333333333334","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1025641","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","5.0","0","0.0","0","0.0","0","8.0","0.02284844","7.0","0","5.0","0","1.0","0","11.0","0","1.0","0","2.0","0"
