"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","BA10-ADS","BA10-AIS","BA10-ACS","BA10-RCS","BA10-RIS","BA11-ADS","BA11-AIS","BA11-ACS","BA11-RCS","BA11-RIS","BA12-ADS","BA12-AIS","BA12-ACS","BA12-RCS","BA12-RIS","BA13-ADS","BA13-AIS","BA13-ACS","BA13-RCS","BA13-RIS","BA14-ADS","BA14-AIS","BA14-ACS","BA14-RCS","BA14-RIS","BA15-ADS","BA15-AIS","BA15-ACS","BA15-RCS","BA15-RIS","BA16-ADS","BA16-AIS","BA16-ACS","BA16-RCS","BA16-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS","MSV8-ADS","MSV8-AIS","MSV8-ACS","MSV8-RCS","MSV8-RIS","MSV9-ADS","MSV9-AIS","MSV9-ACS","MSV9-RCS","MSV9-RIS","MSV10-ADS","MSV10-AIS","MSV10-ACS","MSV10-RCS","MSV10-RIS"
"11","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","7.0","14.0","0.08695652173913043","0.30434782608695654","7.0","0.0","0.0","0.30434782608695654","0.0","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","1.0","0.0","0.0","0.043478260869565216","0.0","1.0","0.0","0.0","0.043478260869565216","0.0","1.0","0.0","0.0","0.043478260869565216","0.0","3.0","0.0","0.0","0.13043478260869565","0.0","1.0","12.0","12.0","0.043478260869565216","0.5217391304347826","6.0","9.0","54.0","0.2608695652173913","0.391304347826087","0.0","9.0","0.0","0.0","0.391304347826087","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","7.0","14.0","0.08333333333333333","0.2916666666666667","8.0","0.0","0.0","0.3333333333333333","0.0","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","0.0","0.0","0.041666666666666664","0.0","1.0","0.0","0.0","0.041666666666666664","0.0","1.0","0.0","0.0","0.041666666666666664","0.0","3.0","0.0","0.0","0.125","0.0","1.0","13.0","13.0","0.041666666666666664","0.5416666666666666","6.0","9.0","54.0","0.25","0.375","0.0","10.0","0.0","0.0","0.4166666666666667","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","7.0","14.0","0.08333333333333333","0.2916666666666667","8.0","0.0","0.0","0.3333333333333333","0.0","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","0.0","0.0","0.041666666666666664","0.0","1.0","0.0","0.0","0.041666666666666664","0.0","1.0","0.0","0.0","0.041666666666666664","0.0","3.0","0.0","0.0","0.125","0.0","1.0","13.0","13.0","0.041666666666666664","0.5416666666666666","6.0","9.0","54.0","0.25","0.375","0.0","10.0","0.0","0.0","0.4166666666666667","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","7.0","14.0","0.08333333333333333","0.2916666666666667","8.0","0.0","0.0","0.3333333333333333","0.0","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","0.0","0.0","0.041666666666666664","0.0","1.0","0.0","0.0","0.041666666666666664","0.0","1.0","0.0","0.0","0.041666666666666664","0.0","3.0","0.0","0.0","0.125","0.0","1.0","13.0","13.0","0.041666666666666664","0.5416666666666666","6.0","9.0","54.0","0.25","0.375","0.0","10.0","0.0","0.0","0.4166666666666667","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","7.0","14.0","0.08333333333333333","0.2916666666666667","8.0","0.0","0.0","0.3333333333333333","0.0","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","0.0","0.0","0.041666666666666664","0.0","1.0","0.0","0.0","0.041666666666666664","0.0","1.0","0.0","0.0","0.041666666666666664","0.0","3.0","0.0","0.0","0.125","0.0","1.0","13.0","13.0","0.041666666666666664","0.5416666666666666","6.0","9.0","54.0","0.25","0.375","0.0","10.0","0.0","0.0","0.4166666666666667","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","2.0","1.0","2.0","0.08","0.04","2.0","7.0","14.0","0.08","0.28","9.0","0.0","0.0","0.36","0.0","1.0","1.0","1.0","0.04","0.04","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","2.0","0.0","0.0","0.08","0.0","2.0","0.0","0.0","0.08","0.0","2.0","0.0","0.0","0.08","0.0","2.0","0.0","0.0","0.08","0.0","2.0","0.0","0.0","0.08","0.0","2.0","1.0","2.0","0.08","0.04","1.0","0.0","0.0","0.04","0.0","1.0","0.0","0.0","0.04","0.0","1.0","0.0","0.0","0.04","0.0","3.0","0.0","0.0","0.12","0.0","1.0","14.0","14.0","0.04","0.56","6.0","9.0","54.0","0.24","0.36","0.0","11.0","0.0","0.0","0.44","2.0","1.0","2.0","0.08","0.04","1.0","1.0","1.0","0.04","0.04","1.0","1.0","1.0","0.04","0.04","1.0","1.0","1.0","0.04","0.04","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","2.0","1.0","2.0","0.08","0.04","2.0","7.0","14.0","0.08","0.28","9.0","0.0","0.0","0.36","0.0","1.0","1.0","1.0","0.04","0.04","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","2.0","0.0","0.0","0.08","0.0","2.0","0.0","0.0","0.08","0.0","2.0","0.0","0.0","0.08","0.0","2.0","0.0","0.0","0.08","0.0","2.0","0.0","0.0","0.08","0.0","2.0","1.0","2.0","0.08","0.04","1.0","0.0","0.0","0.04","0.0","1.0","0.0","0.0","0.04","0.0","1.0","0.0","0.0","0.04","0.0","3.0","0.0","0.0","0.12","0.0","1.0","14.0","14.0","0.04","0.56","6.0","9.0","54.0","0.24","0.36","0.0","11.0","0.0","0.0","0.44","2.0","1.0","2.0","0.08","0.04","1.0","1.0","1.0","0.04","0.04","1.0","1.0","1.0","0.04","0.04","1.0","1.0","1.0","0.04","0.04","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","2.0","1.0","2.0","0.08","0.04","2.0","7.0","14.0","0.08","0.28","9.0","0.0","0.0","0.36","0.0","1.0","1.0","1.0","0.04","0.04","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","2.0","0.0","0.0","0.08","0.0","2.0","0.0","0.0","0.08","0.0","2.0","0.0","0.0","0.08","0.0","2.0","0.0","0.0","0.08","0.0","2.0","0.0","0.0","0.08","0.0","2.0","1.0","2.0","0.08","0.04","1.0","0.0","0.0","0.04","0.0","1.0","0.0","0.0","0.04","0.0","1.0","0.0","0.0","0.04","0.0","3.0","0.0","0.0","0.12","0.0","1.0","14.0","14.0","0.04","0.56","6.0","9.0","54.0","0.24","0.36","0.0","11.0","0.0","0.0","0.44","2.0","1.0","2.0","0.08","0.04","1.0","1.0","1.0","0.04","0.04","1.0","1.0","1.0","0.04","0.04","1.0","1.0","1.0","0.04","0.04","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","2.0","1.0","2.0","0.08","0.04","2.0","7.0","14.0","0.08","0.28","9.0","0.0","0.0","0.36","0.0","1.0","1.0","1.0","0.04","0.04","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","2.0","0.0","0.0","0.08","0.0","2.0","0.0","0.0","0.08","0.0","2.0","0.0","0.0","0.08","0.0","2.0","0.0","0.0","0.08","0.0","2.0","0.0","0.0","0.08","0.0","2.0","1.0","2.0","0.08","0.04","1.0","0.0","0.0","0.04","0.0","1.0","0.0","0.0","0.04","0.0","1.0","0.0","0.0","0.04","0.0","3.0","0.0","0.0","0.12","0.0","1.0","14.0","14.0","0.04","0.56","6.0","9.0","54.0","0.24","0.36","0.0","11.0","0.0","0.0","0.44","2.0","1.0","2.0","0.08","0.04","1.0","1.0","1.0","0.04","0.04","1.0","1.0","1.0","0.04","0.04","1.0","1.0","1.0","0.04","0.04","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","7.0","14.0","0.07692307692307693","0.2692307692307692","10.0","0.0","0.0","0.38461538461538464","0.0","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","0.0","0.0","0.07692307692307693","0.0","2.0","0.0","0.0","0.07692307692307693","0.0","2.0","0.0","0.0","0.07692307692307693","0.0","2.0","0.0","0.0","0.07692307692307693","0.0","2.0","0.0","0.0","0.07692307692307693","0.0","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","0.0","0.0","0.038461538461538464","0.0","1.0","0.0","0.0","0.038461538461538464","0.0","1.0","0.0","0.0","0.038461538461538464","0.0","3.0","0.0","0.0","0.11538461538461539","0.0","1.0","15.0","15.0","0.038461538461538464","0.5769230769230769","6.0","9.0","54.0","0.23076923076923078","0.34615384615384615","0.0","11.0","0.0","0.0","0.4230769230769231","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"21","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","7.0","14.0","0.06896551724137931","0.2413793103448276","13.0","0.0","0.0","0.4482758620689655","0.0","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","0.0","0.0","0.06896551724137931","0.0","2.0","0.0","0.0","0.06896551724137931","0.0","2.0","0.0","0.0","0.06896551724137931","0.0","2.0","0.0","0.0","0.06896551724137931","0.0","2.0","0.0","0.0","0.06896551724137931","0.0","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","0.0","0.0","0.034482758620689655","0.0","1.0","0.0","0.0","0.034482758620689655","0.0","1.0","0.0","0.0","0.034482758620689655","0.0","3.0","0.0","0.0","0.10344827586206896","0.0","1.0","18.0","18.0","0.034482758620689655","0.6206896551724138","6.0","9.0","54.0","0.20689655172413793","0.3103448275862069","0.0","12.0","0.0","0.0","0.41379310344827586","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655"
