"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2384615","0.5423077","0.2564102564102564","3.076923076923077","4.0","0","5.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","1.0","0","10.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0"
"1","0.2384615","0.5423077","0.2564102564102564","3.076923076923077","4.0","0","5.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","1.0","0","10.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0"
"2","0.2384615","0.5423077","0.2564102564102564","3.076923076923077","4.0","0","5.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","1.0","0","10.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0"
"3","0.2384615","0.5423077","0.2564102564102564","3.076923076923077","4.0","0","5.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","1.0","0","10.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0"
"4","0.2448980","0.5510204","0.23076923076923078","3.0","4.0","0","3.0","0.06956522","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","1.0","0","11.0","0.01568627","1.0","0","5.0","0","1.0","0","12.0","0.01428571","2.0","0","2.0","0"
"5","0.2448980","0.5510204","0.23076923076923078","3.0","4.0","0","3.0","0.1025641","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","1.0","0","11.0","0.02150538","1.0","0","5.0","0","1.0","0","12.0","0.01960784","2.0","0","2.0","0"
"6","0.2448980","0.5510204","0.23076923076923078","3.0","4.0","0","3.0","0.1182266","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","1.0","0","11.0","0.02348337","1.0","0","5.0","0","1.0","0","12.0","0.02142857","2.0","0","2.0","0"
"7","0.2448980","0.5510204","0.23076923076923078","3.0","4.0","0","3.0","0.125","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","1.0","0","11.0","0.02380952","1.0","0","5.0","0","1.0","0","12.0","0.02173913","2.0","0","2.0","0"
"8","0.2448980","0.5510204","0.23076923076923078","3.0","4.0","0","3.0","0.1269841","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","1.0","0","11.0","0.02339181","1.0","0","5.0","0","1.0","0","12.0","0.02136752","2.0","0","2.0","0"
"9","0.2448980","0.5510204","0.23076923076923078","3.0","4.0","0","3.0","0.1263158","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","1.0","0","11.0","0.02264151","1.0","0","5.0","0","1.0","0","12.0","0.02068966","2.0","0","2.0","0"
"10","0.2448980","0.5510204","0.23076923076923078","3.0","4.0","0","3.0","0.1241685","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","1.0","0","11.0","0.02175602","1.0","0","5.0","0","1.0","0","12.0","0.01988636","2.0","0","2.0","0"
"11","0.2448980","0.5510204","0.23076923076923078","3.0","4.0","0","3.0","0.1212121","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","1.0","0","11.0","0.02083333","1.0","0","5.0","0","1.0","0","12.0","0.01904762","2.0","0","2.0","0"
"12","0.2448980","0.5510204","0.23076923076923078","3.0","4.0","0","3.0","0.1178396","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","1.0","0","11.0","0.01992252","1.0","0","5.0","0","1.0","0","12.0","0.01821862","2.0","0","2.0","0"
"13","0.2448980","0.5510204","0.23076923076923078","3.0","4.0","0","3.0","0.1142857","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","1.0","0","11.0","0.01904762","1.0","0","5.0","0","1.0","0","12.0","0.01742160","2.0","0","2.0","0"
"14","0.2448980","0.5510204","0.23076923076923078","3.0","4.0","0","3.0","0.1106918","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","1.0","0","11.0","0.01821946","1.0","0","5.0","0","1.0","0","12.0","0.01666667","2.0","0","2.0","0"
"15","0.2448980","0.5510204","0.23076923076923078","3.0","4.0","0","3.0","0.1071429","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","1.0","0","11.0","0.01744186","1.0","0","5.0","0","1.0","0","12.0","0.01595745","2.0","0","2.0","0"
"16","0.2448980","0.5510204","0.23076923076923078","3.0","4.0","0","3.0","0.1036889","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","1.0","0","11.0","0.01671488","1.0","0","5.0","0","1.0","0","12.0","0.01529412","2.0","0","2.0","0"
