"APPLICATION","TIPO","TAMANHO","VERTICES INÍCIO","RELEASE 0","EVOLUÇÃO","GINI-ADS-V0","GINI-ADS-V1","GINI-ADS-V2","GINI-ADS-V3","GINI-ADS-V4","GINI-ADS-V5","GINI-ADS-V6","GINI-ADS-V7","GINI-ADS-V8","GINI-ADS-V9","GINI-ADS-V10","GINI-ADS-V11","GINI-ADS-V12","GINI-ADS-V13","GINI-ADS-V14","GINI-ADS-V15","GINI-ADS-V16","GINI-ADS-V17","GINI-ADS-V18","GINI-ADS-V19","GINI-ADS-V20","GINI-AIS-V0","GINI-AIS-V1","GINI-AIS-V2","GINI-AIS-V3","GINI-AIS-V4","GINI-AIS-V5","GINI-AIS-V6","GINI-AIS-V7","GINI-AIS-V8","GINI-AIS-V9","GINI-AIS-V10","GINI-AIS-V11","GINI-AIS-V12","GINI-AIS-V13","GINI-AIS-V14","GINI-AIS-V15","GINI-AIS-V16","GINI-AIS-V17","GINI-AIS-V18","GINI-AIS-V19","GINI-AIS-V20","SCF-V0","SCF-V1","SCF-V2","SCF-V3","SCF-V4","SCF-V5","SCF-V6","SCF-V7","SCF-V8","SCF-V9","SCF-V10","SCF-V11","SCF-V12","SCF-V13","SCF-V14","SCF-V15","SCF-V16","SCF-V17","SCF-V18","SCF-V19","SCF-V20","ADCS-V0","ADCS-V1","ADCS-V2","ADCS-V3","ADCS-V4","ADCS-V5","ADCS-V6","ADCS-V7","ADCS-V8","ADCS-V9","ADCS-V10","ADCS-V11","ADCS-V12","ADCS-V13","ADCS-V14","ADCS-V15","ADCS-V16","ADCS-V17","ADCS-V18","ADCS-V19","ADCS-V20"
"application-0001","RANDOM_GRAPH","SMALL","7","MEGASERVICE PROBLEM","IMPROVE","0.2680180","0.2680180","0.2680180","0.2680180","0.2680180","0.2680180","0.2680180","0.2721893","0.2721893","0.2721893","0.2721893","0.2721893","0.2928571","0.2928571","0.2928571","0.2928571","0.2928571","0.2928571","0.2928571","0.2928571","0.2938830","0.5698198","0.5698198","0.5698198","0.5698198","0.5698198","0.5698198","0.5698198","0.5719921","0.5719921","0.5719921","0.5719921","0.5719921","0.575","0.575","0.575","0.575","0.575","0.575","0.575","0.575","0.5944149","0.2803030303030303","0.2803030303030303","0.2803030303030303","0.2803030303030303","0.2803030303030303","0.2803030303030303","0.2803030303030303","0.25","0.25","0.25","0.25","0.25","0.21978021978021978","0.21978021978021978","0.21978021978021978","0.21978021978021978","0.21978021978021978","0.21978021978021978","0.21978021978021978","0.21978021978021978","0.19583333333333333","3.0833333333333335","3.0833333333333335","3.0833333333333335","3.0833333333333335","3.0833333333333335","3.0833333333333335","3.0833333333333335","3.0","3.0","3.0","3.0","3.0","2.857142857142857","2.857142857142857","2.857142857142857","2.857142857142857","2.857142857142857","2.857142857142857","2.857142857142857","2.857142857142857","2.9375"
"application-0002","RANDOM_GRAPH","SMALL","7","MEGASERVICE PROBLEM","IMPROVE","0.3392857","0.3392857","0.3392857","0.3392857","0.3392857","0.3230769","0.3230769","0.3230769","0.3230769","0.3341014","0.3341014","0.3341014","0.3341014","0.3191919","0.3191919","0.3191919","0.3191919","0.3194444","0.3194444","0.3194444","0.3107089","0.4761905","0.4761905","0.4761905","0.4761905","0.4761905","0.4410256","0.4410256","0.4410256","0.4410256","0.4400922","0.4400922","0.4400922","0.4400922","0.4565657","0.4565657","0.4565657","0.4565657","0.4756944","0.4756944","0.4756944","0.4736048","0.21212121212121213","0.21212121212121213","0.21212121212121213","0.21212121212121213","0.21212121212121213","0.19230769230769232","0.19230769230769232","0.19230769230769232","0.19230769230769232","0.17032967032967034","0.17032967032967034","0.17032967032967034","0.17032967032967034","0.15714285714285714","0.15714285714285714","0.15714285714285714","0.15714285714285714","0.15","0.15","0.15","0.14338235294117646","2.3333333333333335","2.3333333333333335","2.3333333333333335","2.3333333333333335","2.3333333333333335","2.3076923076923075","2.3076923076923075","2.3076923076923075","2.3076923076923075","2.2142857142857144","2.2142857142857144","2.2142857142857144","2.2142857142857144","2.2","2.2","2.2","2.2","2.25","2.25","2.25","2.2941176470588234"
"application-0003","RANDOM_GRAPH","SMALL","7","MEGASERVICE PROBLEM","IMPROVE","0.2119048","0.2119048","0.2119048","0.2119048","0.2119048","0.2203742","0.2203742","0.2203742","0.2107143","0.2107143","0.2107143","0.2107143","0.2158730","0.2158730","0.2158730","0.2386364","0.2386364","0.2386364","0.2386364","0.2450980","0.2581699","0.5214286","0.5214286","0.5214286","0.5214286","0.5214286","0.5031185","0.5031185","0.5031185","0.5285714","0.5285714","0.5285714","0.5285714","0.5492063","0.5492063","0.5492063","0.5539773","0.5539773","0.5539773","0.5539773","0.5588235","0.5653595","0.26515151515151514","0.26515151515151514","0.26515151515151514","0.26515151515151514","0.26515151515151514","0.23717948717948717","0.23717948717948717","0.23717948717948717","0.21978021978021978","0.21978021978021978","0.21978021978021978","0.21978021978021978","0.2","0.2","0.2","0.18333333333333332","0.18333333333333332","0.18333333333333332","0.18333333333333332","0.17647058823529413","0.16666666666666666","2.9166666666666665","2.9166666666666665","2.9166666666666665","2.9166666666666665","2.9166666666666665","2.8461538461538463","2.8461538461538463","2.8461538461538463","2.857142857142857","2.857142857142857","2.857142857142857","2.857142857142857","2.8","2.8","2.8","2.75","2.75","2.75","2.75","2.823529411764706","2.8333333333333335"
"application-0004","RANDOM_GRAPH","SMALL","5","MEGASERVICE PROBLEM","IMPROVE","0.3571429","0.3571429","0.3571429","0.3571429","0.3571429","0.3571429","0.3571429","0.3571429","0.3571429","0.3557692","0.3557692","0.3557692","0.3557692","0.3557692","0.3557692","0.3557692","0.3492063","0.3492063","0.3492063","0.3492063","0.34","0.4523810","0.4523810","0.4523810","0.4523810","0.4523810","0.4523810","0.4523810","0.4523810","0.4523810","0.4519231","0.4519231","0.4519231","0.4519231","0.4519231","0.4519231","0.4519231","0.4444444","0.4444444","0.4444444","0.4444444","0.5266667","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.23214285714285715","0.23214285714285715","0.23214285714285715","0.23214285714285715","0.23214285714285715","0.23214285714285715","0.23214285714285715","0.19444444444444445","0.19444444444444445","0.19444444444444445","0.19444444444444445","0.16666666666666666","1.7142857142857142","1.7142857142857142","1.7142857142857142","1.7142857142857142","1.7142857142857142","1.7142857142857142","1.7142857142857142","1.7142857142857142","1.7142857142857142","1.625","1.625","1.625","1.625","1.625","1.625","1.625","1.5555555555555556","1.5555555555555556","1.5555555555555556","1.5555555555555556","1.5"
"application-0005","RANDOM_GRAPH","SMALL","5","MEGASERVICE PROBLEM","IMPROVE","0.2833333","0.2833333","0.2833333","0.2833333","0.2833333","0.2727273","0.2727273","0.2727273","0.2727273","0.2727273","0.2727273","0.2932099","0.2932099","0.2932099","0.2932099","0.2811671","0.2811671","0.2678571","0.2678571","0.2678571","0.2742857","0.55","0.55","0.55","0.55","0.55","0.5594406","0.5594406","0.5594406","0.5594406","0.5594406","0.5594406","0.5709877","0.5709877","0.5709877","0.5709877","0.5941645","0.5941645","0.6294643","0.6294643","0.6294643","0.6361905","0.26666666666666666","0.26666666666666666","0.26666666666666666","0.26666666666666666","0.26666666666666666","0.23636363636363636","0.23636363636363636","0.23636363636363636","0.23636363636363636","0.23636363636363636","0.23636363636363636","0.20454545454545456","0.20454545454545456","0.20454545454545456","0.20454545454545456","0.1858974358974359","0.1858974358974359","0.17582417582417584","0.17582417582417584","0.17582417582417584","0.16666666666666666","2.4","2.4","2.4","2.4","2.4","2.3636363636363638","2.3636363636363638","2.3636363636363638","2.3636363636363638","2.3636363636363638","2.3636363636363638","2.25","2.25","2.25","2.25","2.230769230769231","2.230769230769231","2.2857142857142856","2.2857142857142856","2.2857142857142856","2.3333333333333335"
"application-0006","RANDOM_GRAPH","SMALL","6","MEGASERVICE PROBLEM","IMPROVE","0.2626263","0.2626263","0.2626263","0.2626263","0.2626263","0.2826087","0.2826087","0.2826087","0.2826087","0.2826087","0.2826087","0.2954545","0.2954545","0.2954545","0.2884615","0.2884615","0.2884615","0.2802198","0.2802198","0.2802198","0.2714286","0.6262626","0.6262626","0.6262626","0.6262626","0.6262626","0.6391304","0.6391304","0.6391304","0.6391304","0.6391304","0.6391304","0.6666667","0.6666667","0.6666667","0.6923077","0.6923077","0.6923077","0.7032967","0.7032967","0.7032967","0.7285714","0.3055555555555556","0.3055555555555556","0.3055555555555556","0.3055555555555556","0.3055555555555556","0.25555555555555554","0.25555555555555554","0.25555555555555554","0.25555555555555554","0.25555555555555554","0.25555555555555554","0.21818181818181817","0.21818181818181817","0.21818181818181817","0.19696969696969696","0.19696969696969696","0.19696969696969696","0.1794871794871795","0.1794871794871795","0.1794871794871795","0.16483516483516483","2.4444444444444446","2.4444444444444446","2.4444444444444446","2.4444444444444446","2.4444444444444446","2.3","2.3","2.3","2.3","2.3","2.3","2.1818181818181817","2.1818181818181817","2.1818181818181817","2.1666666666666665","2.1666666666666665","2.1666666666666665","2.1538461538461537","2.1538461538461537","2.1538461538461537","2.142857142857143"
"application-0007","RANDOM_GRAPH","SMALL","7","MEGASERVICE PROBLEM","IMPROVE","0.3054545","0.3054545","0.3054545","0.3054545","0.3054545","0.3054545","0.3054545","0.3054545","0.3054545","0.3054545","0.3054545","0.3054545","0.3054545","0.3205128","0.3205128","0.3076923","0.3076923","0.3076923","0.3076923","0.3076923","0.3177340","0.5527273","0.5527273","0.5527273","0.5527273","0.5527273","0.5527273","0.5527273","0.5527273","0.5527273","0.5527273","0.5527273","0.5527273","0.5527273","0.5384615","0.5384615","0.5549451","0.5549451","0.5549451","0.5549451","0.5549451","0.5541872","0.22727272727272727","0.22727272727272727","0.22727272727272727","0.22727272727272727","0.22727272727272727","0.22727272727272727","0.22727272727272727","0.22727272727272727","0.22727272727272727","0.22727272727272727","0.22727272727272727","0.22727272727272727","0.22727272727272727","0.19696969696969696","0.19696969696969696","0.1794871794871795","0.1794871794871795","0.1794871794871795","0.1794871794871795","0.1794871794871795","0.15934065934065933","2.272727272727273","2.272727272727273","2.272727272727273","2.272727272727273","2.272727272727273","2.272727272727273","2.272727272727273","2.272727272727273","2.272727272727273","2.272727272727273","2.272727272727273","2.272727272727273","2.272727272727273","2.1666666666666665","2.1666666666666665","2.1538461538461537","2.1538461538461537","2.1538461538461537","2.1538461538461537","2.1538461538461537","2.0714285714285716"
"application-0008","RANDOM_GRAPH","SMALL","9","MEGASERVICE PROBLEM","IMPROVE","0.2665505","0.2665505","0.2665505","0.2665505","0.2665505","0.2888889","0.2888889","0.2888889","0.2888889","0.3066860","0.3066860","0.3066860","0.3066860","0.3066860","0.3066860","0.3066860","0.3274232","0.3274232","0.3274232","0.3222342","0.3245098","0.5418118","0.5418118","0.5418118","0.5418118","0.5418118","0.5174603","0.5174603","0.5174603","0.5174603","0.5188953","0.5188953","0.5188953","0.5188953","0.5188953","0.5188953","0.5188953","0.5118203","0.5118203","0.5118203","0.5155747","0.5205882","0.22527472527472528","0.22527472527472528","0.22527472527472528","0.22527472527472528","0.22527472527472528","0.2","0.2","0.2","0.2","0.17916666666666667","0.17916666666666667","0.17916666666666667","0.17916666666666667","0.17916666666666667","0.17916666666666667","0.17916666666666667","0.15359477124183007","0.15359477124183007","0.15359477124183007","0.14327485380116958","0.13421052631578947","2.9285714285714284","2.9285714285714284","2.9285714285714284","2.9285714285714284","2.9285714285714284","2.8","2.8","2.8","2.8","2.6875","2.6875","2.6875","2.6875","2.6875","2.6875","2.6875","2.611111111111111","2.611111111111111","2.611111111111111","2.5789473684210527","2.55"
"application-0009","RANDOM_GRAPH","SMALL","9","MEGASERVICE PROBLEM","IMPROVE","0.1961538","0.1961538","0.1961538","0.1961538","0.1961538","0.2247387","0.2247387","0.2247387","0.2247387","0.2247387","0.2247387","0.2325581","0.2325581","0.2325581","0.2325581","0.2306805","0.2306805","0.2306805","0.2306805","0.2306805","0.2540835","0.6346154","0.6346154","0.6346154","0.6346154","0.6346154","0.6184669","0.6184669","0.6184669","0.6184669","0.6184669","0.6184669","0.6263566","0.6263566","0.6263566","0.6263566","0.6251442","0.6251442","0.6251442","0.6251442","0.6251442","0.6352087","0.2564102564102564","0.2564102564102564","0.2564102564102564","0.2564102564102564","0.2564102564102564","0.22527472527472528","0.22527472527472528","0.22527472527472528","0.22527472527472528","0.22527472527472528","0.22527472527472528","0.20476190476190476","0.20476190476190476","0.20476190476190476","0.20476190476190476","0.1875","0.1875","0.1875","0.1875","0.1875","0.1695906432748538","3.076923076923077","3.076923076923077","3.076923076923077","3.076923076923077","3.076923076923077","2.9285714285714284","2.9285714285714284","2.9285714285714284","2.9285714285714284","2.9285714285714284","2.9285714285714284","2.8666666666666667","2.8666666666666667","2.8666666666666667","2.8666666666666667","3.0","3.0","3.0","3.0","3.0","3.0526315789473686"
"application-0010","RANDOM_GRAPH","SMALL","7","MEGASERVICE PROBLEM","IMPROVE","0.2404762","0.2404762","0.2404762","0.2404762","0.2404762","0.2453222","0.2453222","0.2453222","0.2453222","0.2472527","0.2472527","0.2472527","0.2472527","0.2472527","0.2472527","0.2472826","0.2472826","0.2472826","0.2491349","0.2491349","0.2510288","0.6309524","0.6309524","0.6309524","0.6309524","0.6309524","0.6320166","0.6320166","0.6320166","0.6320166","0.6355311","0.6355311","0.6355311","0.6355311","0.6355311","0.6355311","0.6440217","0.6440217","0.6440217","0.6505190","0.6505190","0.6543210","0.26515151515151514","0.26515151515151514","0.26515151515151514","0.26515151515151514","0.26515151515151514","0.23717948717948717","0.23717948717948717","0.23717948717948717","0.23717948717948717","0.21428571428571427","0.21428571428571427","0.21428571428571427","0.21428571428571427","0.21428571428571427","0.21428571428571427","0.19166666666666668","0.19166666666666668","0.19166666666666668","0.1875","0.1875","0.17647058823529413","2.9166666666666665","2.9166666666666665","2.9166666666666665","2.9166666666666665","2.9166666666666665","2.8461538461538463","2.8461538461538463","2.8461538461538463","2.8461538461538463","2.7857142857142856","2.7857142857142856","2.7857142857142856","2.7857142857142856","2.7857142857142856","2.7857142857142856","2.875","2.875","2.875","3.0","3.0","3.0"
