"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"1","4.0","3.0","12.0","0.5714285714285714","0.42857142857142855","3.0","0.0","0.0","0.42857142857142855","0.0","2.0","0.0","0.0","0.2857142857142857","0.0","0.0","5.0","0.0","0.0","0.7142857142857143","1.0","5.0","5.0","0.14285714285714285","0.7142857142857143","0.0","0.0","0.0","0.0","0.0"
"2","4.0","3.0","12.0","0.5714285714285714","0.42857142857142855","3.0","0.0","0.0","0.42857142857142855","0.0","2.0","0.0","0.0","0.2857142857142857","0.0","0.0","5.0","0.0","0.0","0.7142857142857143","1.0","5.0","5.0","0.14285714285714285","0.7142857142857143","0.0","0.0","0.0","0.0","0.0"
"3","4.0","3.0","12.0","0.5714285714285714","0.42857142857142855","3.0","0.0","0.0","0.42857142857142855","0.0","2.0","0.0","0.0","0.2857142857142857","0.0","0.0","5.0","0.0","0.0","0.7142857142857143","1.0","5.0","5.0","0.14285714285714285","0.7142857142857143","0.0","0.0","0.0","0.0","0.0"
"4","4.0","3.0","12.0","0.5714285714285714","0.42857142857142855","3.0","0.0","0.0","0.42857142857142855","0.0","2.0","0.0","0.0","0.2857142857142857","0.0","0.0","5.0","0.0","0.0","0.7142857142857143","1.0","5.0","5.0","0.14285714285714285","0.7142857142857143","0.0","0.0","0.0","0.0","0.0"
"5","4.0","3.0","12.0","0.5714285714285714","0.42857142857142855","3.0","0.0","0.0","0.42857142857142855","0.0","2.0","0.0","0.0","0.2857142857142857","0.0","0.0","5.0","0.0","0.0","0.7142857142857143","1.0","5.0","5.0","0.14285714285714285","0.7142857142857143","0.0","0.0","0.0","0.0","0.0"
"6","4.0","3.0","12.0","0.5714285714285714","0.42857142857142855","3.0","0.0","0.0","0.42857142857142855","0.0","2.0","0.0","0.0","0.2857142857142857","0.0","0.0","5.0","0.0","0.0","0.7142857142857143","1.0","5.0","5.0","0.14285714285714285","0.7142857142857143","0.0","0.0","0.0","0.0","0.0"
"7","4.0","3.0","12.0","0.5714285714285714","0.42857142857142855","3.0","0.0","0.0","0.42857142857142855","0.0","2.0","0.0","0.0","0.2857142857142857","0.0","0.0","5.0","0.0","0.0","0.7142857142857143","1.0","5.0","5.0","0.14285714285714285","0.7142857142857143","0.0","0.0","0.0","0.0","0.0"
"8","4.0","3.0","12.0","0.5714285714285714","0.42857142857142855","3.0","0.0","0.0","0.42857142857142855","0.0","2.0","0.0","0.0","0.2857142857142857","0.0","0.0","5.0","0.0","0.0","0.7142857142857143","1.0","5.0","5.0","0.14285714285714285","0.7142857142857143","0.0","0.0","0.0","0.0","0.0"
"9","4.0","3.0","12.0","0.5714285714285714","0.42857142857142855","3.0","0.0","0.0","0.42857142857142855","0.0","2.0","0.0","0.0","0.2857142857142857","0.0","0.0","5.0","0.0","0.0","0.7142857142857143","1.0","5.0","5.0","0.14285714285714285","0.7142857142857143","0.0","0.0","0.0","0.0","0.0"
"10","4.0","3.0","12.0","0.5714285714285714","0.42857142857142855","3.0","0.0","0.0","0.42857142857142855","0.0","2.0","0.0","0.0","0.2857142857142857","0.0","0.0","5.0","0.0","0.0","0.7142857142857143","1.0","5.0","5.0","0.14285714285714285","0.7142857142857143","0.0","0.0","0.0","0.0","0.0"
