"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","RD13-ADS","RD13-GINI -ADS","RD13-AIS","RD13-GINI -AIS","RD14-ADS","RD14-GINI -ADS","RD14-AIS","RD14-GINI -AIS","RD15-ADS","RD15-GINI -ADS","RD15-AIS","RD15-GINI -AIS","RD16-ADS","RD16-GINI -ADS","RD16-AIS","RD16-GINI -AIS","RD17-ADS","RD17-GINI -ADS","RD17-AIS","RD17-GINI -AIS","RD18-ADS","RD18-GINI -ADS","RD18-AIS","RD18-GINI -AIS","RD19-ADS","RD19-GINI -ADS","RD19-AIS","RD19-GINI -AIS","RD20-ADS","RD20-GINI -ADS","RD20-AIS","RD20-GINI -AIS","RD21-ADS","RD21-GINI -ADS","RD21-AIS","RD21-GINI -AIS","RD22-ADS","RD22-GINI -ADS","RD22-AIS","RD22-GINI -AIS","RD23-ADS","RD23-GINI -ADS","RD23-AIS","RD23-GINI -AIS","RD24-ADS","RD24-GINI -ADS","RD24-AIS","RD24-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2482436","0.6083138","0.16137566137566137","4.357142857142857","3.0","0","14.0","0","4.0","0","5.0","0","5.0","0","1.0","0","7.0","0","1.0","0","3.0","0","2.0","0","4.0","0","3.0","0","9.0","0","3.0","0","3.0","0","3.0","0","7.0","0","2.0","0","3.0","0","3.0","0","3.0","0","2.0","0","5.0","0","4.0","0","4.0","0","1.0","0","5.0","0","1.0","0","7.0","0","3.0","0","5.0","0","1.0","0","6.0","0","1.0","0","8.0","0","2.0","0","5.0","0","2.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","3.0","0","0.0","0","1.0","0","25.0","0","1.0","0","11.0","0","1.0","0","26.0","0","0.0","","0.0"
"1","0.2482436","0.6083138","0.16137566137566137","4.357142857142857","3.0","0","14.0","0","4.0","0","5.0","0","5.0","0","1.0","0","7.0","0","1.0","0","3.0","0","2.0","0","4.0","0","3.0","0","9.0","0","3.0","0","3.0","0","3.0","0","7.0","0","2.0","0","3.0","0","3.0","0","3.0","0","2.0","0","5.0","0","4.0","0","4.0","0","1.0","0","5.0","0","1.0","0","7.0","0","3.0","0","5.0","0","1.0","0","6.0","0","1.0","0","8.0","0","2.0","0","5.0","0","2.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","3.0","0","0.0","0","1.0","0","25.0","0","1.0","0","11.0","0","1.0","0","26.0","0","0.0","","0.0"
"2","0.2482436","0.6083138","0.16137566137566137","4.357142857142857","3.0","0","14.0","0","4.0","0","5.0","0","5.0","0","1.0","0","7.0","0","1.0","0","3.0","0","2.0","0","4.0","0","3.0","0","9.0","0","3.0","0","3.0","0","3.0","0","7.0","0","2.0","0","3.0","0","3.0","0","3.0","0","2.0","0","5.0","0","4.0","0","4.0","0","1.0","0","5.0","0","1.0","0","7.0","0","3.0","0","5.0","0","1.0","0","6.0","0","1.0","0","8.0","0","2.0","0","5.0","0","2.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","3.0","0","0.0","0","1.0","0","25.0","0","1.0","0","11.0","0","1.0","0","26.0","0","0.0","","0.0"
"3","0.2477241","0.5975172","0.1539408866995074","4.310344827586207","3.0","0","7.0","0.1071429","4.0","0","5.0","0","5.0","0","1.0","0","7.0","0","1.0","0","3.0","0","2.0","0","4.0","0","3.0","0","9.0","0","3.0","0","3.0","0","3.0","0","7.0","0","2.0","0","3.0","0","3.0","0","3.0","0","2.0","0","5.0","0","4.0","0","4.0","0","1.0","0","5.0","0","1.0","0","7.0","0","3.0","0","5.0","0","1.0","0","6.0","0","1.0","0","8.0","0","2.0","0","5.0","0","2.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","3.0","0","0.0","0","1.0","0","26.0","0.007425743","1.0","0","12.0","0.01666667","1.0","0","27.0","0.007142857","3.0","0","7.0","0"
"4","0.2477241","0.5975172","0.1539408866995074","4.310344827586207","3.0","0","7.0","0.15","4.0","0","5.0","0","5.0","0","1.0","0","7.0","0","1.0","0","3.0","0","2.0","0","4.0","0","3.0","0","9.0","0","3.0","0","3.0","0","3.0","0","7.0","0","2.0","0","3.0","0","3.0","0","3.0","0","2.0","0","5.0","0","4.0","0","4.0","0","1.0","0","5.0","0","1.0","0","7.0","0","3.0","0","5.0","0","1.0","0","6.0","0","1.0","0","8.0","0","2.0","0","5.0","0","2.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","3.0","0","0.0","0","1.0","0","26.0","0.009448819","1.0","0","12.0","0.02105263","1.0","0","27.0","0.009090909","3.0","0","7.0","0"
"5","0.2477241","0.5975172","0.1539408866995074","4.310344827586207","3.0","0","7.0","0.1666667","4.0","0","5.0","0","5.0","0","1.0","0","7.0","0","1.0","0","3.0","0","2.0","0","4.0","0","3.0","0","9.0","0","3.0","0","3.0","0","3.0","0","7.0","0","2.0","0","3.0","0","3.0","0","3.0","0","2.0","0","5.0","0","4.0","0","4.0","0","1.0","0","5.0","0","1.0","0","7.0","0","3.0","0","5.0","0","1.0","0","6.0","0","1.0","0","8.0","0","2.0","0","5.0","0","2.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","3.0","0","0.0","0","1.0","0","26.0","0.009803922","1.0","0","12.0","0.02173913","1.0","0","27.0","0.009433962","3.0","0","7.0","0"
"6","0.2477241","0.5975172","0.1539408866995074","4.310344827586207","3.0","0","7.0","0.1714286","4.0","0","5.0","0","5.0","0","1.0","0","7.0","0","1.0","0","3.0","0","2.0","0","4.0","0","3.0","0","9.0","0","3.0","0","3.0","0","3.0","0","7.0","0","2.0","0","3.0","0","3.0","0","3.0","0","2.0","0","5.0","0","4.0","0","4.0","0","1.0","0","5.0","0","1.0","0","7.0","0","3.0","0","5.0","0","1.0","0","6.0","0","1.0","0","8.0","0","2.0","0","5.0","0","2.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","3.0","0","0.0","0","1.0","0","26.0","0.009577015","1.0","0","12.0","0.02116402","1.0","0","27.0","0.009216590","3.0","0","7.0","0"
"7","0.2477241","0.5975172","0.1539408866995074","4.310344827586207","3.0","0","7.0","0.1704545","4.0","0","5.0","0","5.0","0","1.0","0","7.0","0","1.0","0","3.0","0","2.0","0","4.0","0","3.0","0","9.0","0","3.0","0","3.0","0","3.0","0","7.0","0","2.0","0","3.0","0","3.0","0","3.0","0","2.0","0","5.0","0","4.0","0","4.0","0","1.0","0","5.0","0","1.0","0","7.0","0","3.0","0","5.0","0","1.0","0","6.0","0","1.0","0","8.0","0","2.0","0","5.0","0","2.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","3.0","0","0.0","0","1.0","0","26.0","0.009146341","1.0","0","12.0","0.02016129","1.0","0","27.0","0.008802817","3.0","0","7.0","0"
"8","0.2477241","0.5975172","0.1539408866995074","4.310344827586207","3.0","0","7.0","0.1666667","4.0","0","5.0","0","5.0","0","1.0","0","7.0","0","1.0","0","3.0","0","2.0","0","4.0","0","3.0","0","9.0","0","3.0","0","3.0","0","3.0","0","7.0","0","2.0","0","3.0","0","3.0","0","3.0","0","2.0","0","5.0","0","4.0","0","4.0","0","1.0","0","5.0","0","1.0","0","7.0","0","3.0","0","5.0","0","1.0","0","6.0","0","1.0","0","8.0","0","2.0","0","5.0","0","2.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","3.0","0","0.0","0","1.0","0","26.0","0.008658009","1.0","0","12.0","0.01904762","1.0","0","27.0","0.008333333","3.0","0","7.0","0"
"9","0.2477241","0.5975172","0.1539408866995074","4.310344827586207","3.0","0","7.0","0.1615385","4.0","0","5.0","0","5.0","0","1.0","0","7.0","0","1.0","0","3.0","0","2.0","0","4.0","0","3.0","0","9.0","0","3.0","0","3.0","0","3.0","0","7.0","0","2.0","0","3.0","0","3.0","0","3.0","0","2.0","0","5.0","0","4.0","0","4.0","0","1.0","0","5.0","0","1.0","0","7.0","0","3.0","0","5.0","0","1.0","0","6.0","0","1.0","0","8.0","0","2.0","0","5.0","0","2.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","3.0","0","0.0","0","1.0","0","26.0","0.008171206","1.0","0","12.0","0.01794872","1.0","0","27.0","0.007865169","3.0","0","7.0","0"
"10","0.2477241","0.5975172","0.1539408866995074","4.310344827586207","3.0","0","7.0","0.1558442","4.0","0","5.0","0","5.0","0","1.0","0","7.0","0","1.0","0","3.0","0","2.0","0","4.0","0","3.0","0","9.0","0","3.0","0","3.0","0","3.0","0","7.0","0","2.0","0","3.0","0","3.0","0","3.0","0","2.0","0","5.0","0","4.0","0","4.0","0","1.0","0","5.0","0","1.0","0","7.0","0","3.0","0","5.0","0","1.0","0","6.0","0","1.0","0","8.0","0","2.0","0","5.0","0","2.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","3.0","0","0.0","0","1.0","0","26.0","0.007709605","1.0","0","12.0","0.01691332","1.0","0","27.0","0.007421150","3.0","0","7.0","0"
"11","0.2477241","0.5975172","0.1539408866995074","4.310344827586207","3.0","0","7.0","0.15","4.0","0","5.0","0","5.0","0","1.0","0","7.0","0","1.0","0","3.0","0","2.0","0","4.0","0","3.0","0","9.0","0","3.0","0","3.0","0","3.0","0","7.0","0","2.0","0","3.0","0","3.0","0","3.0","0","2.0","0","5.0","0","4.0","0","4.0","0","1.0","0","5.0","0","1.0","0","7.0","0","3.0","0","5.0","0","1.0","0","6.0","0","1.0","0","8.0","0","2.0","0","5.0","0","2.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","3.0","0","0.0","0","1.0","0","26.0","0.007281553","1.0","0","12.0","0.01595745","1.0","0","27.0","0.007009346","3.0","0","7.0","0"
"12","0.2477241","0.5975172","0.1539408866995074","4.310344827586207","3.0","0","7.0","0.1442308","4.0","0","5.0","0","5.0","0","1.0","0","7.0","0","1.0","0","3.0","0","2.0","0","4.0","0","3.0","0","9.0","0","3.0","0","3.0","0","3.0","0","7.0","0","2.0","0","3.0","0","3.0","0","3.0","0","2.0","0","5.0","0","4.0","0","4.0","0","1.0","0","5.0","0","1.0","0","7.0","0","3.0","0","5.0","0","1.0","0","6.0","0","1.0","0","8.0","0","2.0","0","5.0","0","2.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","3.0","0","0.0","0","1.0","0","26.0","0.006888634","1.0","0","12.0","0.01508296","1.0","0","27.0","0.006631300","3.0","0","7.0","0"
