"release","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS"
"1","4.0","4.0","16.0","0.4444444444444444","0.4444444444444444","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","4.0","1.0","4.0","0.4444444444444444","0.1111111111111111","4.0","0.0","0.0","0.4444444444444444","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","3.0","3.0","0.1111111111111111","0.3333333333333333","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","4.0","4.0","16.0","0.4444444444444444","0.4444444444444444","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","4.0","1.0","4.0","0.4444444444444444","0.1111111111111111","4.0","0.0","0.0","0.4444444444444444","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","3.0","3.0","0.1111111111111111","0.3333333333333333","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","4.0","4.0","16.0","0.4444444444444444","0.4444444444444444","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","4.0","1.0","4.0","0.4444444444444444","0.1111111111111111","4.0","0.0","0.0","0.4444444444444444","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","3.0","3.0","0.1111111111111111","0.3333333333333333","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","4.0","4.0","16.0","0.4444444444444444","0.4444444444444444","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","4.0","1.0","4.0","0.4444444444444444","0.1111111111111111","4.0","0.0","0.0","0.4444444444444444","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","3.0","3.0","0.1111111111111111","0.3333333333333333","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","4.0","4.0","16.0","0.4444444444444444","0.4444444444444444","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","4.0","1.0","4.0","0.4444444444444444","0.1111111111111111","4.0","0.0","0.0","0.4444444444444444","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","3.0","3.0","0.1111111111111111","0.3333333333333333","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","3.0","3.0","9.0","0.375","0.375","3.0","1.0","3.0","0.375","0.125","3.0","1.0","3.0","0.375","0.125","4.0","1.0","4.0","0.5","0.125","4.0","0.0","0.0","0.5","0.0","1.0","5.0","5.0","0.125","0.625","1.0","3.0","3.0","0.125","0.375","1.0","6.0","6.0","0.125","0.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","3.0","3.0","9.0","0.375","0.375","3.0","1.0","3.0","0.375","0.125","3.0","1.0","3.0","0.375","0.125","4.0","1.0","4.0","0.5","0.125","4.0","0.0","0.0","0.5","0.0","1.0","5.0","5.0","0.125","0.625","1.0","3.0","3.0","0.125","0.375","1.0","6.0","6.0","0.125","0.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","3.0","3.0","9.0","0.375","0.375","3.0","1.0","3.0","0.375","0.125","3.0","1.0","3.0","0.375","0.125","4.0","1.0","4.0","0.5","0.125","4.0","0.0","0.0","0.5","0.0","1.0","5.0","5.0","0.125","0.625","1.0","3.0","3.0","0.125","0.375","1.0","6.0","6.0","0.125","0.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","3.0","3.0","9.0","0.3333333333333333","0.3333333333333333","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","4.0","1.0","4.0","0.4444444444444444","0.1111111111111111","5.0","0.0","0.0","0.5555555555555556","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","3.0","3.0","9.0","0.3333333333333333","0.3333333333333333","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","4.0","1.0","4.0","0.4444444444444444","0.1111111111111111","5.0","0.0","0.0","0.5555555555555556","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"11","3.0","3.0","9.0","0.3333333333333333","0.3333333333333333","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","4.0","1.0","4.0","0.4444444444444444","0.1111111111111111","5.0","0.0","0.0","0.5555555555555556","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
