"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","BA10-ADS","BA10-AIS","BA10-ACS","BA10-RCS","BA10-RIS","BA11-ADS","BA11-AIS","BA11-ACS","BA11-RCS","BA11-RIS","BA12-ADS","BA12-AIS","BA12-ACS","BA12-RCS","BA12-RIS","BA13-ADS","BA13-AIS","BA13-ACS","BA13-RCS","BA13-RIS","BA14-ADS","BA14-AIS","BA14-ACS","BA14-RCS","BA14-RIS","BA15-ADS","BA15-AIS","BA15-ACS","BA15-RCS","BA15-RIS","BA16-ADS","BA16-AIS","BA16-ACS","BA16-RCS","BA16-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS"
"11","2.0","3.0","6.0","0.09523809523809523","0.14285714285714285","2.0","4.0","8.0","0.09523809523809523","0.19047619047619047","3.0","7.0","21.0","0.14285714285714285","0.3333333333333333","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","0.0","0.0","0.09523809523809523","0.0","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","0.0","0.0","0.09523809523809523","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","2.0","0.0","0.0","0.09523809523809523","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","2.0","0.0","0.0","0.09523809523809523","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","0.0","14.0","0.0","0.0","0.6666666666666666","6.0","6.0","36.0","0.2857142857142857","0.2857142857142857","1.0","16.0","16.0","0.047619047619047616","0.7619047619047619","2.0","0.0","0.0","0.09523809523809523","0.0","2.0","0.0","0.0","0.09523809523809523","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","2.0","3.0","6.0","0.09523809523809523","0.14285714285714285","2.0","4.0","8.0","0.09523809523809523","0.19047619047619047","3.0","7.0","21.0","0.14285714285714285","0.3333333333333333","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","0.0","0.0","0.09523809523809523","0.0","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","0.0","0.0","0.09523809523809523","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","2.0","0.0","0.0","0.09523809523809523","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","2.0","0.0","0.0","0.09523809523809523","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","0.0","14.0","0.0","0.0","0.6666666666666666","6.0","6.0","36.0","0.2857142857142857","0.2857142857142857","1.0","16.0","16.0","0.047619047619047616","0.7619047619047619","2.0","0.0","0.0","0.09523809523809523","0.0","2.0","0.0","0.0","0.09523809523809523","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","2.0","3.0","6.0","0.09523809523809523","0.14285714285714285","2.0","4.0","8.0","0.09523809523809523","0.19047619047619047","3.0","7.0","21.0","0.14285714285714285","0.3333333333333333","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","0.0","0.0","0.09523809523809523","0.0","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","0.0","0.0","0.09523809523809523","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","2.0","0.0","0.0","0.09523809523809523","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","2.0","0.0","0.0","0.09523809523809523","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","0.0","14.0","0.0","0.0","0.6666666666666666","6.0","6.0","36.0","0.2857142857142857","0.2857142857142857","1.0","16.0","16.0","0.047619047619047616","0.7619047619047619","2.0","0.0","0.0","0.09523809523809523","0.0","2.0","0.0","0.0","0.09523809523809523","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","2.0","3.0","6.0","0.09523809523809523","0.14285714285714285","2.0","4.0","8.0","0.09523809523809523","0.19047619047619047","3.0","7.0","21.0","0.14285714285714285","0.3333333333333333","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","0.0","0.0","0.09523809523809523","0.0","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","0.0","0.0","0.09523809523809523","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","2.0","0.0","0.0","0.09523809523809523","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","2.0","0.0","0.0","0.09523809523809523","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","0.0","14.0","0.0","0.0","0.6666666666666666","6.0","6.0","36.0","0.2857142857142857","0.2857142857142857","1.0","16.0","16.0","0.047619047619047616","0.7619047619047619","2.0","0.0","0.0","0.09523809523809523","0.0","2.0","0.0","0.0","0.09523809523809523","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","2.0","3.0","6.0","0.09523809523809523","0.14285714285714285","2.0","4.0","8.0","0.09523809523809523","0.19047619047619047","3.0","7.0","21.0","0.14285714285714285","0.3333333333333333","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","0.0","0.0","0.09523809523809523","0.0","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","0.0","0.0","0.09523809523809523","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","2.0","0.0","0.0","0.09523809523809523","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","2.0","0.0","0.0","0.09523809523809523","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","0.0","14.0","0.0","0.0","0.6666666666666666","6.0","6.0","36.0","0.2857142857142857","0.2857142857142857","1.0","16.0","16.0","0.047619047619047616","0.7619047619047619","2.0","0.0","0.0","0.09523809523809523","0.0","2.0","0.0","0.0","0.09523809523809523","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","2.0","3.0","6.0","0.09090909090909091","0.13636363636363635","2.0","4.0","8.0","0.09090909090909091","0.18181818181818182","3.0","8.0","24.0","0.13636363636363635","0.36363636363636365","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","2.0","0.0","0.0","0.09090909090909091","0.0","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","2.0","0.0","0.0","0.09090909090909091","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","2.0","0.0","0.0","0.09090909090909091","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","2.0","0.0","0.0","0.09090909090909091","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","0.0","15.0","0.0","0.0","0.6818181818181818","6.0","6.0","36.0","0.2727272727272727","0.2727272727272727","1.0","17.0","17.0","0.045454545454545456","0.7727272727272727","2.0","0.0","0.0","0.09090909090909091","0.0","2.0","0.0","0.0","0.09090909090909091","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","2.0","3.0","6.0","0.09090909090909091","0.13636363636363635","2.0","4.0","8.0","0.09090909090909091","0.18181818181818182","3.0","8.0","24.0","0.13636363636363635","0.36363636363636365","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","2.0","0.0","0.0","0.09090909090909091","0.0","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","2.0","0.0","0.0","0.09090909090909091","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","2.0","0.0","0.0","0.09090909090909091","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","2.0","0.0","0.0","0.09090909090909091","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","0.0","15.0","0.0","0.0","0.6818181818181818","6.0","6.0","36.0","0.2727272727272727","0.2727272727272727","1.0","17.0","17.0","0.045454545454545456","0.7727272727272727","2.0","0.0","0.0","0.09090909090909091","0.0","2.0","0.0","0.0","0.09090909090909091","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","2.0","3.0","6.0","0.09090909090909091","0.13636363636363635","2.0","4.0","8.0","0.09090909090909091","0.18181818181818182","3.0","8.0","24.0","0.13636363636363635","0.36363636363636365","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","2.0","0.0","0.0","0.09090909090909091","0.0","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","2.0","0.0","0.0","0.09090909090909091","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","2.0","0.0","0.0","0.09090909090909091","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","2.0","0.0","0.0","0.09090909090909091","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","0.0","15.0","0.0","0.0","0.6818181818181818","6.0","6.0","36.0","0.2727272727272727","0.2727272727272727","1.0","17.0","17.0","0.045454545454545456","0.7727272727272727","2.0","0.0","0.0","0.09090909090909091","0.0","2.0","0.0","0.0","0.09090909090909091","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","2.0","3.0","6.0","0.08333333333333333","0.125","2.0","4.0","8.0","0.08333333333333333","0.16666666666666666","3.0","10.0","30.0","0.125","0.4166666666666667","3.0","0.0","0.0","0.125","0.0","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","0.0","0.0","0.08333333333333333","0.0","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","0.0","0.0","0.08333333333333333","0.0","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","3.0","0.0","0.0","0.125","0.0","0.0","17.0","0.0","0.0","0.7083333333333334","6.0","6.0","36.0","0.25","0.25","1.0","19.0","19.0","0.041666666666666664","0.7916666666666666","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","0.0","0.0","0.0","0.0","0.0"
"20","2.0","3.0","6.0","0.08333333333333333","0.125","2.0","4.0","8.0","0.08333333333333333","0.16666666666666666","3.0","10.0","30.0","0.125","0.4166666666666667","3.0","0.0","0.0","0.125","0.0","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","0.0","0.0","0.08333333333333333","0.0","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","0.0","0.0","0.08333333333333333","0.0","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","3.0","0.0","0.0","0.125","0.0","0.0","17.0","0.0","0.0","0.7083333333333334","6.0","6.0","36.0","0.25","0.25","1.0","19.0","19.0","0.041666666666666664","0.7916666666666666","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","0.0","0.0","0.0","0.0","0.0"
"21","2.0","3.0","6.0","0.08","0.12","2.0","4.0","8.0","0.08","0.16","3.0","11.0","33.0","0.12","0.44","3.0","0.0","0.0","0.12","0.0","3.0","1.0","3.0","0.12","0.04","3.0","1.0","3.0","0.12","0.04","2.0","0.0","0.0","0.08","0.0","3.0","1.0","3.0","0.12","0.04","2.0","0.0","0.0","0.08","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","2.0","0.0","0.0","0.08","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","2.0","0.0","0.0","0.08","0.0","3.0","0.0","0.0","0.12","0.0","0.0","18.0","0.0","0.0","0.72","6.0","6.0","36.0","0.24","0.24","1.0","19.0","19.0","0.04","0.76","2.0","0.0","0.0","0.08","0.0","2.0","0.0","0.0","0.08","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","2.0","0.0","0.0","0.08","0.0"
