"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2839506","0.4691358","0.25","2.0","1.0","0","6.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","2.0","0","5.0","0","5.0","0","0.0","","0.0"
"1","0.2839506","0.4691358","0.25","2.0","1.0","0","6.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","2.0","0","5.0","0","5.0","0","0.0","","0.0"
"2","0.2839506","0.4691358","0.25","2.0","1.0","0","6.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","2.0","0","5.0","0","5.0","0","0.0","","0.0"
"3","0.2839506","0.4691358","0.25","2.0","1.0","0","6.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","2.0","0","5.0","0","5.0","0","0.0","","0.0"
"4","0.2839506","0.4691358","0.25","2.0","1.0","0","6.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","2.0","0","5.0","0","5.0","0","0.0","","0.0"
"5","0.2839506","0.4691358","0.25","2.0","1.0","0","6.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","2.0","0","5.0","0","5.0","0","0.0","","0.0"
"6","0.2839506","0.4691358","0.25","2.0","1.0","0","6.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","2.0","0","5.0","0","5.0","0","0.0","","0.0"
"7","0.3","0.3947368","0.2111111111111111","1.9","1.0","0","3.0","0.05833333","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0.05147059","5.0","0","5.0","0","1.0","0","3.0","0"
"8","0.3","0.3947368","0.2111111111111111","1.9","1.0","0","3.0","0.09722222","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0.07777778","5.0","0","5.0","0","1.0","0","3.0","0"
"9","0.3","0.3947368","0.2111111111111111","1.9","1.0","0","3.0","0.1235294","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0.09130435","5.0","0","5.0","0","1.0","0","3.0","0"
"10","0.3","0.3947368","0.2111111111111111","1.9","1.0","0","3.0","0.1414141","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0.09790210","5.0","0","5.0","0","1.0","0","3.0","0"
"11","0.3","0.3947368","0.2111111111111111","1.9","1.0","0","3.0","0.1535088","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0.1005747","5.0","0","5.0","0","1.0","0","3.0","0"
"12","0.3","0.3947368","0.2111111111111111","1.9","1.0","0","3.0","0.1615385","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0.1009615","5.0","0","5.0","0","1.0","0","3.0","0"
"13","0.3","0.3947368","0.2111111111111111","1.9","1.0","0","3.0","0.1666667","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0.1","5.0","0","5.0","0","1.0","0","3.0","0"
"14","0.3","0.3947368","0.2111111111111111","1.9","1.0","0","3.0","0.1696970","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0.09824561","5.0","0","5.0","0","1.0","0","3.0","0"
"15","0.3","0.3947368","0.2111111111111111","1.9","1.0","0","3.0","0.1711957","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0.09603659","5.0","0","5.0","0","1.0","0","3.0","0"
"16","0.3","0.3947368","0.2111111111111111","1.9","1.0","0","3.0","0.1715686","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0.09358289","5.0","0","5.0","0","1.0","0","3.0","0"
"17","0.3","0.3947368","0.2111111111111111","1.9","1.0","0","3.0","0.1711111","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0.09101655","5.0","0","5.0","0","1.0","0","3.0","0"
"18","0.3","0.3947368","0.2111111111111111","1.9","1.0","0","3.0","0.1700405","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0.08842105","5.0","0","5.0","0","1.0","0","3.0","0"
"19","0.3","0.3947368","0.2111111111111111","1.9","1.0","0","3.0","0.1685185","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0.08584906","5.0","0","5.0","0","1.0","0","3.0","0"
"20","0.3","0.3947368","0.2111111111111111","1.9","1.0","0","3.0","0.1666667","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0.08333333","5.0","0","5.0","0","1.0","0","3.0","0"
