"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2595819","0.5348432","0.22527472527472528","2.9285714285714284","2.0","0","4.0","0.1363636","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","7.0","0.03486924","6.0","0","4.0","0","1.0","0","6.0","0.04105572","1.0","0","11.0","0.02175602","3.0","0","3.0","0"
"11","0.2595819","0.5348432","0.22527472527472528","2.9285714285714284","2.0","0","4.0","0.1333333","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","7.0","0.03333333","6.0","0","4.0","0","1.0","0","6.0","0.03921569","1.0","0","11.0","0.02083333","3.0","0","3.0","0"
"12","0.2595819","0.5348432","0.22527472527472528","2.9285714285714284","2.0","0","4.0","0.1298077","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","7.0","0.03183024","6.0","0","4.0","0","1.0","0","6.0","0.03742204","1.0","0","11.0","0.01992252","3.0","0","3.0","0"
"13","0.2595819","0.5348432","0.22527472527472528","2.9285714285714284","2.0","0","4.0","0.1260504","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","7.0","0.03039514","6.0","0","4.0","0","1.0","0","6.0","0.03571429","1.0","0","11.0","0.01904762","3.0","0","3.0","0"
"14","0.2595819","0.5348432","0.22527472527472528","2.9285714285714284","2.0","0","4.0","0.1222222","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","7.0","0.02904290","6.0","0","4.0","0","1.0","0","6.0","0.03410853","1.0","0","11.0","0.01821946","3.0","0","3.0","0"
"15","0.2595819","0.5348432","0.22527472527472528","2.9285714285714284","2.0","0","4.0","0.1184211","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","7.0","0.02777778","6.0","0","4.0","0","1.0","0","6.0","0.03260870","1.0","0","11.0","0.01744186","3.0","0","3.0","0"
"16","0.2595819","0.5348432","0.22527472527472528","2.9285714285714284","2.0","0","4.0","0.1147059","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","7.0","0.02659847","6.0","0","4.0","0","1.0","0","6.0","0.03121248","1.0","0","11.0","0.01671488","3.0","0","3.0","0"
"17","0.2595819","0.5348432","0.22527472527472528","2.9285714285714284","2.0","0","4.0","0.1111111","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","7.0","0.02550091","6.0","0","4.0","0","1.0","0","6.0","0.02991453","1.0","0","11.0","0.01603666","3.0","0","3.0","0"
"18","0.2595819","0.5348432","0.22527472527472528","2.9285714285714284","2.0","0","4.0","0.1076555","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","7.0","0.02447980","6.0","0","4.0","0","1.0","0","6.0","0.02870813","1.0","0","11.0","0.01540436","3.0","0","3.0","0"
"19","0.2595819","0.5348432","0.22527472527472528","2.9285714285714284","2.0","0","4.0","0.1043478","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","7.0","0.02352941","6.0","0","4.0","0","1.0","0","6.0","0.02758621","1.0","0","11.0","0.01481481","3.0","0","3.0","0"
"20","0.2595819","0.5348432","0.22527472527472528","2.9285714285714284","2.0","0","4.0","0.1011905","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","7.0","0.02264402","6.0","0","4.0","0","1.0","0","6.0","0.02654176","1.0","0","11.0","0.01426474","3.0","0","3.0","0"
