"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2461538","0.4769231","0.28888888888888886","2.6","2.0","0","6.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","3.0","0","3.0","0","5.0","0","1.0","0","7.0","0","0.0","","0.0"
"1","0.2461538","0.4769231","0.28888888888888886","2.6","2.0","0","6.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","3.0","0","3.0","0","5.0","0","1.0","0","7.0","0","0.0","","0.0"
"2","0.2461538","0.4769231","0.28888888888888886","2.6","2.0","0","6.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","3.0","0","3.0","0","5.0","0","1.0","0","7.0","0","0.0","","0.0"
"3","0.2461538","0.4769231","0.28888888888888886","2.6","2.0","0","6.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","3.0","0","3.0","0","5.0","0","1.0","0","7.0","0","0.0","","0.0"
"4","0.2461538","0.4769231","0.28888888888888886","2.6","2.0","0","6.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","3.0","0","3.0","0","5.0","0","1.0","0","7.0","0","0.0","","0.0"
"5","0.2467532","0.4610390","0.2545454545454545","2.5454545454545454","2.0","0","3.0","0.07575758","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","4.0","0.04385965","3.0","0","5.0","0","1.0","0","8.0","0.01937984","2.0","0","3.0","0"
"6","0.2467532","0.4610390","0.2545454545454545","2.5454545454545454","2.0","0","3.0","0.1190476","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","4.0","0.06211180","3.0","0","5.0","0","1.0","0","8.0","0.02801120","2.0","0","3.0","0"
"7","0.2467532","0.4610390","0.2545454545454545","2.5454545454545454","2.0","0","3.0","0.1442308","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","4.0","0.06944444","3.0","0","5.0","0","1.0","0","8.0","0.03177966","2.0","0","3.0","0"
"8","0.2467532","0.4610390","0.2545454545454545","2.5454545454545454","2.0","0","3.0","0.1587302","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","4.0","0.07168459","3.0","0","5.0","0","1.0","0","8.0","0.03316750","2.0","0","3.0","0"
"9","0.2467532","0.4610390","0.2545454545454545","2.5454545454545454","2.0","0","3.0","0.1666667","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","4.0","0.07142857","3.0","0","5.0","0","1.0","0","8.0","0.03333333","2.0","0","3.0","0"
"10","0.2467532","0.4610390","0.2545454545454545","2.5454545454545454","2.0","0","3.0","0.1704545","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","4.0","0.06993007","3.0","0","5.0","0","1.0","0","8.0","0.03285871","2.0","0","3.0","0"
"11","0.2467532","0.4610390","0.2545454545454545","2.5454545454545454","2.0","0","3.0","0.1715686","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","4.0","0.06782946","3.0","0","5.0","0","1.0","0","8.0","0.03205128","2.0","0","3.0","0"
"12","0.2467532","0.4610390","0.2545454545454545","2.5454545454545454","2.0","0","3.0","0.1709402","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","4.0","0.06546645","3.0","0","5.0","0","1.0","0","8.0","0.03108003","2.0","0","3.0","0"
"13","0.2467532","0.4610390","0.2545454545454545","2.5454545454545454","2.0","0","3.0","0.1691729","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","4.0","0.06302521","3.0","0","5.0","0","1.0","0","8.0","0.03004005","2.0","0","3.0","0"
