"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS"
"0","0.4155844","0.3896104","0.2619047619047619","1.5714285714285714","4.0","0","1.0","0","1.0","0","2.0","0","1.0","0","0.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0","2.0","0","3.0","0","4.0","0"
"1","0.4155844","0.3896104","0.2619047619047619","1.5714285714285714","4.0","0","1.0","0","1.0","0","2.0","0","1.0","0","0.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0","2.0","0","3.0","0","4.0","0"
"2","0.4155844","0.3896104","0.2619047619047619","1.5714285714285714","4.0","0","1.0","0","1.0","0","2.0","0","1.0","0","0.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0","2.0","0","3.0","0","4.0","0"
"3","0.4155844","0.3896104","0.2619047619047619","1.5714285714285714","4.0","0","1.0","0","1.0","0","2.0","0","1.0","0","0.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0","2.0","0","3.0","0","4.0","0"
"4","0.4155844","0.3896104","0.2619047619047619","1.5714285714285714","4.0","0","1.0","0","1.0","0","2.0","0","1.0","0","0.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0","2.0","0","3.0","0","4.0","0"
"5","0.4155844","0.3896104","0.2619047619047619","1.5714285714285714","4.0","0","1.0","0","1.0","0","2.0","0","1.0","0","0.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0","2.0","0","3.0","0","4.0","0"
"6","0.4155844","0.3896104","0.2619047619047619","1.5714285714285714","4.0","0","1.0","0","1.0","0","2.0","0","1.0","0","0.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0","2.0","0","3.0","0","4.0","0"
"7","0.4155844","0.3896104","0.2619047619047619","1.5714285714285714","4.0","0","1.0","0","1.0","0","2.0","0","1.0","0","0.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0","2.0","0","3.0","0","4.0","0"
"8","0.5142857","0.3428571","0.23809523809523808","1.4285714285714286","4.0","0","1.0","0","0.0","0.1111111","2.0","0","1.0","0","0.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0","2.0","0","3.0","0","3.0","0.02539683"
"9","0.5142857","0.3428571","0.23809523809523808","1.4285714285714286","4.0","0","1.0","0","0.0","0.2","2.0","0","1.0","0","0.0","0","1.0","0","1.0","0","1.0","0","1.0","0","0.0","0","2.0","0","3.0","0","3.0","0.04210526"
