"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.3157895","0.5789474","0.15204678362573099","2.736842105263158","2.0","0","1.0","0","3.0","0","5.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","4.0","0","5.0","0","13.0","0","1.0","0","16.0","0","0.0","","0.0"
"1","0.3157895","0.5789474","0.15204678362573099","2.736842105263158","2.0","0","1.0","0","3.0","0","5.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","4.0","0","5.0","0","13.0","0","1.0","0","16.0","0","0.0","","0.0"
"2","0.3157895","0.5789474","0.15204678362573099","2.736842105263158","2.0","0","1.0","0","3.0","0","5.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","4.0","0","5.0","0","13.0","0","1.0","0","16.0","0","0.0","","0.0"
"3","0.3157895","0.5789474","0.15204678362573099","2.736842105263158","2.0","0","1.0","0","3.0","0","5.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","4.0","0","5.0","0","13.0","0","1.0","0","16.0","0","0.0","","0.0"
"4","0.3074074","0.5777778","0.14210526315789473","2.7","2.0","0","1.0","0","3.0","0","3.0","0.06956522","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","5.0","0.03809524","5.0","0","13.0","0","1.0","0","17.0","0.009876543","2.0","0","2.0","0"
"5","0.3074074","0.5777778","0.14210526315789473","2.7","2.0","0","1.0","0","3.0","0","3.0","0.1025641","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","5.0","0.05128205","5.0","0","13.0","0","1.0","0","17.0","0.01360544","2.0","0","2.0","0"
"6","0.3074074","0.5777778","0.14210526315789473","2.7","2.0","0","1.0","0","3.0","0","3.0","0.1182266","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","5.0","0.05529954","5.0","0","13.0","0","1.0","0","17.0","0.01490683","2.0","0","2.0","0"
"7","0.3074074","0.5777778","0.14210526315789473","2.7","2.0","0","1.0","0","3.0","0","3.0","0.125","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","5.0","0.05555556","5.0","0","13.0","0","1.0","0","17.0","0.01515152","2.0","0","2.0","0"
"8","0.3074074","0.5777778","0.14210526315789473","2.7","2.0","0","1.0","0","3.0","0","3.0","0.1269841","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","5.0","0.05420054","5.0","0","13.0","0","1.0","0","17.0","0.01491424","2.0","0","2.0","0"
"9","0.3074074","0.5777778","0.14210526315789473","2.7","2.0","0","1.0","0","3.0","0","3.0","0.1263158","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","5.0","0.05217391","5.0","0","13.0","0","1.0","0","17.0","0.01445783","2.0","0","2.0","0"
