"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.4021164","0.4920635","0.13725490196078433","2.3333333333333335","1.0","0","6.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","4.0","0","1.0","0","9.0","0","0.0","0","1.0","0","6.0","0","5.0","0","9.0","0","0.0","0","7.0","0","0.0","","0.0"
"1","0.4021164","0.4920635","0.13725490196078433","2.3333333333333335","1.0","0","6.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","4.0","0","1.0","0","9.0","0","0.0","0","1.0","0","6.0","0","5.0","0","9.0","0","0.0","0","7.0","0","0.0","","0.0"
"2","0.4021164","0.4920635","0.13725490196078433","2.3333333333333335","1.0","0","6.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","4.0","0","1.0","0","9.0","0","0.0","0","1.0","0","6.0","0","5.0","0","9.0","0","0.0","0","7.0","0","0.0","","0.0"
"3","0.3899522","0.4904306","0.1286549707602339","2.3157894736842106","1.0","0","3.0","0.1071429","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","4.0","0","1.0","0","9.0","0","0.0","0","1.0","0","7.0","0.03","5.0","0","9.0","0","0.0","0","8.0","0.02586207","2.0","0","3.0","0"
"4","0.3899522","0.4904306","0.1286549707602339","2.3157894736842106","1.0","0","3.0","0.15","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","4.0","0","1.0","0","9.0","0","0.0","0","1.0","0","7.0","0.0375","5.0","0","9.0","0","0.0","0","8.0","0.03243243","2.0","0","3.0","0"
"5","0.3899522","0.4904306","0.1286549707602339","2.3157894736842106","1.0","0","3.0","0.1666667","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","4.0","0","1.0","0","9.0","0","0.0","0","1.0","0","7.0","0.03846154","5.0","0","9.0","0","0.0","0","8.0","0.03333333","2.0","0","3.0","0"
"6","0.3899522","0.4904306","0.1286549707602339","2.3157894736842106","1.0","0","3.0","0.1714286","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","4.0","0","1.0","0","9.0","0","0.0","0","1.0","0","7.0","0.03726708","5.0","0","9.0","0","0.0","0","8.0","0.03234501","2.0","0","3.0","0"
"7","0.3899522","0.4904306","0.1286549707602339","2.3157894736842106","1.0","0","3.0","0.1704545","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","4.0","0","1.0","0","9.0","0","0.0","0","1.0","0","7.0","0.03537736","5.0","0","9.0","0","0.0","0","8.0","0.03073770","2.0","0","3.0","0"
"8","0.3899522","0.4904306","0.1286549707602339","2.3157894736842106","1.0","0","3.0","0.1666667","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","4.0","0","1.0","0","9.0","0","0.0","0","1.0","0","7.0","0.03333333","5.0","0","9.0","0","0.0","0","8.0","0.02898551","2.0","0","3.0","0"
"9","0.3899522","0.4904306","0.1286549707602339","2.3157894736842106","1.0","0","3.0","0.1615385","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","4.0","0","1.0","0","9.0","0","0.0","0","1.0","0","7.0","0.03134328","5.0","0","9.0","0","0.0","0","8.0","0.02727273","2.0","0","3.0","0"
