"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","BA17-ADS","BA17-GINI -ADS","BA17-AIS","BA17-GINI -AIS","BA18-ADS","BA18-GINI -ADS","BA18-AIS","BA18-GINI -AIS","BA19-ADS","BA19-GINI -ADS","BA19-AIS","BA19-GINI -AIS","BA20-ADS","BA20-GINI -ADS","BA20-AIS","BA20-GINI -AIS","BA21-ADS","BA21-GINI -ADS","BA21-AIS","BA21-GINI -AIS","BA22-ADS","BA22-GINI -ADS","BA22-AIS","BA22-GINI -AIS","BA23-ADS","BA23-GINI -ADS","BA23-AIS","BA23-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.3096552","0.6213793","0.12315270935960591","3.4482758620689653","4.0","0","3.0","0","2.0","0","11.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","1.0","0","11.0","0","0.0","0","1.0","0","12.0","0","11.0","0","14.0","0","1.0","0","11.0","0","1.0","0","26.0","0","0.0","","0.0"
"1","0.3096552","0.6213793","0.12315270935960591","3.4482758620689653","4.0","0","3.0","0","2.0","0","11.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","1.0","0","11.0","0","0.0","0","1.0","0","12.0","0","11.0","0","14.0","0","1.0","0","11.0","0","1.0","0","26.0","0","0.0","","0.0"
"2","0.3096552","0.6213793","0.12315270935960591","3.4482758620689653","4.0","0","3.0","0","2.0","0","11.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","1.0","0","11.0","0","0.0","0","1.0","0","12.0","0","11.0","0","14.0","0","1.0","0","11.0","0","1.0","0","26.0","0","0.0","","0.0"
"3","0.3091503","0.6189542","0.11724137931034483","3.4","4.0","0","3.0","0","2.0","0","6.0","0.09615385","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","1.0","0","11.0","0","0.0","0","1.0","0","13.0","0.01530612","11.0","0","14.0","0","1.0","0","11.0","0","1.0","0","27.0","0.007142857","2.0","0","5.0","0"
"4","0.3091503","0.6189542","0.11724137931034483","3.4","4.0","0","3.0","0","2.0","0","6.0","0.1333333","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","1.0","0","11.0","0","0.0","0","1.0","0","13.0","0.01935484","11.0","0","14.0","0","1.0","0","11.0","0","1.0","0","27.0","0.009090909","2.0","0","5.0","0"
"5","0.3091503","0.6189542","0.11724137931034483","3.4","4.0","0","3.0","0","2.0","0","6.0","0.1470588","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","1.0","0","11.0","0","0.0","0","1.0","0","13.0","0.02","11.0","0","14.0","0","1.0","0","11.0","0","1.0","0","27.0","0.009433962","2.0","0","5.0","0"
"6","0.3091503","0.6189542","0.11724137931034483","3.4","4.0","0","3.0","0","2.0","0","6.0","0.1503759","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","1.0","0","11.0","0","0.0","0","1.0","0","13.0","0.01948052","11.0","0","14.0","0","1.0","0","11.0","0","1.0","0","27.0","0.009216590","2.0","0","5.0","0"
"7","0.3091503","0.6189542","0.11724137931034483","3.4","4.0","0","3.0","0","2.0","0","6.0","0.1488095","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","1.0","0","11.0","0","0.0","0","1.0","0","13.0","0.01856436","11.0","0","14.0","0","1.0","0","11.0","0","1.0","0","27.0","0.008802817","2.0","0","5.0","0"
"8","0.3091503","0.6189542","0.11724137931034483","3.4","4.0","0","3.0","0","2.0","0","6.0","0.1449275","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","1.0","0","11.0","0","0.0","0","1.0","0","13.0","0.01754386","11.0","0","14.0","0","1.0","0","11.0","0","1.0","0","27.0","0.008333333","2.0","0","5.0","0"
"9","0.3091503","0.6189542","0.11724137931034483","3.4","4.0","0","3.0","0","2.0","0","6.0","0.14","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","1.0","0","11.0","0","0.0","0","1.0","0","13.0","0.01653543","11.0","0","14.0","0","1.0","0","11.0","0","1.0","0","27.0","0.007865169","2.0","0","5.0","0"
"10","0.3091503","0.6189542","0.11724137931034483","3.4","4.0","0","3.0","0","2.0","0","6.0","0.1346801","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","1.0","0","11.0","0","0.0","0","1.0","0","13.0","0.01558442","11.0","0","14.0","0","1.0","0","11.0","0","1.0","0","27.0","0.007421150","2.0","0","5.0","0"
"11","0.3091503","0.6189542","0.11724137931034483","3.4","4.0","0","3.0","0","2.0","0","6.0","0.1293103","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","1.0","0","11.0","0","0.0","0","1.0","0","13.0","0.01470588","11.0","0","14.0","0","1.0","0","11.0","0","1.0","0","27.0","0.007009346","2.0","0","5.0","0"
"12","0.3091503","0.6189542","0.11724137931034483","3.4","4.0","0","3.0","0","2.0","0","6.0","0.1240695","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","1.0","0","11.0","0","0.0","0","1.0","0","13.0","0.01390176","11.0","0","14.0","0","1.0","0","11.0","0","1.0","0","27.0","0.006631300","2.0","0","5.0","0"
"13","0.3091503","0.6189542","0.11724137931034483","3.4","4.0","0","3.0","0","2.0","0","6.0","0.1190476","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","1.0","0","11.0","0","0.0","0","1.0","0","13.0","0.01316840","11.0","0","14.0","0","1.0","0","11.0","0","1.0","0","27.0","0.006285714","2.0","0","5.0","0"
"14","0.3091503","0.6189542","0.11724137931034483","3.4","4.0","0","3.0","0","2.0","0","6.0","0.1142857","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","1.0","0","11.0","0","0.0","0","1.0","0","13.0","0.0125","11.0","0","14.0","0","1.0","0","11.0","0","1.0","0","27.0","0.005970149","2.0","0","5.0","0"
"15","0.3091503","0.6189542","0.11724137931034483","3.4","4.0","0","3.0","0","2.0","0","6.0","0.1097973","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","1.0","0","11.0","0","0.0","0","1.0","0","13.0","0.01189024","11.0","0","14.0","0","1.0","0","11.0","0","1.0","0","27.0","0.005681818","2.0","0","5.0","0"
"16","0.3091503","0.6189542","0.11724137931034483","3.4","4.0","0","3.0","0","2.0","0","6.0","0.1055807","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","1.0","0","11.0","0","0.0","0","1.0","0","13.0","0.01133297","11.0","0","14.0","0","1.0","0","11.0","0","1.0","0","27.0","0.005417957","2.0","0","5.0","0"
