"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2472727","0.6036364","0.22727272727272727","2.272727272727273","3.0","0","7.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","8.0","0","0.0","0","5.0","0","0.0","","0.0"
"1","0.2472727","0.6036364","0.22727272727272727","2.272727272727273","3.0","0","7.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","8.0","0","0.0","0","5.0","0","0.0","","0.0"
"2","0.2472727","0.6036364","0.22727272727272727","2.272727272727273","3.0","0","7.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","8.0","0","0.0","0","5.0","0","0.0","","0.0"
"3","0.2472727","0.6036364","0.22727272727272727","2.272727272727273","3.0","0","7.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","8.0","0","0.0","0","5.0","0","0.0","","0.0"
"4","0.2472727","0.6036364","0.22727272727272727","2.272727272727273","3.0","0","7.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","8.0","0","0.0","0","5.0","0","0.0","","0.0"
"5","0.2692308","0.5833333","0.19696969696969696","2.1666666666666665","3.0","0","4.0","0.06410256","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.01700680","0.0","0","5.0","0","1.0","0","3.0","0"
"6","0.2692308","0.5833333","0.19696969696969696","2.1666666666666665","3.0","0","4.0","0.09966777","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02463054","0.0","0","5.0","0","1.0","0","3.0","0"
"7","0.2692308","0.5833333","0.19696969696969696","2.1666666666666665","3.0","0","4.0","0.1196809","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02798507","0.0","0","5.0","0","1.0","0","3.0","0"
"8","0.2692308","0.5833333","0.19696969696969696","2.1666666666666665","3.0","0","4.0","0.1307190","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02923977","0.0","0","5.0","0","1.0","0","3.0","0"
"9","0.2692308","0.5833333","0.19696969696969696","2.1666666666666665","3.0","0","4.0","0.1363636","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02941176","0.0","0","5.0","0","1.0","0","3.0","0"
"10","0.2692308","0.5833333","0.19696969696969696","2.1666666666666665","3.0","0","4.0","0.1386749","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02901354","0.0","0","5.0","0","1.0","0","3.0","0"
"11","0.2692308","0.5833333","0.19696969696969696","2.1666666666666665","3.0","0","4.0","0.1388889","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02831715","0.0","0","5.0","0","1.0","0","3.0","0"
"12","0.2692308","0.5833333","0.19696969696969696","2.1666666666666665","3.0","0","4.0","0.1377727","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02747253","0.0","0","5.0","0","1.0","0","3.0","0"
"13","0.2692308","0.5833333","0.19696969696969696","2.1666666666666665","3.0","0","4.0","0.1358149","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02656434","0.0","0","5.0","0","1.0","0","3.0","0"
"14","0.2692308","0.5833333","0.19696969696969696","2.1666666666666665","3.0","0","4.0","0.1333333","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02564103","0.0","0","5.0","0","1.0","0","3.0","0"
"15","0.2692308","0.5833333","0.19696969696969696","2.1666666666666665","3.0","0","4.0","0.1305380","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02473022","0.0","0","5.0","0","1.0","0","3.0","0"
"16","0.2692308","0.5833333","0.19696969696969696","2.1666666666666665","3.0","0","4.0","0.1275691","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02384738","0.0","0","5.0","0","1.0","0","3.0","0"
"17","0.2692308","0.5833333","0.19696969696969696","2.1666666666666665","3.0","0","4.0","0.1245211","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02300071","0.0","0","5.0","0","1.0","0","3.0","0"
"18","0.2692308","0.5833333","0.19696969696969696","2.1666666666666665","3.0","0","4.0","0.1214575","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02219404","0.0","0","5.0","0","1.0","0","3.0","0"
"19","0.2692308","0.5833333","0.19696969696969696","2.1666666666666665","3.0","0","4.0","0.1184211","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02142857","0.0","0","5.0","0","1.0","0","3.0","0"
"20","0.2692308","0.5833333","0.19696969696969696","2.1666666666666665","3.0","0","4.0","0.1154401","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02070393","0.0","0","5.0","0","1.0","0","3.0","0"
