"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","BA17-ADS","BA17-GINI -ADS","BA17-AIS","BA17-GINI -AIS","BA18-ADS","BA18-GINI -ADS","BA18-AIS","BA18-GINI -AIS","BA20-ADS","BA20-GINI -ADS","BA20-AIS","BA20-GINI -AIS","BA21-ADS","BA21-GINI -ADS","BA21-AIS","BA21-GINI -AIS","BA22-ADS","BA22-GINI -ADS","BA22-AIS","BA22-GINI -AIS","BA23-ADS","BA23-GINI -ADS","BA23-AIS","BA23-GINI -AIS","BA24-ADS","BA24-GINI -ADS","BA24-AIS","BA24-GINI -AIS","BA25-ADS","BA25-GINI -ADS","BA25-AIS","BA25-GINI -AIS","BA26-ADS","BA26-GINI -ADS","BA26-AIS","BA26-GINI -AIS","BA27-ADS","BA27-GINI -ADS","BA27-AIS","BA27-GINI -AIS","BA28-ADS","BA28-GINI -ADS","BA28-AIS","BA28-GINI -AIS","BA29-ADS","BA29-GINI -ADS","BA29-AIS","BA29-GINI -AIS","BA30-ADS","BA30-GINI -ADS","BA30-AIS","BA30-GINI -AIS","BA31-ADS","BA31-GINI -ADS","BA31-AIS","BA31-GINI -AIS","BA32-ADS","BA32-GINI -ADS","BA32-AIS","BA32-GINI -AIS","BA33-ADS","BA33-GINI -ADS","BA33-AIS","BA33-GINI -AIS","BA34-ADS","BA34-GINI -ADS","BA34-AIS","BA34-GINI -AIS","BA35-ADS","BA35-GINI -ADS","BA35-AIS","BA35-GINI -AIS","BA36-ADS","BA36-GINI -ADS","BA36-AIS","BA36-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS"
"0","0.4724893","0.6176050","0.07894736842105263","3.0","29.0","0","9.0","0","3.0","0","4.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","0.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","25.0","0","0.0","0","0.0","0","36.0","0","1.0","0","37.0","0"
"1","0.4724893","0.6176050","0.07894736842105263","3.0","29.0","0","9.0","0","3.0","0","4.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","0.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","25.0","0","0.0","0","0.0","0","36.0","0","1.0","0","37.0","0"
"2","0.4296145","0.6621261","0.08033033033033032","2.891891891891892","19.0","0.08658009","7.0","0.05333333","3.0","0","4.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0.1333333","2.0","0","2.0","0","3.0","0","0.0","0","2.0","0","1.0","0.1333333","2.0","0","2.0","0","2.0","0","1.0","0.1333333","3.0","0","1.0","0","2.0","0","1.0","0.1333333","2.0","0","2.0","0","2.0","0","1.0","0.1333333","2.0","0","1.0","0.1333333","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1333333","2.0","0","0.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1333333","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","25.0","0","0.0","0","0.0","0","34.0","0.01257862","1.0","0","35.0","0.01223242"
"3","0.4111044","0.6652590","0.08174603174603175","2.861111111111111","15.0","0.1413043","6.0","0.08870968","3.0","0","3.0","0.05","3.0","0","2.0","0","2.0","0","1.0","0.1071429","2.0","0","1.0","0.1666667","2.0","0","2.0","0","3.0","0","0.0","0","2.0","0","1.0","0.1666667","2.0","0","2.0","0","2.0","0","1.0","0.1666667","3.0","0","1.0","0","2.0","0","1.0","0.1666667","2.0","0","2.0","0","2.0","0","1.0","0.1666667","2.0","0","1.0","0.1666667","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1666667","2.0","0","0.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1666667","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0.1071429","25.0","0","0.0","0","0.0","0","33.0","0.01978417","1.0","0","34.0","0.01923077"
"4","0.4111044","0.6652590","0.08174603174603175","2.861111111111111","15.0","0.1570093","6.0","0.09729730","3.0","0","3.0","0.06666667","3.0","0","2.0","0","2.0","0","1.0","0.15","2.0","0","1.0","0.1714286","2.0","0","2.0","0","3.0","0","0.0","0","2.0","0","1.0","0.1714286","2.0","0","2.0","0","2.0","0","1.0","0.1714286","3.0","0","1.0","0","2.0","0","1.0","0.1714286","2.0","0","2.0","0","2.0","0","1.0","0.1714286","2.0","0","1.0","0.1714286","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1714286","2.0","0","0.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1714286","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0.15","25.0","0","0.0","0","0.0","0","33.0","0.02093023","1.0","0","34.0","0.02033898"
"5","0.4012995","0.6632593","0.08487394957983194","2.8857142857142857","13.0","0.175","5.0","0.1190476","3.0","0","3.0","0.07142857","3.0","0","2.0","0","2.0","0","1.0","0.1666667","2.0","0","1.0","0.1666667","2.0","0","2.0","0","3.0","0","0.0","0","2.0","0","1.0","0.1666667","2.0","0","2.0","0","2.0","0","1.0","0.1666667","3.0","0","1.0","0","2.0","0","1.0","0.1666667","2.0","0","2.0","0","2.0","0","1.0","0.1666667","2.0","0","1.0","0.1666667","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1666667","2.0","0","0.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1666667","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0.07575758","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0.1666667","25.0","0","0.0","0","0.0","0","32.0","0.02450980","1.0","0","33.0","0.02380952"
"6","0.4012995","0.6632593","0.08487394957983194","2.8857142857142857","13.0","0.1804511","5.0","0.1276596","3.0","0","3.0","0.07142857","3.0","0","2.0","0","2.0","0","1.0","0.1714286","2.0","0","1.0","0.1587302","2.0","0","2.0","0","3.0","0","0.0","0","2.0","0","1.0","0.1587302","2.0","0","2.0","0","2.0","0","1.0","0.1587302","3.0","0","1.0","0","2.0","0","1.0","0.1587302","2.0","0","2.0","0","2.0","0","1.0","0.1587302","2.0","0","1.0","0.1587302","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1587302","2.0","0","0.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1587302","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0.1190476","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0.1714286","25.0","0","0.0","0","0.0","0","32.0","0.02542373","1.0","0","33.0","0.02469136"
"7","0.4012995","0.6632593","0.08487394957983194","2.8857142857142857","13.0","0.1797945","5.0","0.1298077","3.0","0","3.0","0.06944444","3.0","0","2.0","0","2.0","0","1.0","0.1704545","2.0","0","1.0","0.15","2.0","0","2.0","0","3.0","0","0.0","0","2.0","0","1.0","0.15","2.0","0","2.0","0","2.0","0","1.0","0.15","3.0","0","1.0","0","2.0","0","1.0","0.15","2.0","0","2.0","0","2.0","0","1.0","0.15","2.0","0","1.0","0.15","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.15","2.0","0","0.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0.15","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0.1442308","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0.1704545","25.0","0","0.0","0","0.0","0","32.0","0.02518657","1.0","0","33.0","0.02445652"
"8","0.4012995","0.6526092","0.09564393939393939","3.0606060606060606","13.0","0.1761006","5.0","0.1286550","3.0","0","3.0","0.06666667","3.0","0","2.0","0","2.0","0","1.0","0.1666667","2.0","0","1.0","0.1414141","2.0","0","2.0","0","3.0","0","0.0","0","2.0","0","1.0","0.1414141","2.0","0","2.0","0","2.0","0","1.0","0.1414141","3.0","0","1.0","0","2.0","0","1.0","0.1414141","2.0","0","2.0","0","2.0","0","1.0","0.1414141","2.0","0","1.0","0.1414141","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1414141","2.0","0","0.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1414141","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0.1587302","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0.1666667","25.0","0","0.0","0","0.0","0","30.0","0.03057420","1.0","0","31.0","0.02967789"
"9","0.3910985","0.6493056","0.09979838709677419","3.09375","11.0","0.1835294","4.0","0.1426230","3.0","0","3.0","0.06363636","3.0","0","2.0","0","2.0","0","1.0","0.1615385","2.0","0","1.0","0.1333333","2.0","0","2.0","0","3.0","0","0.0","0","2.0","0","1.0","0.1333333","2.0","0","2.0","0","2.0","0","1.0","0.1333333","3.0","0","1.0","0","2.0","0","1.0","0.1333333","2.0","0","2.0","0","2.0","0","1.0","0.1333333","2.0","0","1.0","0.1333333","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1333333","2.0","0","0.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1333333","3.0","0","1.0","0","2.0","0","1.0","0.04736842","2.0","0","1.0","0.1666667","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0.1615385","25.0","0","0.0","0","0.0","0","29.0","0.03639144","1.0","0","30.0","0.03531157"
