"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS"
"0","0.4743590","0.5020243","0.15","2.25","10.0","0","5.0","0","3.0","0","2.0","0","1.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","8.0","0","0.0","0","1.0","0","13.0","0","0.0","0","6.0","0"
"1","0.4743590","0.5020243","0.15","2.25","10.0","0","5.0","0","3.0","0","2.0","0","1.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","8.0","0","0.0","0","1.0","0","13.0","0","0.0","0","6.0","0"
"2","0.4743590","0.5020243","0.15","2.25","10.0","0","5.0","0","3.0","0","2.0","0","1.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","8.0","0","0.0","0","1.0","0","13.0","0","0.0","0","6.0","0"
"3","0.4743590","0.5020243","0.15","2.25","10.0","0","5.0","0","3.0","0","2.0","0","1.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","8.0","0","0.0","0","1.0","0","13.0","0","0.0","0","6.0","0"
"4","0.4479638","0.5085470","0.1619047619047619","2.2666666666666666","8.0","0.03333333","5.0","0","3.0","0","1.0","0.08888889","1.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","8.0","0","0.0","0","1.0","0","12.0","0.0125","0.0","0","6.0","0"
"5","0.4479638","0.5085470","0.1619047619047619","2.2666666666666666","8.0","0.04761905","5.0","0","3.0","0","1.0","0.1333333","1.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","8.0","0","0.0","0","1.0","0","12.0","0.01754386","0.0","0","6.0","0"
"6","0.4479638","0.5085470","0.1619047619047619","2.2666666666666666","8.0","0.05357143","5.0","0","3.0","0","1.0","0.1558442","1.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","8.0","0","0.0","0","1.0","0","12.0","0.01948052","0.0","0","6.0","0"
"7","0.4479638","0.5085470","0.1619047619047619","2.2666666666666666","8.0","0.05555556","5.0","0","3.0","0","1.0","0.1666667","1.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","8.0","0","0.0","0","1.0","0","12.0","0.02","0.0","0","6.0","0"
"8","0.4051282","0.5260546","0.16483516483516483","2.142857142857143","4.0","0.1052632","4.0","0.02020202","3.0","0","1.0","0.1709402","1.0","0","1.0","0","2.0","0","1.0","0.05228758","2.0","0","1.0","0.05228758","2.0","0","1.0","0","1.0","0","1.0","0.05228758","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","8.0","0","0.0","0","1.0","0","11.0","0.02802803","0.0","0","6.0","0"
"9","0.4051282","0.5260546","0.16483516483516483","2.142857142857143","4.0","0.14","4.0","0.03333333","3.0","0","1.0","0.1714286","1.0","0","1.0","0","2.0","0","1.0","0.08888889","2.0","0","1.0","0.08888889","2.0","0","1.0","0","1.0","0","1.0","0.08888889","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","8.0","0","0.0","0","1.0","0","11.0","0.03278689","0.0","0","6.0","0"
