"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","CPS2-ADS","CPS2-GINI -ADS","CPS2-AIS","CPS2-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2402597","0.4935065","0.2545454545454545","2.5454545454545454","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","5.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0","3.0","0","3.0","0","1.0","0","8.0","0","0.0","","0.0"
"1","0.2402597","0.4935065","0.2545454545454545","2.5454545454545454","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","5.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0","3.0","0","3.0","0","1.0","0","8.0","0","0.0","","0.0"
"2","0.2402597","0.4935065","0.2545454545454545","2.5454545454545454","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","5.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0","3.0","0","3.0","0","1.0","0","8.0","0","0.0","","0.0"
"3","0.2402597","0.4935065","0.2545454545454545","2.5454545454545454","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","5.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0","3.0","0","3.0","0","1.0","0","8.0","0","0.0","","0.0"
"4","0.2388889","0.5","0.22727272727272727","2.5","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.06956522","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.02580645","3.0","0","3.0","0","1.0","0","9.0","0.01951220","2.0","0","2.0","0"
"5","0.2388889","0.5","0.22727272727272727","2.5","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1025641","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.03508772","3.0","0","3.0","0","1.0","0","9.0","0.02666667","2.0","0","2.0","0"
"6","0.2388889","0.5","0.22727272727272727","2.5","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1182266","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.03809524","3.0","0","3.0","0","1.0","0","9.0","0.02905569","2.0","0","2.0","0"
"7","0.2388889","0.5","0.22727272727272727","2.5","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.125","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.03846154","3.0","0","3.0","0","1.0","0","9.0","0.02941176","2.0","0","2.0","0"
"8","0.2388889","0.5","0.22727272727272727","2.5","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1269841","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.03766478","3.0","0","3.0","0","1.0","0","9.0","0.02886003","2.0","0","2.0","0"
"9","0.2388889","0.5","0.22727272727272727","2.5","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1263158","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.03636364","3.0","0","3.0","0","1.0","0","9.0","0.02790698","2.0","0","2.0","0"
