"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2375","0.475","0.35714285714285715","2.5","3.0","0","1.0","0","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0","1.0","0","6.0","0","0.0","","0.0"
"1","0.2375","0.475","0.35714285714285715","2.5","3.0","0","1.0","0","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0","1.0","0","6.0","0","0.0","","0.0"
"2","0.2375","0.475","0.35714285714285715","2.5","3.0","0","1.0","0","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0","1.0","0","6.0","0","0.0","","0.0"
"3","0.2375","0.475","0.35714285714285715","2.5","3.0","0","1.0","0","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0","1.0","0","6.0","0","0.0","","0.0"
"4","0.2375","0.475","0.35714285714285715","2.5","3.0","0","1.0","0","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0","1.0","0","6.0","0","0.0","","0.0"
"5","0.2375","0.475","0.35714285714285715","2.5","3.0","0","1.0","0","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0","1.0","0","6.0","0","0.0","","0.0"
"6","0.2375","0.475","0.35714285714285715","2.5","3.0","0","1.0","0","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0","1.0","0","6.0","0","0.0","","0.0"
"7","0.2375","0.475","0.35714285714285715","2.5","3.0","0","1.0","0","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0","1.0","0","6.0","0","0.0","","0.0"
"8","0.2424242","0.4949495","0.3055555555555556","2.4444444444444446","3.0","0","1.0","0","3.0","0","2.0","0.05228758","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.01616162","1.0","0","7.0","0.01616162","2.0","0","2.0","0"
"9","0.2424242","0.4949495","0.3055555555555556","2.4444444444444446","3.0","0","1.0","0","3.0","0","2.0","0.08888889","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.02580645","1.0","0","7.0","0.02580645","2.0","0","2.0","0"
"10","0.2424242","0.4949495","0.3055555555555556","2.4444444444444446","3.0","0","1.0","0","3.0","0","2.0","0.1148325","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.03162055","1.0","0","7.0","0.03162055","2.0","0","2.0","0"
"11","0.2424242","0.4949495","0.3055555555555556","2.4444444444444446","3.0","0","1.0","0","3.0","0","2.0","0.1333333","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.03508772","1.0","0","7.0","0.03508772","2.0","0","2.0","0"
"12","0.2424242","0.4949495","0.3055555555555556","2.4444444444444446","3.0","0","1.0","0","3.0","0","2.0","0.1465201","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.03707136","1.0","0","7.0","0.03707136","2.0","0","2.0","0"
"13","0.2424242","0.4949495","0.3055555555555556","2.4444444444444446","3.0","0","1.0","0","3.0","0","2.0","0.1558442","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.03809524","1.0","0","7.0","0.03809524","2.0","0","2.0","0"
"14","0.2424242","0.4949495","0.3055555555555556","2.4444444444444446","3.0","0","1.0","0","3.0","0","2.0","0.1623188","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.03848797","1.0","0","7.0","0.03848797","2.0","0","2.0","0"
"15","0.2424242","0.4949495","0.3055555555555556","2.4444444444444446","3.0","0","1.0","0","3.0","0","2.0","0.1666667","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.03846154","1.0","0","7.0","0.03846154","2.0","0","2.0","0"
"16","0.2424242","0.4949495","0.3055555555555556","2.4444444444444446","3.0","0","1.0","0","3.0","0","2.0","0.1694118","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.03815580","1.0","0","7.0","0.03815580","2.0","0","2.0","0"
