"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","BA17-ADS","BA17-GINI -ADS","BA17-AIS","BA17-GINI -AIS","BA18-ADS","BA18-GINI -ADS","BA18-AIS","BA18-GINI -AIS","BA19-ADS","BA19-GINI -ADS","BA19-AIS","BA19-GINI -AIS","BA20-ADS","BA20-GINI -ADS","BA20-AIS","BA20-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS"
"0","0.3693694","0.6243386","0.13405797101449277","3.0833333333333335","11.0","0","6.0","0","2.0","0","2.0","0","4.0","0","4.0","0","4.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","2.0","0","2.0","0","13.0","0","0.0","0","1.0","0","21.0","0","1.0","0","9.0","0","1.0","0","22.0","0"
"1","0.3693694","0.6243386","0.13405797101449277","3.0833333333333335","11.0","0","6.0","0","2.0","0","2.0","0","4.0","0","4.0","0","4.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","2.0","0","2.0","0","13.0","0","0.0","0","1.0","0","21.0","0","1.0","0","9.0","0","1.0","0","22.0","0"
"2","0.3693694","0.6243386","0.13405797101449277","3.0833333333333335","11.0","0","6.0","0","2.0","0","2.0","0","4.0","0","4.0","0","4.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","2.0","0","2.0","0","13.0","0","0.0","0","1.0","0","21.0","0","1.0","0","9.0","0","1.0","0","22.0","0"
"3","0.3693694","0.6243386","0.13405797101449277","3.0833333333333335","11.0","0","6.0","0","2.0","0","2.0","0","4.0","0","4.0","0","4.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","2.0","0","2.0","0","13.0","0","0.0","0","1.0","0","21.0","0","1.0","0","9.0","0","1.0","0","22.0","0"
"4","0.3414966","0.6273016","0.1383399209486166","3.0434782608695654","7.0","0.06274510","5.0","0.02758621","2.0","0","2.0","0","4.0","0","3.0","0.04210526","4.0","0","1.0","0","2.0","0","1.0","0.08888889","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0.08888889","4.0","0","1.0","0","2.0","0","2.0","0","13.0","0","0.0","0","1.0","0","20.0","0.007692308","1.0","0","9.0","0","1.0","0","21.0","0.007339450"
"5","0.3263305","0.6327462","0.13438735177865613","2.9565217391304346","5.0","0.125","5.0","0.03921569","2.0","0","1.0","0.07575758","4.0","0","3.0","0.06060606","4.0","0","1.0","0","2.0","0","1.0","0.1333333","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0.1333333","4.0","0","1.0","0","2.0","0","1.0","0.07575758","13.0","0","0.0","0","1.0","0","20.0","0.01075269","1.0","0","9.0","0","1.0","0","21.0","0.01025641"
"6","0.3184080","0.6154940","0.1595238095238095","3.1904761904761907","4.0","0.1761905","5.0","0.04395604","2.0","0","1.0","0.1190476","4.0","0","2.0","0.1071429","4.0","0","1.0","0","2.0","0","1.0","0.1558442","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0.1558442","4.0","0","1.0","0","2.0","0","1.0","0.1190476","13.0","0","0.0","0","1.0","0","18.0","0.02414487","1.0","0","8.0","0.01382488","1.0","0","19.0","0.02301055"
"7","0.3184080","0.6154940","0.1595238095238095","3.1904761904761907","4.0","0.2070312","5.0","0.04545455","2.0","0","1.0","0.1442308","4.0","0","2.0","0.1346154","4.0","0","1.0","0","2.0","0","1.0","0.1666667","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0.1666667","4.0","0","1.0","0","2.0","0","1.0","0.1442308","13.0","0","0.0","0","1.0","0","18.0","0.03125","1.0","0","8.0","0.02142857","1.0","0","19.0","0.02976190"
"8","0.3189033","0.6161616","0.15714285714285714","3.142857142857143","3.0","0.2421227","5.0","0.04535147","2.0","0","1.0","0.1587302","4.0","0","1.0","0.1893004","4.0","0","1.0","0","2.0","0","1.0","0.1709402","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0.1709402","4.0","0","1.0","0","2.0","0","1.0","0.1587302","13.0","0","0.0","0","1.0","0","18.0","0.03495630","1.0","0","8.0","0.02564103","1.0","0","19.0","0.03327392"
"9","0.3189033","0.6161616","0.15714285714285714","3.142857142857143","3.0","0.2657143","5.0","0.04444444","2.0","0","1.0","0.1666667","4.0","0","1.0","0.2285714","4.0","0","1.0","0","2.0","0","1.0","0.1714286","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0.1714286","4.0","0","1.0","0","2.0","0","1.0","0.1666667","13.0","0","0.0","0","1.0","0","18.0","0.03673469","1.0","0","8.0","0.02790698","1.0","0","19.0","0.03495146"
"10","0.3189033","0.6161616","0.15714285714285714","3.142857142857143","3.0","0.2814446","5.0","0.04314330","2.0","0","1.0","0.1704545","4.0","0","1.0","0.2570533","4.0","0","1.0","0","2.0","0","1.0","0.1696970","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0.1696970","4.0","0","1.0","0","2.0","0","1.0","0.1704545","13.0","0","0.0","0","1.0","0","18.0","0.03738318","1.0","0","8.0","0.02901354","1.0","0","19.0","0.03555556"
"11","0.3189033","0.6161616","0.15714285714285714","3.142857142857143","3.0","0.2916667","5.0","0.04166667","2.0","0","1.0","0.1715686","4.0","0","1.0","0.2777778","4.0","0","1.0","0","2.0","0","1.0","0.1666667","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0.1666667","4.0","0","1.0","0","2.0","0","1.0","0.1715686","13.0","0","0.0","0","1.0","0","18.0","0.03735632","1.0","0","8.0","0.02941176","1.0","0","19.0","0.03551913"
