"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2228739","0.5102639","0.2818181818181818","2.8181818181818183","4.0","0","3.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","8.0","0","1.0","0","4.0","0","1.0","0","9.0","0","0.0","","0.0"
"1","0.2228739","0.5102639","0.2818181818181818","2.8181818181818183","4.0","0","3.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","8.0","0","1.0","0","4.0","0","1.0","0","9.0","0","0.0","","0.0"
"2","0.2228739","0.5102639","0.2818181818181818","2.8181818181818183","4.0","0","3.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","8.0","0","1.0","0","4.0","0","1.0","0","9.0","0","0.0","","0.0"
"3","0.2228739","0.5102639","0.2818181818181818","2.8181818181818183","4.0","0","3.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","8.0","0","1.0","0","4.0","0","1.0","0","9.0","0","0.0","","0.0"
"4","0.2228739","0.5102639","0.2818181818181818","2.8181818181818183","4.0","0","3.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","8.0","0","1.0","0","4.0","0","1.0","0","9.0","0","0.0","","0.0"
"5","0.2228739","0.5102639","0.2818181818181818","2.8181818181818183","4.0","0","3.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","8.0","0","1.0","0","4.0","0","1.0","0","9.0","0","0.0","","0.0"
"6","0.2297980","0.5328283","0.25","2.75","4.0","0","2.0","0.04285714","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.01503759","1.0","0","4.0","0","1.0","0","10.0","0.01339286","2.0","0","1.0","0"
"7","0.2297980","0.5328283","0.25","2.75","4.0","0","2.0","0.06818182","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02272727","1.0","0","4.0","0","1.0","0","10.0","0.02027027","2.0","0","1.0","0"
"8","0.2297980","0.5328283","0.25","2.75","4.0","0","2.0","0.08333333","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02666667","1.0","0","4.0","0","1.0","0","10.0","0.02380952","2.0","0","1.0","0"
"9","0.2297980","0.5328283","0.25","2.75","4.0","0","2.0","0.09230769","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02857143","1.0","0","4.0","0","1.0","0","10.0","0.02553191","2.0","0","1.0","0"
"10","0.2297980","0.5328283","0.25","2.75","4.0","0","2.0","0.09740260","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02932551","1.0","0","4.0","0","1.0","0","10.0","0.02622378","2.0","0","1.0","0"
"11","0.2297980","0.5328283","0.25","2.75","4.0","0","2.0","0.1","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02941176","1.0","0","4.0","0","1.0","0","10.0","0.02631579","2.0","0","1.0","0"
"12","0.2297980","0.5328283","0.25","2.75","4.0","0","2.0","0.1009615","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02910603","1.0","0","4.0","0","1.0","0","10.0","0.02605459","2.0","0","1.0","0"
"13","0.2297980","0.5328283","0.25","2.75","4.0","0","2.0","0.1008403","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02857143","1.0","0","4.0","0","1.0","0","10.0","0.02558635","2.0","0","1.0","0"
"14","0.2297980","0.5328283","0.25","2.75","4.0","0","2.0","0.1","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02790698","1.0","0","4.0","0","1.0","0","10.0","0.025","2.0","0","1.0","0"
"15","0.2297980","0.5328283","0.25","2.75","4.0","0","2.0","0.09868421","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02717391","1.0","0","4.0","0","1.0","0","10.0","0.02435065","2.0","0","1.0","0"
"16","0.2297980","0.5328283","0.25","2.75","4.0","0","2.0","0.09705882","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02641056","1.0","0","4.0","0","1.0","0","10.0","0.02367288","2.0","0","1.0","0"
"17","0.2297980","0.5328283","0.25","2.75","4.0","0","2.0","0.09523810","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02564103","1.0","0","4.0","0","1.0","0","10.0","0.02298851","2.0","0","1.0","0"
"18","0.2297980","0.5328283","0.25","2.75","4.0","0","2.0","0.09330144","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02488038","1.0","0","4.0","0","1.0","0","10.0","0.02231121","2.0","0","1.0","0"
"19","0.2297980","0.5328283","0.25","2.75","4.0","0","2.0","0.09130435","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02413793","1.0","0","4.0","0","1.0","0","10.0","0.02164948","2.0","0","1.0","0"
"20","0.2297980","0.5328283","0.25","2.75","4.0","0","2.0","0.08928571","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","9.0","0.02341920","1.0","0","4.0","0","1.0","0","10.0","0.02100840","2.0","0","1.0","0"
