"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","BA17-ADS","BA17-GINI -ADS","BA17-AIS","BA17-GINI -AIS","BA18-ADS","BA18-GINI -ADS","BA18-AIS","BA18-GINI -AIS","BA19-ADS","BA19-GINI -ADS","BA19-AIS","BA19-GINI -AIS","BA20-ADS","BA20-GINI -ADS","BA20-AIS","BA20-GINI -AIS","BA21-ADS","BA21-GINI -ADS","BA21-AIS","BA21-GINI -AIS","BA22-ADS","BA22-GINI -ADS","BA22-AIS","BA22-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2480106","0.7877984","0.08923076923076922","2.230769230769231","3.0","0","3.0","0","3.0","0","13.0","0","2.0","0","2.0","0","2.0","0","0.0","0","1.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","0.0","0","1.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","1.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","1.0","0","12.0","0","7.0","0","12.0","0","0.0","0","11.0","0","0.0","","0.0"
"1","0.2561205","0.7733836","0.08404558404558404","2.185185185185185","3.0","0","3.0","0","3.0","0","7.0","0.15","2.0","0","2.0","0","2.0","0","0.0","0","1.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","0.0","0","1.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","1.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","1.0","0","13.0","0.02","7.0","0","12.0","0","0.0","0","11.0","0","1.0","0","6.0","0"
"2","0.2561205","0.7733836","0.08404558404558404","2.185185185185185","3.0","0","3.0","0","3.0","0","7.0","0.1481481","2.0","0","2.0","0","2.0","0","0.0","0","1.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","0.0","0","1.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","1.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","1.0","0","13.0","0.01754386","7.0","0","12.0","0","0.0","0","11.0","0","1.0","0","6.0","0"
"3","0.2561205","0.7733836","0.08404558404558404","2.185185185185185","3.0","0","3.0","0","3.0","0","7.0","0.1323529","2.0","0","2.0","0","2.0","0","0.0","0","1.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","0.0","0","1.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","1.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","1.0","0","13.0","0.01470588","7.0","0","12.0","0","0.0","0","11.0","0","1.0","0","6.0","0"
"4","0.2561205","0.7733836","0.08404558404558404","2.185185185185185","3.0","0","3.0","0","3.0","0","7.0","0.1170732","2.0","0","2.0","0","2.0","0","0.0","0","1.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","0.0","0","1.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","1.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","1.0","0","13.0","0.0125","7.0","0","12.0","0","0.0","0","11.0","0","1.0","0","6.0","0"
"5","0.2561205","0.7733836","0.08404558404558404","2.185185185185185","3.0","0","3.0","0","3.0","0","7.0","0.1041667","2.0","0","2.0","0","2.0","0","0.0","0","1.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","0.0","0","1.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","1.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","1.0","0","13.0","0.01082251","7.0","0","12.0","0","0.0","0","11.0","0","1.0","0","6.0","0"
"6","0.2561205","0.7733836","0.08404558404558404","2.185185185185185","3.0","0","3.0","0","3.0","0","7.0","0.09350649","2.0","0","2.0","0","2.0","0","0.0","0","1.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","0.0","0","1.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","1.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","1.0","0","13.0","0.009523810","7.0","0","12.0","0","0.0","0","11.0","0","1.0","0","6.0","0"
"7","0.2561205","0.7733836","0.08404558404558404","2.185185185185185","3.0","0","3.0","0","3.0","0","7.0","0.08467742","2.0","0","2.0","0","2.0","0","0.0","0","1.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","0.0","0","1.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","1.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","1.0","0","13.0","0.008495146","7.0","0","12.0","0","0.0","0","11.0","0","1.0","0","6.0","0"
"8","0.2561205","0.7733836","0.08404558404558404","2.185185185185185","3.0","0","3.0","0","3.0","0","7.0","0.07729469","2.0","0","2.0","0","2.0","0","0.0","0","1.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","0.0","0","1.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","1.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","1.0","0","13.0","0.007662835","7.0","0","12.0","0","0.0","0","11.0","0","1.0","0","6.0","0"
"9","0.2561205","0.7733836","0.08404558404558404","2.185185185185185","3.0","0","3.0","0","3.0","0","7.0","0.07105263","2.0","0","2.0","0","2.0","0","0.0","0","1.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","0.0","0","1.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","1.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","1.0","0","13.0","0.006976744","7.0","0","12.0","0","0.0","0","11.0","0","1.0","0","6.0","0"
